"slide","notes_match","tables","charts","chart_values","render"
"1","True","0","0","","slide-01.png"
"2","True","0","0","","slide-02.png"
"3","True","0","0","","slide-03.png"
"4","True","0","0","","slide-04.png"
"5","True","0","0","","slide-05.png"
"6","True","0","0","","slide-06.png"
"7","True","0","0","","slide-07.png"
"8","True","0","0","","slide-08.png"
"9","True","0","0","","slide-09.png"
"10","True","0","0","","slide-10.png"
"11","True","0","0","","slide-11.png"
"12","True","0","0","","slide-12.png"
"13","True","0","0","","slide-13.png"
"14","True","0","0","","slide-14.png"
"15","True","0","0","","slide-15.png"
"16","True","0","0","","slide-16.png"
"17","True","0","0","","slide-17.png"
"18","True","0","0","","slide-18.png"
"19","True","1","0","","slide-19.png"
"20","True","0","0","","slide-20.png"
"21","True","1","0","","slide-21.png"
"22","True","0","0","","slide-22.png"
"23","True","0","0","","slide-23.png"
"24","True","0","0","","slide-24.png"
"25","True","0","0","","slide-25.png"
"26","True","0","0","","slide-26.png"
"27","True","0","0","","slide-27.png"
"28","True","0","0","","slide-28.png"
"29","True","0","0","","slide-29.png"
"30","True","0","0","","slide-30.png"
"31","True","0","0","","slide-31.png"
"32","True","0","1","192,192,192,55,84","slide-32.png"
"33","True","1","0","","slide-33.png"
"34","True","0","0","","slide-34.png"
"35","True","0","0","","slide-35.png"
"36","True","0","0","","slide-36.png"
"37","True","0","0","","slide-37.png"
