artifact,prompt,tool,model,original_output,width,height,bytes,sha256,published_copy,status
operator-composition-v1.png,operator-composition-v1.prompt.md,built-in image_gen,not exposed,exec-8504fa77-28bb-41b5-9af7-09184191dc65.png,1536,1024,1822650,8fc9ae2ee0e6a24133d8ebef3d150fa331f9898b309bcf95a68560623565d53f,rsi/assets/illustrations/operator-composition-v1.png,selected after full-size review
checked-reference-v1.png,checked-reference-v1.prompt.md,built-in image_gen,not exposed,exec-1c0ac935-cdff-4ab9-a60e-ea89f560def5.png,1536,1024,2137939,692e141fef6fd99fa9b3a253754a227460efe765485d436cef2dcb0bcca2ef6f,rsi/assets/illustrations/checked-reference-v1.png,selected after full-size review
compare-research-systems-v1.png,compare-research-systems-v1.prompt.md,built-in image_gen,not exposed,exec-93b21a9b-41df-4ac4-aef6-dcc49ff78bd9.png,1536,1024,2221603,80611f856f77b907216177f4908d38c383d14401d29a3f4154bdbef631c9fe62,rsi/assets/illustrations/compare-research-systems-v1.png,selected after full-size review
research-bottlenecks-v1.png,research-bottlenecks-v1.prompt.md,built-in image_gen,not exposed,exec-9facd17f-ca92-476e-8551-f7906cf7c922.png,1536,1024,1964903,723048946afd0eb5a2f079591790c72351ea1ebf6c295afe9746c67cc7411466,rsi/assets/illustrations/research-bottlenecks-v1.png,selected after full-size review
memory-interface-v1.png,memory-interface-v1.prompt.md,built-in image_gen,not exposed,exec-1cd4945f-3a19-45fd-85f5-f47b0b689f19.png,1536,1024,2078979,45e837dff4aebea8ea8101c6a649e1c619a710e6207a2614febad2b08296b29a,,superseded; retained
memory-interface-v2.png,memory-interface-v2.prompt.md,built-in image_gen,not exposed,exec-6b3b7404-32f0-4688-8f81-18b47f89541e.png,1536,1024,2062862,a73207c6a3f651c7645c753642c2f9d9846784ccccfa2b040cceae78fe88c650,rsi/assets/illustrations/memory-interface-v2.png,selected after full-size review
feedback-scaffolds-v1.png,feedback-scaffolds-v1.prompt.md,built-in image_gen,not exposed,exec-b046bc07-ab48-43d3-88fb-e9351bdcc1f5.png,1536,1024,2162493,89f79ecf65cf1e4fd09e28de8ac5dbbb1119e256019a2739b46935eb16869040,rsi/assets/illustrations/feedback-scaffolds-v1.png,selected after full-size review
harness-compatibility-v1.png,harness-compatibility-v1.prompt.md,built-in image_gen,not exposed,exec-3aa23b7d-7a7b-4443-8ef5-47f2606dc943.png,1536,1024,1979304,4b54f98045e2331ddd1d8ac2781acfd63a8dba25c573a75c3e0c112a7766dc75,rsi/assets/illustrations/harness-compatibility-v1.png,selected after full-size review
quality-cost-v1.png,quality-cost-v1.prompt.md,built-in image_gen,not exposed,exec-99ba9760-095c-4c6e-980c-7fb23b7ffa2b.png,1536,1024,2202468,8a0ac5c3a53b7c0591311854128d3c584f5aadc283d341ab088fbcfba369f15e,rsi/assets/illustrations/quality-cost-v1.png,selected after full-size review
builder-and-artifact-v1.png,builder-and-artifact-v1.prompt.md,built-in image_gen,not exposed,exec-16074b43-b10d-429a-8212-87bc4faf88fa.png,1536,1024,2060914,542cb80d1b7879f9c81b4396f876f43da306af0d1055ef8e354b3c8482be720e,,superseded; retained
builder-and-artifact-v2.png,builder-and-artifact-v2.prompt.md,built-in image_gen,not exposed,exec-eb285d78-825f-417b-95f2-4511c1527a7e.png,1536,1024,2118611,f851f025db87ed1802cf2bdbd46e06ca1da954c31298d0ac22f928190be0efad,rsi/assets/illustrations/builder-and-artifact-v2.png,selected after full-size review
knowledge-stores-v1.png,knowledge-stores-v1.prompt.md,built-in image_gen,not exposed,exec-f6816411-8aab-468a-8a0d-6c7d879c304a.png,1536,1024,2149285,754fdf9e84da246491f64d68a8a44c33941275bba0da04ba123bf6a4cdb1eaba,rsi/assets/illustrations/knowledge-stores-v1.png,selected after full-size review
procedure-graph-v1.png,procedure-graph-v1.prompt.md,built-in image_gen,not exposed,exec-12322936-9647-465c-9b2d-0e9b1039b5fe.png,1536,1024,1765910,a1125f6db82f2886c9959326149b764b53d9a52568139d2452226df6cd38d9fb,rsi/assets/illustrations/procedure-graph-v1.png,selected after full-size review
gui-skill-repair-v1.png,gui-skill-repair-v1.prompt.md,built-in image_gen,not exposed,exec-c0c67977-2661-478f-a9d1-3fa94f2cca44.png,1536,1024,1934926,0c270fa073ec709e04a23692d095abcfff6421f5aae86b6522b43db5a716f683,rsi/assets/illustrations/gui-skill-repair-v1.png,selected after full-size review
main-overview-v1.png,main-overview-v1.prompt.md,built-in image_gen,not exposed,exec-5bc0cf68-f09e-414a-bfaf-a34a2ff8d422.png,1536,1024,1826776,1e5faad06eebd0c53ea4a9cd373279c5a8dab02ae568cc6c887ec6fea332af3a,,superseded; retained
main-overview-v2.png,main-overview-v2.prompt.md,built-in image_gen,not exposed,exec-a03901fb-38b7-448d-a3ef-65549e170b46.png,1536,1024,1910895,0f598701b3093cf8003b34aa64757ee5ce0cf48e9c617a8072a6307c64aa70a7,rsi/assets/illustrations/main-overview-v2.png,selected after full-size review
target-leakage-v1.png,target-leakage-v1.prompt.md,built-in image_gen,not exposed,exec-8bea4f88-87c8-4950-a229-c1339ebf05ac.png,1536,1024,1491517,0031ef241ca6ce52776cec6cb8cc026240887e22999c29ce9dcfad8de9c592d9,,superseded; retained
target-leakage-v2.png,target-leakage-v2.prompt.md,built-in image_gen,not exposed,exec-6e99a51f-61a1-4b2e-85cd-33728bc3c6f8.png,1536,1024,1703637,8b1f3a186b949b7a5b19a748d6f91293c547cfdf1d68aa5a98d63733c5e2732d,rsi/assets/illustrations/target-leakage-v2.png,selected after full-size review
bounded-loop-v1.png,bounded-loop-v1.prompt.md,built-in image_gen,not exposed,exec-362f1817-ee12-4f7b-b15d-204687892372.png,1536,1024,1538954,331b2e3ab14bdf8280feb8b83e70ec839b1c25143cdfc9f63750bd78a1388466,rsi/assets/illustrations/bounded-loop-v1.png,selected after full-size review
meta-harness-v1.png,meta-harness-v1.prompt.md,built-in image_gen,not exposed,exec-614d8741-99e9-4126-b79b-a50dba8eb455.png,1536,1024,1701800,fdb4b8406e41bad7ad10bfd1c6ac50ca22530633b9bfd7bccbb2f83ac09257a0,,superseded; retained
meta-harness-v2.png,meta-harness-v2.prompt.md,built-in image_gen,not exposed,exec-c8fe1146-1b80-41ba-9834-45c5550eeb6d.png,1536,1024,1883364,d10f9a3d027f007b4202123e0fb36fc3620470a0f3138b22490da4fd16ea3c33,rsi/assets/illustrations/meta-harness-v2.png,selected after full-size review
graph-ontology-v1.png,graph-ontology-v1.prompt.md,built-in image_gen,not exposed,exec-154a7383-143f-49de-8b39-45f30ac6991d.png,1536,1024,1382756,bf7853b36cd9a1f32ddd48c031e395a0a6ace2beb275623f414129c39b515ecf,rsi/assets/illustrations/graph-ontology-v1.png,selected after full-size review
self-star-v1.png,self-star-v1.prompt.md,built-in image_gen,not exposed,exec-786ba075-a5ab-46ae-8058-f97a888049ab.png,1536,1024,1673378,4d6f5e400c0b0b225a63034f70c408ad53c60e8a5f0f08f470ec330afb21a23f,,superseded; retained
self-star-v2.png,self-star-v2.prompt.md,built-in image_gen,not exposed,exec-3b9379c2-0515-473f-8035-017e6bedac22.png,1536,1024,1847800,d41d9f412c446a76bc7e962bb719228b34f4f2ad8baffac34d9dfcf409836328,rsi/assets/illustrations/self-star-v2.png,selected after full-size review
inherited-improver-v1.png,inherited-improver-v1.prompt.md,built-in image_gen,not exposed,exec-4450e321-9dbb-4db6-8d12-a82e01ee2c89.png,1536,1024,1466511,9183d146b3faf5a69f0252c41fe436a1bc5c14dd06c671a00d4b17028f454efd,rsi/assets/illustrations/inherited-improver-v1.png,selected after full-size review
replay-boundary-v1.png,replay-boundary-v1.prompt.md,built-in image_gen,not exposed,exec-a9f26ca9-51b3-43c0-9534-96711a0e0b3e.png,1536,1024,1358683,2050226df72eff3746c7d2839e2e78ac9380f583964994cce32ec563ac7ea929,,superseded; retained
replay-boundary-v2.png,replay-boundary-v2.prompt.md,built-in image_gen,not exposed,exec-e21a62ff-2908-4165-9775-e24bef03a33c.png,1536,1024,1606854,78f45091072f5d8784c558e2687a5d8832a3405bf2a5aa6179e7219c6667dcfe,rsi/assets/illustrations/replay-boundary-v2.png,selected after full-size review
model-harness-v1.png,model-harness-v1.prompt.md,built-in image_gen,not exposed,exec-d711210f-c637-48b6-96b0-a17c54576d1e.png,1536,1024,1579501,d883b4d4db45c104846106b9ad3a800b60cded032d7679aa8dcdbeb9b36c2bc7,,superseded; retained
model-harness-v2.png,model-harness-v2.prompt.md,built-in image_gen,not exposed,exec-e8221bb5-62a1-49ce-ac41-fb7c15980a17.png,1536,1024,1712693,94e6d59ea7aa503fe5164cdd76ff129d4d4615501ad2ea74b5068379ebebf05f,,superseded; retained
model-harness-v3.png,model-harness-v3.prompt.md,built-in image_gen,not exposed,exec-b9246c30-27c2-427e-ad3b-c6f7b9986fc5.png,1536,1024,2154991,7da8af779af8e90c5bae77bdb7d5b3496e0aedaff4273eb2e645aa56ec441aa8,,superseded; retained
model-harness-v4.png,model-harness-v4.prompt.md,built-in image_gen,not exposed,exec-3c790a4e-c32e-480f-ab88-a174125e065c.png,1536,1024,2165463,68d162ea049a5a95231a52959bc5403fdcff9a33ef6fd370a9a5abe5b51efb03,rsi/assets/illustrations/model-harness-v4.png,selected after full-size review
actor-memory-v1.png,actor-memory-v1.prompt.md,built-in image_gen,not exposed,exec-35cdcc66-4edb-450f-b032-a7465ae575de.png,1536,1024,2041165,9a0f055c6df30ccf1ab287f340dd7d5d541821bd69a19b81ea2eb8a14515bb65,,superseded; retained
actor-memory-v2.png,actor-memory-v2.prompt.md,built-in image_gen,not exposed,exec-295e9fa9-8587-4632-b38b-b374e4f5b3c6.png,1536,1024,2122678,7d272127a31eb5402b127e6daa89b478632862f552b5e9c8fc7689e812dbe366,rsi/assets/illustrations/actor-memory-v2.png,selected after full-size review
compute-contract-v1.png,compute-contract-v1.prompt.md,built-in image_gen,not exposed,exec-23bff6ac-66bf-4930-b243-d8b335fba9f7.png,1536,1024,1356964,21f466b57765393106fa01d6c58eb4831d43e4b0f4a995b2806ef37489a5cd9f,,superseded; retained
compute-contract-v2.png,compute-contract-v2.prompt.md,built-in image_gen,not exposed,exec-76e9a404-6644-46d2-9fe7-4cc858c44441.png,1536,1024,1588434,0b48772d739f3b80351f396d944d484bdfd40eff0987f7d2a4096061d6046747,rsi/assets/illustrations/compute-contract-v2.png,selected after full-size review
nested-research-v1.png,nested-research-v1.prompt.md,built-in image_gen,not exposed,exec-4fd9424b-b04d-4d71-ba20-9d5b94b97631.png,1536,1024,2034575,fd31415b5e24e62348744da7114f1e00b0abce6ea061d3cb39a4b47019a7e16a,,superseded; retained
nested-research-v2.png,nested-research-v2.prompt.md,built-in image_gen,not exposed,exec-36cafda0-7046-4511-a911-b15f850053b0.png,1536,1024,2140647,499fa41f8b10aac162a6c4eb6cbed95ef1d9017545840f9a27cc12fa89c3083d,rsi/assets/illustrations/nested-research-v2.png,selected after full-size review
scientific-claim-v1.png,scientific-claim-v1.prompt.md,built-in image_gen,not exposed,exec-fc49a94b-69cd-4821-a8c0-2ec1d1e53788.png,1536,1024,2037168,9664af0a79cffa87e4f89281949101d44fb35aa7c0b32d9dcc43387bcf1435de,,superseded; retained
scientific-claim-v2.png,scientific-claim-v2.prompt.md,built-in image_gen,not exposed,exec-83c64a76-0655-4628-a99a-198d564aeb37.png,1536,1024,2073250,0963904987618fc156fbcac6c8893954f6c111e5f4b441c1635831c3f374727d,rsi/assets/illustrations/scientific-claim-v2.png,selected after full-size review
data-science-process-v1.png,data-science-process-v1.prompt.md,built-in image_gen,not exposed,exec-b178eeb0-7f43-45e3-b10d-cfc948498221.png,1536,1024,1741889,cc209ae58117f13eca021e57d4b3297ba2f127783338317327745337c3d8665d,,superseded; retained
data-science-process-v2.png,data-science-process-v2.prompt.md,built-in image_gen,not exposed,exec-c7bd4200-6fb7-4a3e-aa01-a207af53433c.png,1536,1024,1872160,84a0e8dd9c86ba556b6eeb12de7a9f2c69c080b0b2a7ea3cc4be069ee4da9ef8,,superseded; retained
data-science-process-v3.png,data-science-process-v3.prompt.md,built-in image_gen,not exposed,exec-25b01f66-df36-4dab-8b11-7bafcd9cd782.png,1536,1024,1882867,f3df90ee970d603d86beffb6956975ce9a74ac45b76b9ea855e362f68379177f,,superseded; retained
data-science-process-v4.png,data-science-process-v4.prompt.md,built-in image_gen,not exposed,exec-31c077dd-4c15-49a2-9e84-7814d2ad481d.png,1536,1024,1916741,c92559a55dab6ff4ee60ab8ae913257a748adc239ae84b1613ef1718be6e91d1,rsi/assets/illustrations/data-science-process-v4.png,selected after full-size review
modular-harness-v1.png,modular-harness-v1.prompt.md,built-in image_gen,not exposed,exec-cb2e8854-06c3-4d48-81d4-9f1c84d303cb.png,1536,1024,1948350,64e66db0bf2248767b0ba83a5cdcf907cbbd4d57bcd6e292bcbd43c9fe22032e,,superseded; retained
modular-harness-v2.png,modular-harness-v2.prompt.md,built-in image_gen,not exposed,exec-e125e687-f34f-4001-ad1c-980eb9f92af6.png,1536,1024,2044261,2974c3676930dbfb84d84dcdb5cf41a21395380a6b2a8a4267d63e6908fbfab2,rsi/assets/illustrations/modular-harness-v2.png,selected after full-size review
meta-skill-schedules-v1.png,meta-skill-schedules-v1.prompt.md,built-in image_gen,not exposed,exec-f369ff93-ff85-4773-a196-6f4d67121165.png,1536,1024,2132262,ad943b55bd611c41b621844e95d6b17aa0a9435a966e7c618b2326a6b42d8699,,superseded; retained
meta-skill-schedules-v2.png,meta-skill-schedules-v2.prompt.md,built-in image_gen,not exposed,exec-ef836f7e-ec20-43a8-a82a-6b3b7dbed7f5.png,1536,1024,2115014,d4c5397b9600e93c2265d907095cb33d9ae30bff7bb4355b546a46a9461372f7,,superseded; retained
meta-skill-schedules-v3.png,meta-skill-schedules-v3.prompt.md,built-in image_gen,not exposed,exec-716d81b6-be8d-466f-a52d-a7aebbf18840.png,1536,1024,2125484,86009201fb95b08af410ef5d97f3e27c35c8e4ad312cdb3e2e174aee25dae0e0,rsi/assets/illustrations/meta-skill-schedules-v3.png,selected after full-size review
system-coordination-v1.png,system-coordination-v1.prompt.md,built-in image_gen,not exposed,exec-0ac5c449-34fc-4b2d-8f5d-55c38848dbff.png,1536,1024,1906151,b45e52c5f2cce0489140a503bc600aece1a1a9c711206e1f7709a9e0e53d1795,,superseded; retained
system-coordination-v2.png,system-coordination-v2.prompt.md,built-in image_gen,not exposed,exec-352b5076-052e-4ba0-b9f4-7b5abc0698fe.png,1536,1024,2011196,2d2e12d5ebf5eec3236233af4dee988feeb5db4fbd18196c935730f4880002b8,,superseded; retained
system-coordination-v3.png,system-coordination-v3.prompt.md,built-in image_gen,not exposed,exec-0e531d96-5253-4c2d-b390-a4fbb6040ce0.png,1536,1024,2032259,692cbe1f432ba2114e4a90fab97e38b24ae1bd2b25136816a75526a4e93f0391,rsi/assets/illustrations/system-coordination-v3.png,selected after full-size review
course-mindmap-v1.png,course-mindmap-v1.prompt.md,built-in image_gen,not exposed,exec-62f3ec67-edaa-4a7d-ae26-e1c3b85a0be4.png,1536,1024,2168122,2fa7106d985499c2d69d78a0644d3ff7c9fad7025e8b9da6368bfee4535ac6fd,,superseded; retained
course-mindmap-v2.png,course-mindmap-v2.prompt.md,built-in image_gen,not exposed,exec-10d4fc28-7a9e-4e4c-8264-adae4b1481ed.png,1536,1024,2202003,3fe1e13df8fc3739b847621e82ab51c7e72a7d3453920b774c0a7e1763b29a44,rsi/assets/illustrations/course-mindmap-v2.png,selected after full-size review
research-studio-map-v1.png,research-studio-map-v1.prompt.md,built-in image_gen,not exposed,exec-38373aae-4250-4696-a4f8-d8c07986e2cc.png,1536,1024,2074412,17f9441b38941c4942c2a4270aab130d6dfedae5d18463bd4ef6e255429393f2,,superseded; retained
research-studio-map-v2.png,research-studio-map-v2.prompt.md,built-in image_gen,not exposed,exec-620ddafb-53bd-4c5d-86f5-461fd7d2a9f5.png,1536,1024,2136511,7f7360981e66bdf1d2c1f8bbec99228002d2e72c44829d6e751949dc20f3ee0c,,superseded; retained
research-studio-map-v3.png,research-studio-map-v3.prompt.md,built-in image_gen,not exposed,exec-b5416c36-834a-4011-b336-8590f19cb522.png,1536,1024,2153482,e7ddc54fec633e9d313e0e5d253410dc95eaabb5817c2632f3f379b7c3356cf6,rsi/assets/illustrations/research-studio-map-v3.png,selected after full-size review
capstone-map-v1.png,capstone-map-v1.prompt.md,built-in image_gen,not exposed,exec-8c042091-c3e1-4f56-a72a-e64acba5af40.png,1536,1024,2022556,36b0e8aab22d9014e8f284a4f4279ae01dad5135f03388c6425021e60bb7cf0f,,superseded; retained
capstone-map-v2.png,capstone-map-v2.prompt.md,built-in image_gen,not exposed,exec-e5b15904-dfb3-488f-a2d0-994861e7c058.png,1536,1024,2138142,354dba325416419d5fc942595740185288612309142033c5b14c479f222037c7,,superseded; retained
capstone-map-v3.png,capstone-map-v3.prompt.md,built-in image_gen,not exposed,exec-36f36ff9-3324-40fa-9c37-c92476b5a37f.png,1536,1024,2140243,f34d5036e960fa5e47ba131ee97517ec1b3714213601830ab25992eb0d26193c,rsi/assets/illustrations/capstone-map-v3.png,selected after full-size review
capstone-new-brief-v1.png,capstone-new-brief-v1.prompt.md,built-in image_gen,not exposed,exec-7fc08f86-d807-49f5-9310-aeb8818ec099.png,1536,1024,2039872,51d97c9fa36577c35af94d6100c053a036046e524ab502a43edc5af6fa659a8d,rsi/assets/illustrations/capstone-new-brief-v1.png,selected after full-size review
capstone-recursion-v1.png,capstone-recursion-v1.prompt.md,built-in image_gen,not exposed,exec-8ef6ddd3-fbb3-45c7-8f4d-56c1268c4a5c.png,1536,1024,2070407,808dd9d886a3c9918d06f507ff8aa6d0e43e8ee54cd1488f290ea6bbfeb2699e,rsi/assets/illustrations/capstone-recursion-v1.png,selected after full-size review
capstone-portability-v1.png,capstone-portability-v1.prompt.md,built-in image_gen,not exposed,exec-ef8c8b4f-9fb2-4302-a518-b77858a86c29.png,1536,1024,1797402,9bcc51cffa51f2275d79d62f5e4d4b0fd338018579477362c26b8d8c02e03a4b,rsi/assets/illustrations/capstone-portability-v1.png,selected after full-size review
capstone-audit-v1.png,capstone-audit-v1.prompt.md,built-in image_gen,not exposed,exec-dbd11d93-b66b-4198-bf1e-5d0f0c6321cd.png,1536,1024,2113545,223700fdae53fa1574df57fbee566fbfe9187c54b3bca39abc0b7f9e66b8cdfb,rsi/assets/illustrations/capstone-audit-v1.png,selected after full-size review
capstone-teach-back-v2.png,capstone-teach-back-v2.prompt.md,built-in image_gen,not exposed,exec-b17c9a38-91f3-4ff7-8721-a5823a6e1198.png,1536,1024,2093619,bf0c51a3c7a3518c0edf8cd730e4d95d2e1b620ac0194b687ce4d9facc71d771,rsi/assets/illustrations/capstone-teach-back-v2.png,selected after full-size review
capstone-teach-back-v1.png,capstone-teach-back-v1.prompt.md,built-in image_gen,not exposed,exec-52c53998-eeda-4a38-b62f-1fdcf0d59f4f.png,1536,1024,2051369,dccf825edd5e9cc15ede8e162f713aae77fa52c7ed2c26cdd54f29405f51cfce,,superseded; retained
fixed-improver-v2.png,fixed-improver-v2.prompt.md,built-in image_gen,not exposed,exec-bb54ed08-d8a8-49c7-9749-ed21ad98c7be.png,1536,1024,1821912,d9fbba7b573da69e27197a1c7aa4948c507a3fd0c3f81131b8c4319bbc4a8a61,rsi/assets/illustrations/fixed-improver-v2.png,selected after full-size review
improver-proposal-v1.png,improver-proposal-v1.prompt.md,built-in image_gen,not exposed,exec-0be52da4-e514-4eff-a1d3-0edfc6c43d13.png,1536,1024,1901462,a6eb693b6618a469780d95d30d46ceb0366fccce5c9c870458069d3748e03224,rsi/assets/illustrations/improver-proposal-v1.png,selected after full-size review
improver-comparison-v1.png,improver-comparison-v1.prompt.md,built-in image_gen,not exposed,exec-f5fb2842-9b3a-4789-8710-ed07f7224e8d.png,1536,1024,1799461,6f81188afc56736a768403d8c3ad811d51c0975dca982437438584e032721e64,rsi/assets/illustrations/improver-comparison-v1.png,selected after full-size review
bounded-lineage-v1.png,bounded-lineage-v1.prompt.md,built-in image_gen,not exposed,exec-41ec8ba7-0eb3-49a3-bfbb-fac589101296.png,1536,1024,1796061,43b1466a40e6c29023b1012b70261de37ba9ac308cff1e42c16951256cc52f7b,rsi/assets/illustrations/bounded-lineage-v1.png,selected after full-size review
