hour,size,mean
0,182,47.96047567857523
1,182,62.59013261124105
2,181,68.06046675394921
3,176,69.28754125795194
4,179,73.14140854734204
5,182,56.338840412343515
6,182,44.593114764078365
7,182,160.67240016269787
8,182,178.2808884353945
9,182,149.01424623315015
10,182,91.25668761198418
11,182,120.74075693617058
12,182,163.03739310546592
13,182,155.705446191238
14,182,138.32727610591385
15,182,145.77350637835167
16,182,172.87030220266615
17,182,201.37902937113972
18,182,191.2578615529852
19,182,174.354140057867
20,182,117.5887239345988
21,182,89.55652034965787
22,182,55.13366203730979
23,182,37.43084512558533
