hour,size,mean
0,182,38.84381275952443
1,182,32.30693530998445
2,181,26.90335801409888
3,176,21.617048913140053
4,179,17.6697003796642
5,182,23.808585994929963
6,182,59.48910851143071
7,182,163.34165149125846
8,182,260.20378109689455
9,182,117.7689894746229
10,182,94.59733308171762
11,182,112.47809793795675
12,182,130.67536306352483
13,182,136.1707953841377
14,182,128.28984539490878
15,182,134.2461896791237
16,182,155.6482503618264
17,182,243.14554407156763
18,182,233.19329603299207
19,182,168.6456881109481
20,182,119.23184941085393
21,182,89.98817511242476
22,182,70.8813709453127
23,182,51.35759655689448
