hour,size,mean
0,182,26.12523495148008
1,182,16.38911549479089
2,181,12.834637348992153
3,176,9.428428626777944
4,179,9.033626901238184
5,182,9.442349453157036
6,182,56.7871173763995
7,182,167.6142131721362
8,182,198.23530222337178
9,182,121.1224200657035
10,182,86.22758403123773
11,182,115.1009525610163
12,182,155.68000036522753
13,182,161.4101791108199
14,182,146.451806275782
15,182,156.22779729991174
16,182,167.3829400401899
17,182,244.4421469106774
18,182,235.70252166235798
19,182,175.25058643176195
20,182,146.27184957468594
21,182,87.9857309809164
22,182,52.17077987594678
23,182,44.76776537101318
