game,agent_mark,winner,result,plies,final_board
0,X,X,win,7,XO.XXO.OX
1,O,draw,draw,9,XOXXOOOXX
2,X,X,win,5,OX..X.OX.
3,O,O,win,8,OXOXOXOX.
4,X,X,win,5,.XO.X..XO
5,O,O,win,8,X.XOOOOXX
6,X,X,win,7,XO.XXOO.X
7,O,O,win,8,XXO.XXOOO
8,X,X,win,9,XOOXXXXOO
9,O,O,win,8,OXXXOOX.O
10,X,draw,draw,9,OXOOXXXOX
11,O,O,win,8,OXO.OXOXX
12,X,X,win,7,.OOXXXXO.
13,O,draw,draw,9,XXOOOXXXO
14,X,X,win,7,OX.XXOOX.
15,O,X,loss,7,O.O.XOXXX
16,X,X,win,5,X..OXO..X
17,O,O,win,8,XXO.OXOXO
18,X,X,win,7,O..XXXOOX
19,O,O,win,6,.XXOOO..X
20,X,X,win,7,XO.XXOX.O
21,O,draw,draw,9,OOXXXOOXX
22,X,X,win,5,X..OX.O.X
23,O,draw,draw,9,XOOOXXXXO
24,X,X,win,5,X..OXO..X
25,O,X,loss,5,..X.X.XOO
26,X,X,win,9,XOXOXOXXO
27,O,O,win,6,X.O.OXO.X
28,X,X,win,7,OXOXXO.X.
29,O,X,loss,7,XXXXO.O.O
30,X,X,win,7,O.XOX.XOX
31,O,draw,draw,9,OXOXXOXOX
32,X,X,win,5,.O.XXX..O
33,O,O,win,8,XOXXOXOO.
34,X,draw,draw,9,XOXOXXOXO
35,O,O,win,8,OXOXO.OXX
36,X,draw,draw,9,OXOOXXXOX
37,O,O,win,8,XXO.XOXOO
38,X,X,win,7,XOOXX.X.O
39,O,X,loss,5,O...O.XXX
40,X,X,win,7,OXOXX.OX.
41,O,O,win,8,.XOXXOXOO
42,X,X,win,5,X...XOO.X
43,O,O,win,6,.XO.O.OXX
44,X,X,win,9,OXXOXOXOX
45,O,O,win,8,X.XOOOOXX
46,X,X,win,5,...XXXO.O
47,O,X,loss,7,XO.X.XXOO
48,X,X,win,7,XOO.XOX.X
49,O,O,win,8,XO.XOXOOX
50,X,X,win,7,.XO.XOOXX
51,O,O,win,8,OOOOXX.XX
52,X,draw,draw,9,XXOOXXXOO
53,O,X,loss,5,..XO.X.OX
54,X,X,win,7,O.XOXXX.O
55,O,draw,draw,9,OXOXXOXOX
56,X,X,win,7,O.XOX.XOX
57,O,draw,draw,9,XOOOXXXXO
58,X,X,win,5,.XO.X..XO
59,O,X,loss,7,XXOX.OXO.
60,X,X,win,7,XO.XXXOO.
61,O,O,win,6,X.OXO.OX.
62,X,X,win,7,XO.OXX.OX
63,O,draw,draw,9,OXOXXOXOX
64,X,X,win,5,...XXXO.O
