board,player,action,value
.........,X,0,-0.13340347530984326
.........,X,1,-0.31893554069576724
.........,X,2,-0.20740557839654222
.........,X,3,-0.30323399004853935
.........,X,4,0.40774345863375416
.........,X,5,-0.1046353035941846
.........,X,6,-0.22648797882023936
.........,X,7,-0.24710001750209526
.........,X,8,-0.12654265043113935
........X,O,0,-0.56266467418836
........X,O,1,-0.8944536834652539
........X,O,2,-0.483800408409999
........X,O,3,-0.5186592600922598
........X,O,4,0.10781812871976595
........X,O,5,-0.8680034772154476
........X,O,6,-0.6424582361071485
........X,O,7,-0.8281174220799999
.......OX,X,0,0.2
.......OX,X,3,0.0
.......OX,X,4,0.7851467776
.......X.,O,0,0.3599799748806869
.......X.,O,1,-0.635456
.......X.,O,2,-0.470627979264
.......X.,O,3,-0.46240000000000003
.......X.,O,4,-0.4625617092177697
.......X.,O,5,-0.2839236373746409
.......X.,O,6,-0.25074717782835204
.......X.,O,8,-0.3255046799360001
.......XO,X,2,-0.2
.......XO,X,3,-0.2
.......XO,X,4,0.45999923200000004
.......XO,X,5,-0.2
......O.X,X,2,0.6878258176000001
......O.X,X,5,-0.22364415999999998
......O.X,X,7,0.0
......OX.,X,1,-0.2
......OX.,X,2,-0.2
......OX.,X,3,-0.36000000000000004
......OX.,X,4,0.45826303999999995
......OX.,X,8,-0.03999999999999998
......OXX,O,1,-0.2
......OXX,O,3,0.2
......OXX,O,4,0.0
......X..,O,0,-0.615370471203237
......X..,O,1,-0.49403470103104097
......X..,O,2,-0.8205546996104268
......X..,O,3,-0.7254592586522228
......X..,O,4,-0.4830779620689851
......X..,O,5,0.26206741748312745
......X..,O,7,-0.8495966510004069
......X..,O,8,-0.6429893030176796
......X.O,X,0,0.05842105628901846
......X.O,X,1,0.5708485447503053
......X.O,X,2,-0.03999999999999998
......X.O,X,3,-0.1903707888115548
......X.O,X,4,-0.08800000000000002
......X.O,X,5,-0.2576
......X.O,X,7,0.014400000000000024
......XO.,X,0,0.7879878561271377
......XO.,X,1,0.3024
......XO.,X,2,0.0986919821312
......XO.,X,3,0.03999999999999998
......XO.,X,5,0.1296
......XO.,X,8,0.06559999999999999
......XOX,O,2,-0.03999999999999998
......XOX,O,3,-0.03999999999999998
......XXO,O,0,0.08800000000000002
......XXO,O,4,-0.2
.....O..X,X,0,0.83222784
.....O..X,X,1,0.0
.....O..X,X,2,-0.14601676800000002
.....O..X,X,3,0.0
.....O..X,X,4,0.2
.....O..X,X,7,0.2
.....O.X.,X,0,-0.350784
.....O.X.,X,1,-0.30368
.....O.X.,X,2,-0.29342976
.....O.X.,X,3,-0.5904
.....O.X.,X,4,-0.30368
.....O.X.,X,6,-0.36000000000000004
.....O.X.,X,8,0.5443557636767744
.....O.XX,O,0,-0.36000000000000004
.....O.XX,O,1,-0.2
.....O.XX,O,2,-0.25248000000000004
.....O.XX,O,3,-0.2
.....O.XX,O,4,-0.17567999999999998
.....O.XX,O,6,-0.2
.....OOXX,X,4,0.2
.....OX..,X,0,0.131510923264
.....OX..,X,1,-0.23199999999999998
.....OX..,X,2,-0.16800000000000004
.....OX..,X,3,0.07199999999999998
.....OX..,X,4,-0.0023466188799999566
.....OX..,X,7,-0.36000000000000004
.....OX..,X,8,-0.04003819757790819
.....OX.X,O,0,0.13446400000000003
.....OX.X,O,1,-0.19039999999999996
.....OX.X,O,2,-0.23199999999999998
.....OX.X,O,3,-0.36000000000000004
.....OX.X,O,4,-0.2
.....OX.X,O,7,-0.36000000000000004
.....OXOX,X,0,0.36000000000000004
.....OXX.,O,8,0.5904
.....OXXO,X,0,-0.2
.....OXXO,X,1,-0.2
.....OXXO,X,2,-0.2
