game,winner,plies,final_board
0,O,8,X.OXXOOXO
1,X,9,OXXOOXXOX
2,draw,9,OXOXOXXOX
3,X,9,XXXXOOOOX
4,O,6,XX.OOO.X.
5,X,5,.O..O.XXX
6,X,7,OOXOX.X.X
7,draw,9,OXXXOOXOX
8,draw,9,OXOXOXXOX
9,X,9,XOXXXOOOX
10,X,7,XXX.OO.OX
11,O,8,XOOXO.OXX
12,X,5,XO..X..OX
13,O,8,OOOXOXX.X
14,X,9,XXOOXOOXX
15,X,7,XO.OX.XOX
16,X,9,XXOOXXOOX
17,O,8,XXO.OXOOX
18,X,9,OXOXXOOXX
19,draw,9,OOXXXOOXX
20,X,9,XXXOOXOOX
21,X,5,XXXO.O...
22,X,5,....OOXXX
23,O,6,XX.OOOX..
24,draw,9,OXXXOOOXX
25,O,6,OX.XO.X.O
26,X,7,OOXOX.X.X
27,O,6,X.OXO.O.X
28,X,5,X.O.X..OX
29,O,8,.XOXXOXOO
30,X,7,X.O.XOXOX
31,O,8,OO.OXXOXX
32,X,9,OXXXOXOOX
33,X,7,XOX.XO.OX
34,O,6,OOOX..X.X
35,X,7,XOXOXO..X
36,X,7,O.X.OXXOX
37,X,9,OXXOXOXXO
38,X,9,XXXOOXOXO
39,O,6,XOX.OX.O.
40,X,9,XOOOOXXXX
41,O,8,OOX.OXXXO
42,O,8,OXXX.XOOO
43,O,6,..OX.OXXO
44,X,7,XXXO.O.XO
45,X,9,XXOOXXOXO
46,O,8,.OOXXOXXO
47,draw,9,XOXOOXXXO
48,X,5,OO....XXX
49,X,9,OXOOOXXXX
50,X,9,OOXXOXOXX
51,X,5,XO..X..OX
52,O,6,OOOXX...X
53,X,9,XOOOXXXOX
54,O,6,OOO.X.X.X
55,O,8,XXO.OXOXO
56,X,5,OO....XXX
57,O,8,OOXOX.OXX
58,X,9,XOOOXXOXX
59,X,7,OOXX.X.OX
60,O,8,XOO.OXOXX
61,O,8,XOO.OXXOX
62,O,8,O.XOOXXXO
63,X,9,XXXXOOOXO
64,draw,9,OOXXXOOXX
65,O,8,.OOXXOXXO
66,X,7,.XXOXOX.O
67,X,9,OXOXXXXOO
68,X,7,XX.OXOOX.
69,X,9,XXOXXOOOX
70,X,9,XOOXXOXOX
71,draw,9,XXOOXXXOO
72,O,8,OXXX.XOOO
73,O,8,OXXXOX.OO
74,X,9,OOXOXOXXX
75,O,8,OXXO.XOXO
76,X,7,OX.XXO.XO
77,X,7,O..XXXXOO
78,X,5,...XXXOO.
79,X,9,OXXOXXXOO
80,X,9,OXOXXXXOO
81,X,7,XXXOX..OO
82,X,7,X.OOXOX.X
83,X,7,XOO.X.OXX
84,X,5,O.XO.X..X
85,O,8,XOX.XXOOO
86,O,6,X..XX.OOO
87,X,7,.XXOXOXO.
88,X,9,OOXXXXOXO
89,X,9,OXXOXXXOO
90,X,7,.OXXXXOO.
91,X,9,XOOXXOXOX
92,X,7,OXO.XO.XX
93,X,7,X.OXXOO.X
94,X,5,.O.XXX..O
95,X,7,XOOX..XOX
96,draw,9,OXOOXXXOX
97,X,7,XO.OXX.OX
98,draw,9,OXOXXOXOX
99,X,9,OOXXXOXOX
100,O,6,X...XXOOO
101,draw,9,OXOOXXXOX
102,X,7,..XOXXXOO
103,X,5,XO..XO..X
104,O,6,OOO..X.XX
105,X,9,XOXOXXXOO
106,O,8,OXOXXOX.O
107,X,7,.XO.XOOXX
108,X,9,XOOXXXXOO
109,X,7,.XO.XXOXO
110,X,7,O..OXOXXX
111,O,8,OOOOXXX.X
112,X,7,XOOXXOX..
113,X,7,XXXOX.OO.
114,X,7,OOX.XXX.O
115,X,7,X.OXXOXO.
116,O,6,OOO.XX..X
117,X,7,OXX.XOOX.
118,draw,9,OXOOXXXOX
119,X,5,O..XXX.O.
120,X,9,XXOOXXOXO
121,X,9,OOXXXXOXO
122,X,7,O.XXXX.OO
123,O,8,O.OXXOXXO
124,O,8,OXXOXOO.X
125,X,9,OOXXOOXXX
126,X,5,..XOX.XO.
127,X,7,O.XO.OXXX
128,X,7,.OXO.XOXX
129,X,5,O.X.OX..X
130,O,8,.OXXOXXOO
131,O,8,O.XOOXXXO
132,X,5,X...XOO.X
133,X,7,XO..XOXOX
134,X,5,X..OXO..X
135,X,5,X...XOO.X
136,O,8,OXXOXOO.X
137,X,9,XOOOXOXXX
138,X,7,XOXOX.X.O
139,X,9,XOOXOXXXO
140,X,7,XOOOX..XX
141,O,6,.X..XXOOO
142,O,6,..XXX.OOO
143,O,8,OXXOO.OXX
144,X,7,XO.OXOX.X
145,X,7,XO.OX.XOX
146,X,7,O.OXXXO.X
147,draw,9,OXXXOOOXX
148,draw,9,OXXXOOOXX
149,draw,9,OXXXOOXOX
150,X,9,XOXXXOOOX
151,O,8,XOXOOOX.X
152,O,8,XOX.OOXOX
153,X,7,OXO.XX.XO
154,O,8,OXXOXXO.O
155,X,7,OXX.XOX.O
156,draw,9,XXOOXXXOO
157,O,6,..OXXOX.O
158,X,7,.XXOX.OXO
159,X,9,XXXOOXXOO
160,draw,9,XOOOXXXXO
161,X,9,OOXXXOXXO
162,O,6,XO.XOX.O.
163,X,5,.X.OX..XO
164,O,8,OOO.XXXXO
165,draw,9,XXOOOXXXO
166,draw,9,XOXXOXOXO
167,X,5,.O..O.XXX
168,O,8,XXOOOOX.X
169,X,9,XOXOOXOXX
170,O,6,O.X.O.XXO
171,O,8,OOXXO.XXO
172,draw,9,OXOOXXXOX
173,X,7,OXO.X.OXX
174,X,7,OXXOX.X.O
175,X,7,O.X.OXXOX
176,X,9,OXOXXXXOO
177,O,8,.XOOOXOXX
178,O,8,.XXOOOXOX
179,X,9,OOXOOXXXX
180,X,5,..XOOX..X
181,draw,9,OXXXOOXOX
182,O,8,XOX.XXOOO
183,draw,9,XOOOXXXXO
184,X,9,OOXXOOXXX
185,X,7,XOX..XOOX
186,X,5,.OX.OX..X
187,O,8,OXXO.OOXX
188,X,7,XXXO.O.OX
189,X,9,XOXOXXOOX
190,draw,9,XOXOOXXXO
191,O,8,XOXOOXXO.
192,draw,9,XOXXOOOXX
193,draw,9,OOXXXOOXX
194,draw,9,OOXXXOOXX
195,X,7,.OXOXOX.X
196,X,5,...XXXO.O
197,draw,9,XOXXOXOXO
198,X,9,OXXXOXOOX
199,X,7,XXX..OOXO
200,X,5,XXXO....O
201,X,9,XOXOOXOXX
202,O,6,..XOOOX.X
203,X,7,XXX.OOO.X
204,draw,9,XOXXOOOXX
205,X,5,..X.OX.OX
206,O,8,O.XOXOOXX
207,X,7,XO..XOOXX
208,draw,9,XOXXOOOXX
209,O,8,OOXXO.XXO
210,X,9,OXOXXXXOO
211,X,7,OOX.XXX.O
212,O,8,OXXOXOO.X
213,X,7,XXOOX.O.X
214,X,5,...XXXO.O
215,X,7,OX..XXOXO
216,O,8,X.XOXXOOO
217,X,9,OXXOXOXOX
218,X,5,.X.OXO.X.
219,O,8,XOXXOX.OO
220,X,7,OXXOXOX..
221,draw,9,XOXOXXOXO
222,draw,9,XOOOXXXXO
223,X,7,O.OXXXXO.
224,X,7,OO.XXXOX.
225,O,6,..X.XXOOO
226,X,7,O.X.XOXOX
227,X,9,OXXXXOXOO
228,X,7,.O.XXXXOO
229,X,7,..OXXXXOO
230,O,8,XXOXX.OOO
231,X,7,XOXX..XOO
232,draw,9,XXOOOXXOX
233,X,9,OXXOXXXOO
234,O,8,OXOXXOX.O
235,draw,9,OXXXOOOXX
236,X,7,OXO.XXOX.
237,O,6,..X.XXOOO
238,O,6,.XOX.OX.O
239,X,7,XO.XXO.OX
240,X,5,OO.XXX...
241,X,7,O.XOOXX.X
242,X,5,OO....XXX
243,draw,9,OXOXOXXOX
244,draw,9,OXOXXOXOX
245,X,7,XXX.OOO.X
246,X,7,OX.OXO.XX
247,X,5,..X.OXO.X
248,O,8,XO.XOXOOX
249,O,8,OXO.OXOXX
250,O,6,.O.XO.XOX
251,X,5,..X..XOOX
252,O,8,XOO.OXOXX
253,X,5,X.O.X..OX
254,draw,9,XOXOXXOXO
255,X,9,XXXOXOOOX
256,X,7,.O.XXXOOX
257,draw,9,XXOOOXXOX
258,O,8,XOX.OOXOX
259,X,7,X.XOXOX.O
260,draw,9,XOOOXXXXO
261,O,8,XX.OXXOOO
262,X,7,OX.OXOXX.
263,O,8,XOXXOO.OX
264,O,6,..OXXOX.O
265,O,8,XXOOXOX.O
266,O,8,XOX.XXOOO
267,X,7,XX.X.OXOO
268,O,8,XXO.OOXXO
269,O,8,.OXXOOXOX
270,X,7,.XOOO.XXX
271,X,7,.XXOXOOX.
272,X,5,.XO.XO.X.
273,X,9,OXXOXOXXO
274,X,5,XXX.OO...
275,X,9,OXXXXOOXO
276,X,9,XXOXOOXOX
277,X,9,XXOXOXXOO
278,O,6,OXXOX.O..
279,X,5,XXX.OO...
280,X,9,OXXOOXXOX
281,draw,9,OXOOXXXOX
282,X,9,OXOXOOXXX
283,O,6,.XOXOXO..
284,O,8,OXXO.OOXX
285,X,5,XXX...OO.
286,X,9,OXOXXOOXX
287,X,5,XXXO..O..
288,X,7,OXO.XOXX.
289,draw,9,XXOOOXXOX
290,O,8,XX.OOOXOX
291,O,8,OXXO.OOXX
292,O,8,XX.OOOXOX
293,draw,9,OXOOXXXOX
294,draw,9,OXOOXXXOX
295,draw,9,OXOOXXXOX
296,draw,9,OXOOXXXOX
297,O,6,..OXXOX.O
298,X,9,OXXOXOXOX
299,X,9,XXXOOXOOX
300,draw,9,OXOOXXXOX
301,X,9,XXXOXOXOO
302,X,5,.X.OX.OX.
303,draw,9,OXOXXOXOX
304,X,9,OXXOOXXOX
305,O,8,OXOXOXX.O
306,X,7,XXXO.OO.X
307,O,6,XX..X.OOO
308,O,8,OXXXX.OOO
309,X,9,OOXXOXOXX
310,X,7,.XO.OOXXX
311,X,7,X.OXO.XOX
312,O,8,O.OOXXOXX
313,O,8,XOOXOXO.X
314,X,5,.OX..XO.X
315,X,7,X.XOXOO.X
316,X,5,.OX..XO.X
317,O,8,OOOOXXX.X
318,X,5,XOO.X...X
319,X,5,OX.OX..X.
320,O,8,OXO.OXOXX
321,draw,9,OXOXXOXOX
322,X,7,OOX.X.XOX
323,X,9,XOOXXOOXX
324,X,7,XO.OXO.XX
325,draw,9,OXXXOOOXX
326,O,8,OOOXOXX.X
327,X,7,XO..OOXXX
328,X,5,.O..O.XXX
329,O,8,OXO.OXOXX
330,X,9,XXOXOOXOX
331,O,8,OO.OXXOXX
332,O,8,OOO.XXXXO
333,X,7,XO.OXOX.X
334,X,9,OOXXOXOXX
335,O,8,OOXOX.OXX
336,X,7,OOXO..XXX
337,X,9,XOOOXXOXX
338,X,5,O.X..X.OX
339,O,8,X.XOOOXOX
340,O,8,OO.XOXXXO
341,O,8,XX.OOOXOX
342,X,5,..XOOX..X
343,draw,9,XXOOOXXXO
344,O,6,X.X..XOOO
345,X,9,OOXOXXXXO
346,O,8,OXOO.XOXX
347,O,6,.X..XXOOO
348,X,7,XO..XOOXX
349,O,8,O.OXOXOXX
350,X,7,OXX.XOOX.
351,O,8,OXXO.OOXX
352,draw,9,XOXXXOOXO
353,X,5,.X.OX..XO
354,O,8,O.OXOXOXX
355,O,8,.XXOOOOXX
356,O,6,O.XO.XOX.
357,draw,9,XOXXOOOXX
358,draw,9,OXXXOOOXX
359,X,7,XOO.X.OXX
360,draw,9,XOXOXXOXO
361,draw,9,OOXXXOOXX
