game,ply,board,player,action,return,before,after
0,1,.........,X,4,-1,0.0,-0.2
0,2,....X....,O,5,1,0.0,0.2
0,3,....XO...,X,7,-1,0.0,-0.2
0,4,....XO.X.,O,8,1,0.0,0.2
0,5,....XO.XO,X,0,-1,0.0,-0.2
0,6,X...XO.XO,O,6,1,0.0,0.2
0,7,X...XOOXO,X,3,-1,0.0,-0.2
0,8,X..XXOOXO,O,2,1,0.0,0.2
1,1,.........,X,8,1,0.0,0.2
1,2,........X,O,3,-1,0.0,-0.2
1,3,...O....X,X,6,1,0.0,0.2
1,4,...O..X.X,O,7,-1,0.0,-0.2
1,5,...O..XOX,X,5,1,0.0,0.2
1,6,...O.XXOX,O,0,-1,0.0,-0.2
1,7,O..O.XXOX,X,1,1,0.0,0.2
1,8,OX.O.XXOX,O,4,-1,0.0,-0.2
1,9,OX.OOXXOX,X,2,1,0.0,0.2
2,1,.........,X,8,0,0.2,0.16
2,2,........X,O,2,0,0.0,0.0
2,3,..O.....X,X,3,0,0.0,0.0
2,4,..OX....X,O,7,0,0.0,0.0
2,5,..OX...OX,X,5,0,0.0,0.0
2,6,..OX.X.OX,O,0,0,0.0,0.0
2,7,O.OX.X.OX,X,1,0,0.0,0.0
2,8,OXOX.X.OX,O,4,0,0.0,0.0
2,9,OXOXOX.OX,X,6,0,0.0,0.0
3,1,.........,X,1,1,0.0,0.2
3,2,.X.......,O,4,-1,0.0,-0.2
3,3,.X..O....,X,8,1,0.0,0.2
3,4,.X..O...X,O,6,-1,0.0,-0.2
3,5,.X..O.O.X,X,3,1,0.0,0.2
3,6,.X.XO.O.X,O,5,-1,0.0,-0.2
3,7,.X.XOOO.X,X,2,1,0.0,0.2
3,8,.XXXOOO.X,O,7,-1,0.0,-0.2
3,9,.XXXOOOOX,X,0,1,0.0,0.2
4,1,.........,X,1,-1,0.2,-0.03999999999999998
4,2,.X.......,O,5,1,0.0,0.2
4,3,.X...O...,X,0,-1,0.0,-0.2
4,4,XX...O...,O,4,1,0.0,0.2
4,5,XX..OO...,X,7,-1,0.0,-0.2
4,6,XX..OO.X.,O,3,1,0.0,0.2
5,1,.........,X,8,1,0.16,0.328
5,2,........X,O,4,-1,0.0,-0.2
5,3,....O...X,X,6,1,0.0,0.2
5,4,....O.X.X,O,1,-1,0.0,-0.2
5,5,.O..O.X.X,X,7,1,0.0,0.2
6,1,.........,X,8,1,0.328,0.46240000000000003
6,2,........X,O,0,-1,0.0,-0.2
6,3,O.......X,X,4,1,0.0,0.2
6,4,O...X...X,O,3,-1,0.0,-0.2
6,5,O..OX...X,X,6,1,0.0,0.2
