action,exit,wall_seconds
07-01-later-fixed-reporter,0,0.16020660000503995
07-03-read-retained-memory,0,0.19713659999979427
07-04-parent-constant,0,2.0134373999972013
07-04-parent-check-trial-001,0,2.3696845000013127
07-04-parent-tree,0,2.6499676999956137
07-04-parent-check-trial-002,0,2.402151199996297
07-04-child-constant,0,2.385188399995968
07-04-child-check-trial-001,0,2.6354217999978573
07-04-child-linear,0,2.5192597999994177
07-04-child-check-trial-002,0,2.261320399993565
08-05-parent-constant,0,2.498142000004009
08-05-parent-check-trial-001,0,2.3532850999981747
08-05-parent-tree,0,2.4421107999951346
08-05-parent-check-trial-002,0,2.4188686999987112
08-05-child-constant,0,2.444893100000627
08-05-child-check-trial-001,0,2.314066600003571
08-05-child-linear,0,2.8519353000010597
08-05-child-check-trial-002,0,2.316100299998652
