attempt,path,generation,arm,role,skill,output,status,exit_status,wall_seconds
1,baseline,1,active,parent,skills/TASK-initial.md,baseline/generation-1/active/parent,success,0,3.652326000003086
2,baseline,1,active,child,baseline/generation-1/TASK-proposal.md,baseline/generation-1/active/child,success,0,4.2208040000041365
3,baseline,2,active,parent,skills/TASK-initial.md,baseline/generation-2/active/parent,success,0,3.8136249000017415
4,baseline,2,active,child,baseline/generation-2/TASK-proposal.md,baseline/generation-2/active/child,success,0,4.999445300003572
5,recursive,1,active,parent,skills/TASK-initial.md,recursive/generation-1/active/parent,success,0,4.402748200001952
6,recursive,1,active,child,recursive/generation-1/TASK-proposal.md,recursive/generation-1/active/child,success,0,4.162694800004829
7,recursive,1,proposed,parent,skills/TASK-initial.md,recursive/generation-1/proposed/parent,success,0,3.211591299994325
8,recursive,1,proposed,child,recursive/generation-1/TASK-proposal.md,recursive/generation-1/proposed/child,success,0,4.733553199999733
9,recursive,2,active,parent,skills/TASK-initial.md,recursive/generation-2/active/parent,success,0,3.4378177000035066
10,recursive,2,active,child,recursive/generation-2/TASK-proposal.md,recursive/generation-2/active/child,success,0,3.6617639000032796
11,recursive,2,proposed,parent,skills/TASK-initial.md,recursive/generation-2/proposed/parent,success,0,4.4769366000036825
12,recursive,2,proposed,child,recursive/generation-2/TASK-proposal.md,recursive/generation-2/proposed/child,success,0,4.848618500000157
