"action","exit_status","expected_exit","wall_seconds"
"initialize","0","0","4.7629941"
"fixed-generation-1","0","0","11.6887488"
"fixed-generation-2","0","0","12.9626686"
"recursive-proposal-1","0","0","4.7273861"
"resume-status-1","0","0","3.9630871"
"recursive-comparison-1","0","0","20.8214071"
"recursive-proposal-2","0","0","6.5564539"
"resume-status-2","0","0","5.6265668"
"recursive-comparison-2","0","0","20.4686112"
"refuse-fixed-generation-3","1","1","4.4490049"
"refuse-recursive-generation-3","1","1","4.0827742"
"audit","0","0","3.7031453"
