action,exit,wall_seconds
inspect-bike,0,2.0294198999908986
10-13-fit-1,0,1.5545635999878868
10-13-check-1,0,1.5300150999973994
10-13-fit-2,0,1.6051747999881627
10-13-check-2,0,1.5200831999973161
10-13-fit-3,0,1.6001853000052506
10-13-check-3,0,1.9271408000058727
10-13-fit-4,0,1.5558868999942206
10-13-check-4,0,1.614818700007163
10-14-R0-fit-1,0,1.5915648999944096
10-14-R0-check-1,0,1.528450600002543
10-14-R0-fit-2,0,1.5560796999925515
10-14-R0-check-2,0,1.5111199999955716
10-14-R0-fit-3,0,1.5597026999894297
10-14-R0-check-3,0,1.5220165000064299
10-14-R1-fit-1,0,1.556211600007373
10-14-R1-check-1,0,1.5182427000108873
10-14-R1-fit-2,0,1.5778177000029245
10-14-R1-check-2,0,1.5112265000061598
10-14-R1-fit-3,0,1.6884916000126395
10-14-R1-check-3,0,1.7120070999953896
