path,generation,attempt,fits,fit_seconds,inference_cost,wall_seconds
baseline,1,1,1,0.19064899999648333,unknown,3.652326000003086
baseline,1,2,1,0.15786150000349153,unknown,4.2208040000041365
baseline,2,3,1,0.1850196000013966,unknown,3.8136249000017415
baseline,2,4,1,0.19431180000538006,unknown,4.999445300003572
recursive,1,5,1,0.18781079999462236,unknown,4.402748200001952
recursive,1,6,1,0.19707159999961732,unknown,4.162694800004829
recursive,1,7,1,0.08248630000161938,unknown,3.211591299994325
recursive,1,8,1,0.3401339000047301,unknown,4.733553199999733
recursive,2,9,1,0.08434890000353334,unknown,3.4378177000035066
recursive,2,10,1,0.09613740000349935,unknown,3.6617639000032796
recursive,2,11,1,0.24284699999407167,unknown,4.4769366000036825
recursive,2,12,1,0.15424099999654572,unknown,4.848618500000157
