action,exit,wall_seconds
discovery-A,0,1.6144050000002608
check-A,0,1.5155878999939887
discovery-B,0,1.5787401999987196
check-B,0,1.5431531999929575
discovery-C,0,1.5866729999979725
check-C,0,1.5126977000036277
replay-P0,0,0.12690329999895766
replay-P1,0,0.11868390000017826
replay-absent,0,0.10697090000030585
coverage-P0,0,0.11406969999370631
coverage-P1,0,0.09948080001049675
online-P0-A,0,1.487886000002618
online-P0-B,0,1.5210231999953976
online-P1-A,0,1.4992760000022827
online-P1-C,0,1.4878569000138668
