path,sha256
PROTOCOL.md,d510807225da51af7be127d429e4d94160b32d7d95f75aa913b4dc16c313d397
SOURCE-AUDIT.md,2139ded561b252e8576bdf97f25300eddcf2f80477fb8425090df8c0ef51be75
lab.source.py,d69d3fbd8a4ace3e0332f4dfbc9a2648f87f858867229db63bc854f7810120a0
checker.source.py,7fefc839f2b9ed85b0dc56a9076c63ed8759f999e3721e2a16c1e03e52d2ff61
BIKE-DATA-CARD.md,47ecf2b007063bdb970ca6a65b6526059422f61b1b6e15fd2f2ab19bad6003c2
WINE-DATA-CARD.md,e13456b76bb45defdd5a94835ac17d651b18d23d5d5341417bedddb9c40b1177
run-efficient-harnesses.mjs,938c55e1974e71e459518c2e49524674973019188b012ce8fac2bcbfc6fb26af
QUALITY-COST.md,d510807225da51af7be127d429e4d94160b32d7d95f75aa913b4dc16c313d397
H0.md,24272ea12c924c1bb742f8c6eb0bc3ff6568fcc5f2cefd0aac94c5bee3149921
H1.md,bb502307e70cbb1ac9885a17ae6ce83e4035826565f3074bd6ea48cb493eb94e
PROPOSAL.md,ab90f46f0bc10519336ff5a97e302e9ca3c6a5f23058bb24b214b38f7dd7ca09
