hr,n,mean_residual,mae
0,182,18.312201218243352,38.84381275952443
1,182,5.673697978555365,32.30693530998445
2,181,-1.5795676102543565,26.90335801409888
3,176,-8.372924441775275,21.617048913140053
4,179,-12.038415463463084,17.6697003796642
5,182,-1.8071940913729536,23.808585994929963
6,182,38.809238069373414,59.48910851143071
7,182,105.88504544047986,163.34165149125846
8,182,182.76099924538806,260.20378109689455
9,182,113.5324985235898,117.7689894746229
10,182,86.45573748302179,94.59733308171762
11,182,102.8575434518519,112.47809793795675
12,182,119.39721697991628,130.67536306352483
13,182,124.63559624770734,136.1707953841377
14,182,114.10979851602727,128.28984539490878
15,182,122.50090740713614,134.2461896791237
16,182,143.68027229371825,155.6482503618264
17,182,207.03272650617293,243.14554407156763
18,182,199.8376962302982,233.19329603299207
19,182,149.20746319255835,168.6456881109481
20,182,108.2113815262357,119.23184941085393
21,182,81.72394670904212,89.98817511242476
22,182,63.81682300165045,70.8813709453127
23,182,40.9145574158105,51.35759655689448
