path,sha256
index.html,f55c247961d99be31770fd4cdb1c1fcb8b0799c1d6be56e0b702b044adc31a22
CANDIDATES.csv,d24e6f8ab731c7d47b79e45511262db7b9347cce9404622e12d1065c5bc4bbc3
TASK.md,21eba17315502c830de9f7371d2d32d1c39cf1f34cee39fcba96017f03d167e1
SKILL-v1.md,f0600d2c021b058d04f71216fd8634fffd26c7afbeff7ecb93703eb7d5646a77
PROTOCOL.md,da67355f22b58a9e8bb568599399084a9bfe6b02fad589db6439f4f9e60648a2
SOURCE-AUDIT.md,3e30151e0fa141bd5a512ff5812999a5d433f6b277a274adb3fadb3ebd9a3d58
run-gui-skill.mjs,c795410855a7068ebe049385dadf6b3669928f57b4094b6bb8e7409182cb36c8
sources/screen-result.md,29e35dea5c8d18598e9a706c83f85dbfbc1838dec2b2486985badf66699f7cd9
sources/screening-plan.md,1bbcbae8e8a67de94c68cd25fdee8c41b6227efd5a46de7a60bab6827dba345e
sources/full-trials.csv,f4cd75b4c25285a5df2241a3440b50f22221792f3c58382bbb064fc168dc6bfc
sources/full-contract.md,99ee29913196a8f07c63a3802b64ec18729bd5bf3d26538b54c3b3a527cc3345
sources/forest-check.md,fe23204d4978014920fc55218bfdd794f047384a07b38405b69b1800b42d13e3
sources/linear-check.md,e774b6a81e5ff7fa448c7c88d11b97491441358d7715a309f17e1e03e3fa5d4c
