file,sha256
CHANGE.md,b08b3a3a964f76dacf03011a78c2ed221a73c424173151e6b6a4a4b66c655f0d
CONTRACT.md,583f24b8399e58a01ea76ce9c7d87d8bf80ca1c648c392663f7b11262366c0f3
COST.csv,97d8d5fd6353a7cbec554bc4aa64ee8a0822b5e83eb4ba83db53eae6ab86e9fe
FREEZE.md,521eb2b4a02dd15c4ef6e81a23943bf9ba38741a3a082ae32a8ea6e3fa15d6ef
PROGRESS.md,867e0ee806e1a7a111453fad842d284b81e4626ce7febda579ccbb189c9f679d
PROTOCOL.md,facf6e7b8be6574a93cfcb4157e815e486045d786d6e94f69a0647be0adaf50d
RESULTS.md,7989f9161ae2cae66174ecafdcbbd1f86b99afef962e0406ef5c092fafa24a96
incompatible-VERDICT.md,f3dc3b949429916e6cf46824dd35acde0e42f36266405b4b43fab5d0187d61f0
incompatible.txt,362ece835a4fa91a7e311e850e963fac415ac69860aac118591bcdb538c6daef
mismatched-VERDICT.md,4edd8f7506b50e33480cf68ea899b1325498f4c3ba0bf256416e7773c7e195f3
mismatched.txt,8f88349adb789c900c0d695121605072abf6445e0af75f75aceeaebe2f582fc5
parser.mjs,48ab75d507a51d685b2dbed87b1d07e6961ee6afee8e4580f4fc94b6d4ccbb19
repaired-VERDICT.md,912e0218a8250658be6dda44c9989ee0358578fe474837c0eae5617486f039e8
repaired.txt,a5822a0717ecaa4724554d956770a8ed634fa7fbc2dc0cd0f63f551d39dc6ee7
run-model-harness-fit.mjs,da971373ee1d3b07c317abe3108485b3a488188be3b9d9fc8a165c5ec709cfdf
valid-VERDICT.md,295b5c50e088ecc8a00617eb3a8c1262d54e3d0b666c77a4289253da87b32038
valid.txt,a5822a0717ecaa4724554d956770a8ed634fa7fbc2dc0cd0f63f551d39dc6ee7
