path,sha256
CLAIM-CARD.md,1f9cf8e2417473a9c5187f8dbf7408776df93dad4191336d3d76536e70a4531f
EXECUTION.md,16123d6bce1a96428dbf86a2df839bce79d05d4d55eb11a29caf7c5626a1a2df
FRAMEWORK.md,c347ea9b3606d2294476afce2e3e0087852d1abed66c2c593523376f81a83076
IDENTITY-CHECKS.csv,782b752633cca0a4cc9afc43137c83f76d032be073dc98e0ce33d3f0a78209ac
LAB-NOTE.md,bc0719465436f228ced7bf866a14fe9a53c9048e9fc209bfa56b042aa21b7bba
LOCAL-CHECK.md,54752c6bdb6cca98cabecbbc4a8cb6ba7a12aa1c350126a7b6990004f1ab2388
PROTOCOL.md,ed5cbc725baaf7c147654670b75364e8071e269c17c5af6cfffeef51f5d7fbe0
SEARCH-RECORD.md,a301e0c49e0c85b1e78b321a6ad8cdf0d2f7b96223c2db0396a006a870fa69e6
SOURCES.csv,fb2086384acc6557f9e4119c3d7d64b85dec78dc1de2622028559e2baaed76c2
THREE-CASES.md,ba857b66b99f97e7734aa1fda810234d5801a03a1707c14a5120459fc5e5c7d6
local/EXECUTION-TRACE.md,ff0db2e546a8fd29fcedfff75a88f5af4cb069d02edeedd9e4aa8713083e57a3
local/IMPROVER-v0.md,dd7bf64c778aa036900abd4c88d9dc607ee862b5e483e2bec272691f4ff0354f
local/IMPROVER-v1.md,5be9de39c343a9b1faf94c13b90d71bfd8644dac6d0c059ce4c2517e20b86a33
local/fixed-contract.md,5c972e7da7d6b6395c3efa05d3def6a5cdbe96cea09acc7a33fab835154821f3
local/fixed-controller.py,b3a398c89c673bbeccad73da1a5111caf927c0f41bb392f70eeae7f23092eb1e
local/fixed-requests.csv,6a5e444942e7ce451506a29604720d3a89e4fba4057afbd24142f965ec050e72
local/memory-DECISION.csv,ea152009ad8e4c8b1c5226c3294ad4cc7c0fdd7ddbc20a795cc1d9bc54604dae
local/memory-MEMORY-v1.md,b983a6533dbf637c4041164a8b9ae516cb204fb29f6642c5c546c64a6bb72046
local/memory-OUTCOMES.csv,674154652013327156d2321853c9bea2f62d99d88cee3762e99a907ff5124012
local/memory-SCOPE-CHECK.csv,6184fb33afc981b0cc7b067ae40394a24321904b50f7a3fb93eaff156da5bfb1
local/memory-USE-AND-BENEFIT.md,b938ff21ec850302800ac71c64c728e01387f79b1b28fbd3965c0d3ca7f13a43
local/negative-lineage.md,fb5ef8952a1c7435c6ef346dbfa8ef24c8593ebc058628fc28fb3faeec9a54b4
run-research-reading.mjs,fd61887790d663763af0b6f907cfb1ce1a69cc425c004c05b37a5d53d91fd13b
