hour,size,mean
0,182,43.56805997130038
1,182,36.12067207025599
2,181,40.943028040361455
3,176,28.116433874790143
4,179,27.38250228764254
5,182,27.922193423139472
6,182,45.06923703887431
7,182,129.40458927803957
8,182,182.24552626568405
9,182,121.39437005502589
10,182,78.34283979771564
11,182,105.23353394422412
12,182,142.4282777355349
13,182,143.02718792103985
14,182,121.8737252967091
15,182,128.96296540013333
16,182,150.99501125642507
17,182,198.43977010794163
18,182,185.14668773792292
19,182,144.76763856769216
20,182,102.30255199483807
21,182,76.03187921847275
22,182,48.96441322518012
23,182,40.2831038653834
