action,exit,wall_seconds
10-18-fit-1,0,1.5934970999951474
10-18-check-1,0,1.572448799997801
10-18-fit-2,0,1.5844245000043884
10-18-check-2,0,1.528709300007904
screen-tree,0,1.5405440000031376
screen-check-tree,0,0.19999700000334997
screen-forest,0,1.7096747000032337
screen-check-forest,0,0.16764400000101887
10-19-confirmation-fit-1,0,2.2833440999966115
10-19-confirmation-check-1,0,1.54365289999987
10-19-confirmation-fit-2,0,1.5685495999932755
10-19-confirmation-check-2,0,1.525478399998974
10-20-fit-1,0,2.2753459999948973
10-20-check-1,0,1.5634063000034075
10-20-fit-2,0,1.5698219000041718
10-20-check-2,0,1.5380998000036925
