check,passed
source/how-did-i-generate-it/rsi/scripts/evaluate_discovery.py,True
source/rsi/tools/discovery_run.py,True
source/rsi/tools/discovery.py,True
source/rsi/experiments/tabular-discovery/proposer.py,True
source/rsi/experiments/tabular-discovery/engine.py,True
source/how-did-i-generate-it/rsi/scripts/check_online_discovery.py,True
source/rsi/experiments/tabular-discovery/round_robin.py,True
source/rsi/experiments/tabular-discovery/greedy.py,True
source/rsi/experiments/tabular-discovery/policies/probe_lineage.py,True
source/rsi/experiments/tabular-discovery/policies/quality_stop.py,True
source/rsi/experiments/tabular-discovery/policies/broad_stop.py,True
data/public/task-8101.npz,True
data/evaluator/task-8101.npz,True
data/public/task-8102.npz,True
data/evaluator/task-8102.npz,True
data/public/task-8103.npz,True
data/evaluator/task-8103.npz,True
data/public/task-8104.npz,True
data/evaluator/task-8104.npz,True
data/public/task-8105.npz,True
data/evaluator/task-8105.npz,True
data/public/task-8106.npz,True
data/evaluator/task-8106.npz,True
data/public/task-8107.npz,True
data/evaluator/task-8107.npz,True
data/public/task-8108.npz,True
data/evaluator/task-8108.npz,True
data/public/task-8109.npz,True
data/evaluator/task-8109.npz,True
data/public/task-8110.npz,True
data/evaluator/task-8110.npz,True
data/public/task-8111.npz,True
data/evaluator/task-8111.npz,True
data/public/task-8112.npz,True
data/evaluator/task-8112.npz,True
data/public/task-8113.npz,True
data/evaluator/task-8113.npz,True
data/public/task-8114.npz,True
data/evaluator/task-8114.npz,True
data/public/task-8115.npz,True
data/evaluator/task-8115.npz,True
data/public/task-8116.npz,True
data/evaluator/task-8116.npz,True
data/public/task-8123.npz,True
data/evaluator/task-8123.npz,True
choices_frozen,True
unique_task_arm,True
all_planned_arms,True
all_choices_reported,True
recovery/freeze/ORDER.csv,True
recovery/freeze/DATA-FREEZE.csv,True
recovery/freeze/SOURCE-FREEZE.csv,True
recovery/single_task_replacement,True
recovery/source_unchanged,True
recovery/original_data_preserved,True
recovery/only_replacement_data_added,True
recovery/task_pairing,True
recovery/failed_history_unchanged,True
recovery/extra_cost_retained,True
recovery/unused_task_not_scored,True
8101/broad/same_public_data,True
8101/broad/final_absent_from_rollout,True
8101/broad/disjoint_rows,True
8101/broad/fixed_sizes,True
8101/broad/tree_identity,True
8101/broad/selected_by_selection,True
8101/broad/candidate_identity,True
8101/broad/actual_attempts,True
8101/broad/charged_time,True
8101/broad/actual_failures,True
8101/broad/online_checks,True
8101/broad/refit_succeeded,True
8101/broad/separate_refit_charge,True
8101/broad/final_row_ids,True
8101/broad/final_targets,True
8101/broad/finite_predictions,True
8101/broad/final_metric,True
8101/broad/normalized_loss,True
8101/broad/separate_utility,True
8101/greedy/same_public_data,True
8101/greedy/final_absent_from_rollout,True
8101/greedy/disjoint_rows,True
8101/greedy/fixed_sizes,True
8101/greedy/tree_identity,True
8101/greedy/selected_by_selection,True
8101/greedy/candidate_identity,True
8101/greedy/actual_attempts,True
8101/greedy/charged_time,True
8101/greedy/actual_failures,True
8101/greedy/online_checks,True
8101/greedy/refit_succeeded,True
8101/greedy/separate_refit_charge,True
8101/greedy/final_row_ids,True
8101/greedy/final_targets,True
8101/greedy/finite_predictions,True
8101/greedy/final_metric,True
8101/greedy/normalized_loss,True
8101/greedy/separate_utility,True
8101/lineage/same_public_data,True
8101/lineage/final_absent_from_rollout,True
8101/lineage/disjoint_rows,True
8101/lineage/fixed_sizes,True
8101/lineage/tree_identity,True
8101/lineage/selected_by_selection,True
8101/lineage/candidate_identity,True
8101/lineage/actual_attempts,True
8101/lineage/charged_time,True
8101/lineage/actual_failures,True
8101/lineage/online_checks,True
8101/lineage/refit_succeeded,True
8101/lineage/separate_refit_charge,True
8101/lineage/final_row_ids,True
8101/lineage/final_targets,True
8101/lineage/finite_predictions,True
8101/lineage/final_metric,True
8101/lineage/normalized_loss,True
8101/lineage/separate_utility,True
8101/evolved/same_public_data,True
8101/evolved/final_absent_from_rollout,True
8101/evolved/disjoint_rows,True
8101/evolved/fixed_sizes,True
8101/evolved/tree_identity,True
8101/evolved/selected_by_selection,True
8101/evolved/candidate_identity,True
8101/evolved/actual_attempts,True
8101/evolved/charged_time,True
8101/evolved/actual_failures,True
8101/evolved/online_checks,True
8101/evolved/refit_succeeded,True
8101/evolved/separate_refit_charge,True
8101/evolved/final_row_ids,True
8101/evolved/final_targets,True
8101/evolved/finite_predictions,True
8101/evolved/final_metric,True
8101/evolved/normalized_loss,True
8101/evolved/separate_utility,True
8101/broad-stop/same_public_data,True
8101/broad-stop/final_absent_from_rollout,True
8101/broad-stop/disjoint_rows,True
8101/broad-stop/fixed_sizes,True
8101/broad-stop/tree_identity,True
8101/broad-stop/selected_by_selection,True
8101/broad-stop/candidate_identity,True
8101/broad-stop/actual_attempts,True
8101/broad-stop/charged_time,True
8101/broad-stop/actual_failures,True
8101/broad-stop/online_checks,True
8101/broad-stop/refit_succeeded,True
8101/broad-stop/separate_refit_charge,True
8101/broad-stop/final_row_ids,True
8101/broad-stop/final_targets,True
8101/broad-stop/finite_predictions,True
8101/broad-stop/final_metric,True
8101/broad-stop/normalized_loss,True
8101/broad-stop/separate_utility,True
8102/greedy/same_public_data,True
8102/greedy/final_absent_from_rollout,True
8102/greedy/disjoint_rows,True
8102/greedy/fixed_sizes,True
8102/greedy/tree_identity,True
8102/greedy/selected_by_selection,True
8102/greedy/candidate_identity,True
8102/greedy/actual_attempts,True
8102/greedy/charged_time,True
8102/greedy/actual_failures,True
8102/greedy/online_checks,True
8102/greedy/refit_succeeded,True
8102/greedy/separate_refit_charge,True
8102/greedy/final_row_ids,True
8102/greedy/final_targets,True
8102/greedy/finite_predictions,True
8102/greedy/final_metric,True
8102/greedy/normalized_loss,True
8102/greedy/separate_utility,True
8102/lineage/same_public_data,True
8102/lineage/final_absent_from_rollout,True
8102/lineage/disjoint_rows,True
8102/lineage/fixed_sizes,True
8102/lineage/tree_identity,True
8102/lineage/selected_by_selection,True
8102/lineage/candidate_identity,True
8102/lineage/actual_attempts,True
8102/lineage/charged_time,True
8102/lineage/actual_failures,True
8102/lineage/online_checks,True
8102/lineage/refit_succeeded,True
8102/lineage/separate_refit_charge,True
8102/lineage/final_row_ids,True
8102/lineage/final_targets,True
8102/lineage/finite_predictions,True
8102/lineage/final_metric,True
8102/lineage/normalized_loss,True
8102/lineage/separate_utility,True
8102/evolved/same_public_data,True
8102/evolved/final_absent_from_rollout,True
8102/evolved/disjoint_rows,True
8102/evolved/fixed_sizes,True
8102/evolved/tree_identity,True
8102/evolved/selected_by_selection,True
8102/evolved/candidate_identity,True
8102/evolved/actual_attempts,True
8102/evolved/charged_time,True
8102/evolved/actual_failures,True
8102/evolved/online_checks,True
8102/evolved/refit_succeeded,True
8102/evolved/separate_refit_charge,True
8102/evolved/final_row_ids,True
8102/evolved/final_targets,True
8102/evolved/finite_predictions,True
8102/evolved/final_metric,True
8102/evolved/normalized_loss,True
8102/evolved/separate_utility,True
8102/broad-stop/same_public_data,True
8102/broad-stop/final_absent_from_rollout,True
8102/broad-stop/disjoint_rows,True
8102/broad-stop/fixed_sizes,True
8102/broad-stop/tree_identity,True
8102/broad-stop/selected_by_selection,True
8102/broad-stop/candidate_identity,True
8102/broad-stop/actual_attempts,True
8102/broad-stop/charged_time,True
8102/broad-stop/actual_failures,True
8102/broad-stop/online_checks,True
8102/broad-stop/refit_succeeded,True
8102/broad-stop/separate_refit_charge,True
8102/broad-stop/final_row_ids,True
8102/broad-stop/final_targets,True
8102/broad-stop/finite_predictions,True
8102/broad-stop/final_metric,True
8102/broad-stop/normalized_loss,True
8102/broad-stop/separate_utility,True
8102/broad/same_public_data,True
