reference,metric,mean_evolved_minus_reference,ci_low,ci_high,lower,tied,higher,tasks
broad,final_loss,-0.002820213762707518,-0.006548177138311469,1.0380266529387908e-05,3,12,1,16
broad,attempts,-8.5625,-10.0625,-6.6875,14,2,0,16
broad,worker_seconds,-18.820037118739492,-21.9319204340537,-14.853309375310438,16,0,0,16
broad,utility,-0.021640250881447012,-0.026598556384986143,-0.01659449019892443,16,0,0,16
greedy,final_loss,-0.02869187161384089,-0.04312567973616304,-0.0149755616218236,9,7,0,16
greedy,attempts,-8.5625,-10.0625,-6.6875,14,2,0,16
greedy,worker_seconds,-19.607228199993187,-22.663122815145698,-15.541442861713087,15,0,1,16
greedy,utility,-0.048299099813834075,-0.06449436757757757,-0.032396823085460026,15,0,1,16
lineage,final_loss,-0.002820213762707518,-0.006548177138311469,1.0380266529387908e-05,3,12,1,16
lineage,attempts,-8.5625,-10.0625,-6.6875,14,2,0,16
lineage,worker_seconds,-19.005400962510976,-22.168428452343413,-15.005339165644184,16,0,0,16
lineage,utility,-0.021825614725218496,-0.026765113533683625,-0.01679605020527667,16,0,0,16
broad-stop,final_loss,-0.0017067930775266204,-0.005120379232579861,0.0,1,15,0,16
broad-stop,attempts,-1.8125,-2.9375,-0.8125,9,7,0,16
broad-stop,worker_seconds,-3.939915262504655,-6.474834091101639,-1.7435940046943865,14,0,2,16
broad-stop,utility,-0.005646708340031276,-0.00992348759247107,-0.002335394782657566,14,0,2,16
