node,parent,status,loss,seconds,score,metric,fit_seconds,predict_seconds,policy_seconds,proposal_seconds,candidate_sha256
node-001,root,ok,0.627059354547506,1.9154442999861203,0.686470322726247,balanced_accuracy,0.005452500015962869,0.0014353999868035316,2.2999884095042944e-06,0.006113300012657419,759fdbb2c617374b8e427d688c0641e4bf8becda9e43ddca0a674379a47f9983
node-002,node-001,ok,0.4135008400411244,1.884151699981885,0.7932495799794378,balanced_accuracy,0.008017699990887195,0.0014460000093095005,1.4599994756281376e-05,0.01172539999242872,2b6378de3425f89e02e0eeddfaaa06b4404a1a0d600561163bdded7cc21599c2
node-003,node-002,ok,0.41851601093307256,1.9114874000078999,0.7907419945334637,balanced_accuracy,0.008162799989804626,0.001426200004061684,1.9099999917671084e-05,0.00933109998004511,d5a3a74185ea15928cf52cbbce78aac6cca8b260d9da6d561dc8e75db0dd0f2d
node-004,node-003,ok,0.22193384989593534,1.9697467999940272,0.8890330750520323,balanced_accuracy,0.008924099995056167,0.0016037000168580562,1.5099998563528061e-05,0.010535400011576712,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d
node-005,root,ok,0.2751197372050451,2.0112183000019286,0.8624401313974774,balanced_accuracy,0.08968149998690933,0.008163300022715703,2.5300018023699522e-05,0.006435499992221594,c141ee37cbec6840f45bf218d1c84c0871c3b01e0635e737fbda0becaab11156
node-006,root,ok,0.38473883497580186,2.011103800003184,0.8076305825120991,balanced_accuracy,0.13315419998252764,0.007981600007042289,1.689998316578567e-05,0.00807169999461621,d66d66de80038ef0887a905d84fb357ae66dcabc6f8ddea49fef5eba34cbe952
node-007,node-005,ok,0.23444670127134581,2.1856333000177983,0.8827766493643271,balanced_accuracy,0.2902002999908291,0.008922500011976808,2.4999986635521054e-05,0.009598700009519234,a135d942365a4ad09619ab7b28946ff91a07d8c18ff2861e6ac243ff1681ffe3
node-008,node-007,ok,0.23400787381830046,2.587997299997369,0.8829960630908498,balanced_accuracy,0.5380410999932792,0.012734000018099323,2.309997216798365e-05,0.008279900008346885,c9a12fa0b1f61d0fd4711fa2d61c61e3c32346f85eed9b9e93c53d79e785b743
node-009,node-008,ok,0.2133955214523935,2.5286016000027303,0.8933022392738033,balanced_accuracy,0.6391566999955103,0.01252700001350604,3.409999771974981e-05,0.011124699987703934,7a6e8e6cf4dd71db32f6104708ef8e1dcd325d2ec37ea58eb36630725a52546b
node-010,node-006,ok,0.23621454901075767,2.259790799987968,0.8818927254946212,balanced_accuracy,0.34567300000344403,0.007449400000041351,2.379997749812901e-05,0.00747180002508685,5222c70c49530b43f8e6e18cee2e6178cb0d28419e7f559e65c40a7a28c4f9f5
node-011,node-010,ok,0.23108653677374047,2.1408019000082277,0.8844567316131298,balanced_accuracy,0.2777168999891728,0.007526400004280731,2.680000034160912e-05,0.0080110999988392,25b6c02536b08aac1d891d8e88d15193cd94f6525c7091630cf5132736fc6b32
node-012,node-011,ok,0.2292685373254093,2.195733000000473,0.8853657313372953,balanced_accuracy,0.31763730000238866,0.008188700012397021,2.6599998818710446e-05,0.010523200005991384,3fca5ad4606a7d4b8ca9506d76400e645b32cfaf5c458c79460fc3326d66af06
