check,passed
frozen/data.npz,True
frozen/policy.py,True
frozen/proposer.py,True
split_disjoint,True
closed,True
attempt_limit,True
worker_budget,True
no_pending_or_hidden_attempt,True
unique_nodes,True
node-001/parent_seen,True
node-001/parent_eligible,True
node-001/charged_cost,True
node-001/source_used,True
node-001/inherited_manifest,True
node-001/parent/candidate.py,True
node-001/parent/engine.py,True
node-001/parent/README.md,True
node-001/snapshot/candidate.py,True
node-001/snapshot/CHANGE.md,True
node-001/snapshot/engine.py,True
node-001/snapshot/OBSERVATION.md,True
node-001/snapshot/README.md,True
node-001/row_ids,True
node-001/target_identity,True
node-001/finite,True
node-001/score,True
node-001/normalized_loss,True
node-002/parent_seen,True
node-002/parent_eligible,True
node-002/charged_cost,True
node-002/source_used,True
node-002/inherited_manifest,True
node-002/parent/candidate.py,True
node-002/parent/engine.py,True
node-002/parent/README.md,True
node-002/snapshot/candidate.py,True
node-002/snapshot/CHANGE.md,True
node-002/snapshot/engine.py,True
node-002/snapshot/OBSERVATION.md,True
node-002/snapshot/README.md,True
node-002/row_ids,True
node-002/target_identity,True
node-002/finite,True
node-002/score,True
node-002/normalized_loss,True
node-003/parent_seen,True
node-003/parent_eligible,True
node-003/charged_cost,True
node-003/source_used,True
node-003/inherited_manifest,True
node-003/parent/candidate.py,True
node-003/parent/engine.py,True
node-003/parent/README.md,True
node-003/snapshot/candidate.py,True
node-003/snapshot/CHANGE.md,True
node-003/snapshot/engine.py,True
node-003/snapshot/OBSERVATION.md,True
node-003/snapshot/README.md,True
node-003/row_ids,True
node-003/target_identity,True
node-003/finite,True
node-003/score,True
node-003/normalized_loss,True
node-004/parent_seen,True
node-004/parent_eligible,True
node-004/charged_cost,True
node-004/source_used,True
node-004/inherited_manifest,True
node-004/parent/candidate.py,True
node-004/parent/CHANGE.md,True
node-004/parent/engine.py,True
node-004/parent/OBSERVATION.md,True
node-004/parent/README.md,True
node-004/snapshot/candidate.py,True
node-004/snapshot/CHANGE.md,True
node-004/snapshot/engine.py,True
node-004/snapshot/OBSERVATION.md,True
node-004/snapshot/README.md,True
node-004/row_ids,True
node-004/target_identity,True
node-004/finite,True
node-004/score,True
node-004/normalized_loss,True
node-005/parent_seen,True
node-005/parent_eligible,True
node-005/charged_cost,True
node-005/source_used,True
node-005/inherited_manifest,True
node-005/parent/candidate.py,True
node-005/parent/CHANGE.md,True
node-005/parent/engine.py,True
node-005/parent/OBSERVATION.md,True
node-005/parent/README.md,True
node-005/snapshot/candidate.py,True
node-005/snapshot/CHANGE.md,True
node-005/snapshot/engine.py,True
node-005/snapshot/OBSERVATION.md,True
node-005/snapshot/README.md,True
node-005/row_ids,True
node-005/target_identity,True
node-005/finite,True
node-005/score,True
node-005/normalized_loss,True
node-006/parent_seen,True
node-006/parent_eligible,True
node-006/charged_cost,True
node-006/source_used,True
node-006/inherited_manifest,True
node-006/parent/candidate.py,True
node-006/parent/CHANGE.md,True
node-006/parent/engine.py,True
node-006/parent/OBSERVATION.md,True
node-006/parent/README.md,True
node-006/snapshot/candidate.py,True
node-006/snapshot/CHANGE.md,True
node-006/snapshot/engine.py,True
node-006/snapshot/OBSERVATION.md,True
node-006/snapshot/README.md,True
node-006/row_ids,True
node-006/target_identity,True
node-006/finite,True
node-006/score,True
node-006/normalized_loss,True
node-007/parent_seen,True
node-007/parent_eligible,True
node-007/charged_cost,True
node-007/source_used,True
node-007/inherited_manifest,True
node-007/parent/candidate.py,True
