seed,family,kind,position,arm
2101,1,classification,0,broad
2101,1,classification,1,greedy
2101,1,classification,2,lineage
2101,1,classification,3,evolved
2101,1,classification,4,broad-stop
2102,2,regression,0,greedy
2102,2,regression,1,lineage
2102,2,regression,2,evolved
2102,2,regression,3,broad-stop
2102,2,regression,4,broad
2103,0,classification,0,lineage
2103,0,classification,1,evolved
2103,0,classification,2,broad-stop
2103,0,classification,3,broad
2103,0,classification,4,greedy
2104,1,regression,0,evolved
2104,1,regression,1,broad-stop
2104,1,regression,2,broad
2104,1,regression,3,greedy
2104,1,regression,4,lineage
