seed,family,kind,arm,node,candidate_sha256,tree_sha256,attempts,failures,worker_seconds,fit_seconds,policy_seconds,proposal_seconds,selection_score,selection_loss
2101,1,classification,broad,node-004,2b6378de3425f89e02e0eeddfaaa06b4404a1a0d600561163bdded7cc21599c2,baf0a64d0f3902de0aa80405e56170c21419770d1f73062f9bdb4df644328b16,12,0,22.762665900052525,2.3765418999828394,0.0001903000520542264,0.1763691999658471,0.949368333555416,0.1012633328891681
2101,1,classification,greedy,node-011,c07a712b2b71132e5afebc036958209a347d849a6d49756ba0f8b7d4a277ea22,568552fc872d5f01e5f452808a6e24acab7921795ac2c05143790c6a046e6996,12,0,21.130734999955166,0.2653258999926032,0.00026849997811950743,0.1820095000439317,0.9504819193015184,0.0990361613969632
2101,1,classification,lineage,node-002,2b6378de3425f89e02e0eeddfaaa06b4404a1a0d600561163bdded7cc21599c2,cd1158c27ae261abe39bd8fba278ac63a9e6a7207f9ed67748da9af8bd12d449,12,0,23.397820499929367,2.3486062000156376,0.0004128999717067927,0.1809501999814522,0.949368333555416,0.1012633328891681
2101,1,classification,evolved,node-001,759fdbb2c617374b8e427d688c0641e4bf8becda9e43ddca0a674379a47f9983,fc9500300d92e15e315d650b8d4b2099bb147616fc3c43dadd9e8bc8b0e0c0b8,1,0,1.987416799995117,0.0051304000080563,4.499976057559252e-06,0.0097189999942202,0.9466494076739064,0.106701184652187
2101,1,classification,broad-stop,node-001,759fdbb2c617374b8e427d688c0641e4bf8becda9e43ddca0a674379a47f9983,fddf99904cfdf58da9b3ecf05ba093c5023e0aa08f6395b4dba707b2328d619f,1,0,1.7479065000079572,0.0049206000112462,4.1000021155923605e-06,0.0103028999874368,0.9466494076739064,0.106701184652187
2102,2,regression,greedy,node-006,7a6e8e6cf4dd71db32f6104708ef8e1dcd325d2ec37ea58eb36630725a52546b,d878544026fd361fb0272c70b9b3541ce099cade2359ffa8a50cf42048861cd5,12,0,26.496531200042227,5.083203199959826,0.00036289996933192015,0.19246109994128272,0.333900973420063,0.3148548570945026
2102,2,regression,lineage,node-004,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d,781298e571c172276a5a7925031ef34a63feb797c5b09a3444364d3a02eba5b5,12,0,24.651878500037128,3.092440800042823,0.00047170004108920693,0.19419899999047602,0.2788778345962223,0.2629703048159547
2102,2,regression,evolved,node-004,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d,2970678c27be9aef88f0b411d27bf1b1502aff9c242599f013e6e8d7de37379a,12,0,24.402728499931982,3.1217552999733016,0.00046300000394694507,0.1862534999381744,0.2788778345962223,0.2629703048159547
2102,2,regression,broad-stop,node-010,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d,88e6e7951c3f142397bb762e9ecc87602d2b3a7f64abd24122fd2a1c312c5c1c,12,0,24.3029869000311,3.0687275999516714,0.0002702999918255955,0.19266610001795859,0.2788778345962223,0.2629703048159547
2102,2,regression,broad,node-010,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d,7aea1c662e58abc77bfd3a982e5c4f3b0fd30136cefc4a9a349a405649fdd5b5,12,0,25.08179669996025,3.433896400034427,0.00019220003741793334,0.18491890007862763,0.2788778345962223,0.2629703048159547
