check,passed
frozen/data.npz,True
frozen/policy.py,True
frozen/proposer.py,True
split_disjoint,True
closed,True
attempt_limit,True
worker_budget,True
no_pending_or_hidden_attempt,True
unique_nodes,True
node-001/parent_seen,True
node-001/parent_eligible,True
node-001/charged_cost,True
node-001/source_used,True
node-001/inherited_manifest,True
node-001/parent/candidate.py,True
node-001/parent/engine.py,True
node-001/parent/README.md,True
node-001/snapshot/candidate.py,True
node-001/snapshot/CHANGE.md,True
node-001/snapshot/engine.py,True
node-001/snapshot/OBSERVATION.md,True
node-001/snapshot/README.md,True
node-001/row_ids,True
node-001/target_identity,True
node-001/finite,True
node-001/score,True
node-001/normalized_loss,True
replay_recovers_online_order,True
replay_has_no_unknown_requests,True
replay_cost_matches,True
selection_matches_report,True
