check,passed
source/how-did-i-generate-it/rsi/scripts/harness_revision_development.py,True
source/rsi/tools/discovery_run.py,True
source/rsi/tools/discovery.py,True
source/rsi/experiments/tabular-discovery/engine.py,True
source/rsi/experiments/tabular-discovery/proposer.py,True
source/rsi/experiments/tabular-discovery/round_robin.py,True
source/rsi/experiments/harness-revision/engine.py,True
source/rsi/experiments/harness-revision/proposer.py,True
source/rsi/experiments/harness-revision/CHANGE-PROPOSAL.md,True
source/how-did-i-generate-it/rsi/validation/HARNESS-REVISION-DEVELOPMENT-PROTOCOL.md,True
source/how-did-i-generate-it/rsi/scripts/check_online_discovery.py,True
data/data/task-3101.npz,True
data/data/task-3102.npz,True
data/data/task-3103.npz,True
data/data/task-3104.npz,True
data/data/task-3105.npz,True
data/data/task-3106.npz,True
six_paired_tasks,True
unique_arms,True
all_planned_arms,True
no_final_data,True
no_live_workers,True
3101/parent/online_checks,True
3101/parent/tree_identity,True
3101/parent/data_identity,True
3101/parent/policy_identical,True
3101/parent/budget,True
3101/parent/attempts,True
3101/parent/failures,True
3101/parent/worker_cost,True
3101/parent/fit_cost,True
3101/parent/has_result,True
3101/parent/selection,True
3101/parent/proposer,True
3101/parent/engine/parent,True
3101/parent/engine/node-001,True
3101/parent/engine/node-002,True
3101/parent/engine/node-003,True
3101/parent/engine/node-004,True
3101/parent/engine/node-005,True
3101/parent/engine/node-006,True
3101/parent/engine/node-007,True
3101/parent/engine/node-008,True
3101/parent/engine/node-009,True
3101/parent/engine/node-010,True
3101/parent/engine/node-011,True
3101/parent/engine/node-012,True
3101/parent/new_basis_absent,True
3101/child/online_checks,True
3101/child/tree_identity,True
3101/child/data_identity,True
3101/child/policy_identical,True
3101/child/budget,True
3101/child/attempts,True
3101/child/failures,True
3101/child/worker_cost,True
3101/child/fit_cost,True
3101/child/has_result,True
3101/child/selection,True
3101/child/proposer,True
3101/child/engine/child,True
3101/child/parent_engine/child,True
3101/child/engine/node-001,True
3101/child/parent_engine/node-001,True
3101/child/engine/node-002,True
3101/child/parent_engine/node-002,True
