task,budget,policy,mean_headroom,min_headroom,max_headroom,mean_loss,mean_process_seconds
bike,4,fixed_diverse,0.035330395012486915,0.035330395012486915,0.035330395012486915,0.5747883493116758,10.244440100010252
bike,4,uniform_random,0.04131816496955053,0.0,0.1650048508996268,0.5807761192687394,9.514968356231293
bike,8,fixed_diverse,0.0,0.0,0.0,0.5394579542991889,20.161307200003648
bike,8,uniform_random,0.02639069891784349,0.0,0.05167753672805653,0.5658486532170324,18.912744724968434
bike,16,fixed_diverse,0.0,0.0,0.0,0.5394579542991889,39.3018163999659
bike,16,uniform_random,0.018912032745458076,0.0,0.05167753672805653,0.5583699870446469,37.86315548433777
cancer,4,fixed_diverse,0.0,0.0,0.0,0.0680378445084328,9.65301629996975
cancer,4,uniform_random,0.011078259975318798,0.0,0.02830111065405161,0.0791161044837516,8.664903775001221
cancer,8,fixed_diverse,0.0,0.0,0.0,0.0680378445084328,18.76761039995472
cancer,8,uniform_random,0.008584430275606736,0.0,0.0235294117647058,0.07662227478403953,17.366212909370006
cancer,16,fixed_diverse,0.0,0.0,0.0,0.0680378445084328,38.54144259993336
cancer,16,uniform_random,0.003447655285890578,0.0,0.013986013986013998,0.07148549979432338,34.96153817499089
digits,4,fixed_diverse,0.0047153800530223,0.0047153800530223,0.0047153800530223,0.0248036842737467,9.89960529995733
digits,4,uniform_random,0.00747766740600878,0.0,0.018892366544948504,0.027565971626733177,8.20858180311916
digits,8,fixed_diverse,0.0047153800530223,0.0047153800530223,0.0047153800530223,0.0248036842737467,17.687633299967274
digits,8,uniform_random,0.005593011816884649,0.0,0.0169137010461212,0.025681316037609047,16.64879520311024
digits,16,fixed_diverse,0.0031280784657205032,0.0031280784657205032,0.0031280784657205032,0.0232163826864449,34.23233539998182
digits,16,uniform_random,0.0029813903716565293,0.0,0.012587251906500604,0.023069694592380927,33.003917287475815
friedman,4,fixed_diverse,0.007683677649352183,0.007683677649352183,0.007683677649352183,0.2743501166023313,9.3245745000022
friedman,4,uniform_random,0.06138022710778343,0.0,0.15151748111044872,0.3280466660607625,8.427726718749
friedman,8,fixed_diverse,0.007683677649352183,0.007683677649352183,0.007683677649352183,0.2743501166023313,18.563490999978967
friedman,8,uniform_random,0.02356294038532953,0.0,0.1097210052727407,0.2902293793383086,16.832916856235897
friedman,16,fixed_diverse,0.0,0.0,0.0,0.2666664389529791,34.552775499934796
friedman,16,uniform_random,0.009663997177517673,0.0,0.07288365229126204,0.27633043613049674,33.622345265600416
interactions,4,fixed_diverse,0.019406834300451398,0.019406834300451398,0.019406834300451398,0.1811734364925854,7.807784500007983
interactions,4,uniform_random,0.07855012894906513,0.0,0.1897485493230175,0.24031673114119914,7.608553759369897
interactions,8,fixed_diverse,0.019406834300451398,0.019406834300451398,0.019406834300451398,0.1811734364925854,15.300275399989914
interactions,8,uniform_random,0.027631366860090264,0.0,0.1243713733075435,0.18939796905222428,15.159208328122986
interactions,16,fixed_diverse,0.014893617021276478,0.014893617021276478,0.014893617021276478,0.1766602192134105,31.02392159998999
interactions,16,uniform_random,0.014109848484848472,0.0,0.056802063185041884,0.1758764506769825,30.35178097813423
wine,4,fixed_diverse,0.0,0.0,0.0,0.825041611950715,9.104552499979036
wine,4,uniform_random,0.020514698084769724,0.0,0.04437093417131399,0.8455563100354847,9.289311818748502
wine,8,fixed_diverse,0.0,0.0,0.0,0.825041611950715,18.49290860001929
wine,8,uniform_random,0.012866678407507392,0.0,0.0295630590556899,0.8379082903582225,18.455135724990214
wine,16,fixed_diverse,0.0,0.0,0.0,0.825041611950715,36.73749090000638
wine,16,uniform_random,0.003946130440094186,0.0,0.017704769048062174,0.8289877423908092,36.79889358748824
