task,budget,fixed_score,random_mean,random_p10,random_p90,reference_score
bike,1,100.34894988444886,109.23927877601017,91.44445534935208,125.28578393939395,87.1242578125
bike,2,92.830234375,100.16410896973304,91.32949240993521,112.35098949091672,87.1242578125
bike,3,92.830234375,96.47452259778203,91.31671875,103.27020242656872,87.1242578125
bike,4,92.830234375,93.79727918229898,91.14433356804484,99.70838019728151,87.1242578125
bike,5,92.830234375,93.211720486129,87.52626538805448,95.47035225253688,87.1242578125
bike,6,87.1242578125,92.75249080613241,87.1242578125,95.47035225253688,87.1242578125
bike,7,87.1242578125,91.60910299926454,87.1242578125,94.63359691856004,87.1242578125
bike,8,87.1242578125,91.38644365672812,87.1242578125,93.49084917236344,87.1242578125
bike,9,87.1242578125,91.23618030821999,87.1242578125,93.43732823897831,87.1242578125
bike,10,87.1242578125,91.00518414042452,87.1242578125,93.43732823897831,87.1242578125
bike,11,87.1242578125,90.78403862919036,87.1242578125,93.43732823897831,87.1242578125
bike,12,87.1242578125,90.6088495549921,87.1242578125,93.43732823897831,87.1242578125
bike,13,87.1242578125,90.43963332687957,87.1242578125,92.94309929216088,87.1242578125
bike,14,87.1242578125,90.31761208275702,87.1242578125,92.830234375,87.1242578125
bike,15,87.1242578125,90.3096285452975,87.1242578125,92.830234375,87.1242578125
bike,16,87.1242578125,90.17861414100064,87.1242578125,92.830234375,87.1242578125
wine,1,0.5036541634771289,0.5205326884490451,0.496745519944903,0.5610734148925135,0.4862314202091988
wine,2,0.4919181034482758,0.5040086112868745,0.4898877723438405,0.518123040752351,0.4862314202091988
wine,3,0.4919181034482758,0.500465706232605,0.4881519173999673,0.5159449527044062,0.4862314202091988
wine,4,0.4862314202091988,0.4983215871055521,0.4881519173999673,0.5115733899635685,0.4862314202091988
wine,5,0.4862314202091988,0.49633479822861226,0.4881519173999673,0.5040233526702672,0.4862314202091988
wine,6,0.4862314202091988,0.4950712370986675,0.4864234699282756,0.5034548278241295,0.4862314202091988
wine,7,0.4862314202091988,0.4946141737649634,0.4864234699282756,0.5034548278241295,0.4862314202091988
wine,8,0.4862314202091988,0.49381429024246326,0.4864234699282756,0.5002340572598105,0.4862314202091988
wine,9,0.4862314202091988,0.49225834723798,0.4864234699282756,0.5002340572598105,0.4862314202091988
wine,10,0.4862314202091988,0.4910392651468912,0.4862314202091988,0.5002340572598105,0.4862314202091988
wine,11,0.4862314202091988,0.4901825699790842,0.4862314202091988,0.499739891570943,0.4862314202091988
wine,12,0.4862314202091988,0.48953895119063684,0.4862314202091988,0.49366547758409796,0.4862314202091988
wine,13,0.4862314202091988,0.4889403763435695,0.4862314202091988,0.4919181034482758,0.4862314202091988
wine,14,0.4862314202091988,0.4889403763435695,0.4862314202091988,0.4919181034482758,0.4862314202091988
wine,15,0.4862314202091988,0.488880360806358,0.4862314202091988,0.4919181034482758,0.4862314202091988
wine,16,0.4862314202091988,0.48855703940273393,0.4862314202091988,0.4917150703378323,0.4862314202091988
cancer,1,0.9589880707527766,0.9503123714520774,0.9380666392431097,0.9600987248046072,0.9659810777457836
cancer,2,0.9589880707527766,0.9562294323323736,0.9508309337721103,0.96248457424928,0.9659810777457836
cancer,3,0.9589880707527766,0.9596719457013575,0.9531057178116,0.9659810777457836,0.9659810777457836
cancer,4,0.9659810777457836,0.9604419477581243,0.9566022213081036,0.9659810777457836,0.9659810777457836
cancer,5,0.9659810777457836,0.9608841526120938,0.9566022213081036,0.9659810777457836,0.9659810777457836
cancer,6,0.9659810777457836,0.9614703311394488,0.9567132867132866,0.9659810777457836,0.9659810777457836
cancer,7,0.9659810777457836,0.9615795968737145,0.9567132867132866,0.9659810777457836,0.9659810777457836
