task,recipe,status,metric,score,normalized_loss,fit_seconds,predict_seconds,process_seconds,note
bike,linear-0,ok,MAE,106.59724663951543,0.6600312478969398,0.014561799995135516,0.0029651999939233065,2.3039990999968722,exit=0
bike,forest-0,ok,MAE,92.830234375,0.5747883493116758,0.5196357000095304,0.014718499995069578,2.799978299997747,exit=0
bike,boost-0,ok,MAE,93.76683181002952,0.5805875945389952,0.26888700001291,0.028130799997597933,2.7061370000010356,exit=0
bike,kernel-0,ok,MAE,102.41055766989886,0.6341080122385433,0.0559633000229951,0.07564690001890995,2.434325700014597,exit=0
bike,neighbors-0,ok,MAE,121.45690253968462,0.7520396021115227,0.006456600007368252,0.027348100004019216,2.2602478000044357,exit=0
bike,extra-0,ok,MAE,87.1242578125,0.5394579542991889,0.5171439000114333,0.015028900001198053,2.7822895999997854,exit=0
bike,linear-1,ok,MAE,106.80649314804747,0.6613268651712915,0.008100899984128773,0.002922299987403676,2.261932199995499,exit=0
bike,forest-1,ok,MAE,100.17927219114202,0.6202922882364164,0.3516632000100799,0.017677900003036484,2.6123974999936763,exit=0
bike,boost-1,ok,MAE,91.7073960091397,0.5678359332674643,0.14057950000278652,0.019892899988917634,2.50626110000303,exit=0
bike,kernel-1,ok,MAE,95.94222711588984,0.5940572565017637,0.1111281999910716,0.08044869999866933,2.3112395999778528,exit=0
bike,neighbors-1,ok,MAE,121.24151417554626,0.7507059555564153,0.007012699992628768,0.016297099995426834,2.1846592999936547,exit=0
bike,extra-1,ok,MAE,93.28498789372519,0.577604102456452,0.276135099993553,0.013704900018638,2.6258311000128742,exit=0
bike,linear-2,ok,MAE,106.78576016996364,0.6611984902476542,0.0073927000048570335,0.0029745999781880528,2.3237662999890745,exit=0
bike,forest-2,ok,MAE,111.76214710300934,0.6920113956554623,0.22409439997863956,0.009350100008305162,2.623789000004763,exit=0
bike,boost-2,ok,MAE,95.34542098381986,0.5903619387658864,0.08082059997832403,0.01343670001369901,2.255093699990539,exit=0
bike,kernel-2,ok,MAE,95.65953010760464,0.5923068467581968,0.11747699999250472,0.08117760001914576,2.3098690999904647,exit=0
