comparison,hour,rows,before_mae,after_mae,change_after_minus_before
Model change,0,182,60.956043956043956,38.84381275952443,-22.112231196519524
Model change,1,182,75.52747252747253,32.30693530998445,-43.22053721748807
Model change,2,181,85.74585635359117,26.90335801409888,-58.84249833949228
Model change,3,176,97.125,21.617048913140053,-75.50795108685995
Model change,4,179,103.25139664804469,17.6697003796642,-85.58169626838048
Model change,5,182,88.28571428571429,23.808585994929963,-64.47712829078432
Model change,6,182,47.972527472527474,59.48910851143071,11.516581038903233
Model change,7,182,170.8186813186813,163.34165149125846,-7.477029827422854
Model change,8,182,324.0769230769231,260.20378109689455,-63.87314198002855
Model change,9,182,151.8021978021978,117.7689894746229,-34.03320832757491
Model change,10,182,95.46703296703296,94.59733308171762,-0.8696998853153417
Model change,11,182,134.04395604395606,112.47809793795675,-21.56585810599931
Model change,12,182,181.41758241758242,130.67536306352483,-50.742219354057596
Model change,13,182,187.83516483516485,136.1707953841377,-51.66436945102714
Model change,14,182,171.52747252747253,128.28984539490878,-43.237627132563745
Model change,15,182,183.1043956043956,134.2461896791237,-48.8582059252719
Model change,16,182,247.42857142857142,155.6482503618264,-91.78032106674502
Model change,17,182,421.9065934065934,243.14554407156763,-178.76104933502577
Model change,18,182,388.0054945054945,233.19329603299207,-154.81219847250242
Model change,19,182,256.5879120879121,168.6456881109481,-87.94222397696402
Model change,20,182,157.6868131868132,119.23184941085393,-38.45496377595927
Model change,21,182,99.76373626373626,89.98817511242476,-9.775561151311507
Model change,22,182,60.505494505494504,70.8813709453127,10.375876439818192
Model change,23,182,44.494505494505496,51.35759655689448,6.863091062388982
Feature change,0,182,38.84381275952443,35.34281056855903,-3.5010021909654014
Feature change,1,182,32.30693530998445,31.480876754742738,-0.8260585552417155
Feature change,2,181,26.90335801409888,27.450558408005016,0.5472003939061345
Feature change,3,176,21.617048913140053,22.79040081487099,1.1733519017309355
Feature change,4,179,17.6697003796642,18.35246467379519,0.6827642941309904
Feature change,5,182,23.808585994929963,23.538563458244656,-0.27002253668530685
Feature change,6,182,59.48910851143071,55.20467733849173,-4.28443117293898
Feature change,7,182,163.34165149125846,158.8239242005667,-4.5177272906917665
Feature change,8,182,260.20378109689455,257.10502159665754,-3.0987595002370085
Feature change,9,182,117.7689894746229,112.72602402275038,-5.042965451872519
Feature change,10,182,94.59733308171762,88.42974640906075,-6.167586672656867
Feature change,11,182,112.47809793795675,103.98706879810152,-8.491029139855229
Feature change,12,182,130.67536306352483,119.0428627469704,-11.632500316554427
Feature change,13,182,136.1707953841377,122.55014758497154,-13.620647799166164
Feature change,14,182,128.28984539490878,114.44527511169306,-13.844570283215717
Feature change,15,182,134.2461896791237,117.46257875655657,-16.78361092256712
Feature change,16,182,155.6482503618264,134.03792713180596,-21.61032323002044
Feature change,17,182,243.14554407156763,217.2302521102712,-25.91529196129642
Feature change,18,182,233.19329603299207,210.7852684729589,-22.40802756003316
Feature change,19,182,168.6456881109481,144.71009773116896,-23.935590379779143
Feature change,20,182,119.23184941085393,97.34819547067659,-21.88365394017734
Feature change,21,182,89.98817511242476,71.21242272029313,-18.775752392131622
Feature change,22,182,70.8813709453127,53.481742301870376,-17.39962864344232
Feature change,23,182,51.35759655689448,38.43870941320315,-12.918887143691329
