hour,rows,constant_mae,linear_mae,delta
0,182,60.956043956043956,38.84381275952443,-22.112231196519524
1,182,75.52747252747253,32.30693530998445,-43.22053721748807
2,181,85.74585635359117,26.90335801409888,-58.84249833949228
3,176,97.125,21.617048913140053,-75.50795108685995
4,179,103.25139664804469,17.6697003796642,-85.58169626838048
5,182,88.28571428571429,23.808585994929963,-64.47712829078432
6,182,47.972527472527474,59.48910851143071,11.516581038903233
7,182,170.8186813186813,163.34165149125846,-7.477029827422854
8,182,324.0769230769231,260.20378109689455,-63.87314198002855
9,182,151.8021978021978,117.7689894746229,-34.03320832757491
10,182,95.46703296703296,94.59733308171762,-0.8696998853153417
11,182,134.04395604395606,112.47809793795675,-21.56585810599931
12,182,181.41758241758242,130.67536306352483,-50.742219354057596
13,182,187.83516483516485,136.1707953841377,-51.66436945102714
14,182,171.52747252747253,128.28984539490878,-43.237627132563745
15,182,183.1043956043956,134.2461896791237,-48.8582059252719
16,182,247.42857142857142,155.6482503618264,-91.78032106674502
17,182,421.9065934065934,243.14554407156763,-178.76104933502577
18,182,388.0054945054945,233.19329603299207,-154.81219847250242
19,182,256.5879120879121,168.6456881109481,-87.94222397696402
20,182,157.6868131868132,119.23184941085393,-38.45496377595927
21,182,99.76373626373626,89.98817511242476,-9.775561151311507
22,182,60.505494505494504,70.8813709453127,10.375876439818192
23,182,44.494505494505496,51.35759655689448,6.863091062388982
