row_id,feature_group,group,split,included
0,34d1bb98ad3ef9671bcb288e8aa1707dbdc48ee3dbcc642044cf9e967c1f3deb,19ca4d5de87159d5e7716813d7adf85687318d23328dd3812ca55822d463f102,final,False
1,2189911aa8313b10d0321809a7d5a4c177723d1a2519353c1572f48e8ad7c4c6,fd0fecb294fd6ea9d1f318e53b6a6b3151ecf22be9e296aa95cf4631c7b7c810,final,True
2,dfa483ec9a3f9715785be4ca9b018bb21f2d7865034fc6b20416c3749d48e7e0,9ab938b946fb1cf7400a136c50508bac29d1298e12ae455fdd895e7535e65041,train,False
3,9045968381d8fd21984206fa963e2b003e8a4b34ad66b4f686a8c811b9dd5d62,60b0e988b85ac3f679c292fbcff436c0b8f69e88523abb2255755efd3e0b5602,train,False
4,46a66bc6a486898f6e9f6d772bb8efc96043f21cc1fe855e0fd46220abd58e10,76a895abd3f8aa77abfc1361d4e585f33746542fc5831312101d590adea48518,final,False
5,81da7649bbc3e43442428d06b893fb119dd573a216bbdd0af4dd9be7ebd17850,6bd481d4a61fe198294cfaad3dafcec6dca59b3aca8536c78a2021d69f1d641c,train,False
6,faf0e475debefa1afb5c28dd6aa56198306c02e9759a43e8a0347c29aaa8a036,42406706fcc843c40a550e57a5f78352edaa338809cbb96f755d0313811ad8c1,train,False
7,863ecad838869725f32e56bb9a34f772ca9fd8a6ab09428394432dd0a948c6f1,02bdf07bf561976756f78e15233e0a8cda01e0aedee2d85db7fb458960624d58,final,True
8,5cf45cbc055ec0368db1347a288626d4f928e009a168cafceb0b5f89a8f08d4c,dbe26882ca03dc736491aa18f347b5229b44c78e7c0cc056531ef38af7ab2304,train,False
9,c9d2269a5c239e89ca6f47f9f63766337bd86e5b74828226f1332d24a7712b62,f2af9d8f03a6fc32898cc3c7eb6b06a7fb97c0b4cd03f0134f1bc285ab212bee,train,True
10,105a5b076b4c25a62b5f6a79f26030c596261312bbb16ccd9e311ca528544e6e,0b32ac0fd5a4c0314f49c5d924e5a2aaba87e3559fe2e8d1265429af984edc2b,train,False
11,95b7336f9b73b84c00b5b2643d024b6b61339d91760459b6fa583844ee88b1e6,26a169513a82b957c591d5f63dcf81ee44c1da042edb51bf2cc938c2785ac58c,train,False
12,0d2f8137bad52b603d3d30df1cef085dd263b861ed993293beacf01c93695d51,1ace9beceea7324473cc765ada58baa02ea520ac258ba60ca231e8d222d6f790,final,False
13,7e950727b4945bea3eb0f98d383e349f3161ad313f1ec63c4497afdd5f9fe27e,673a8f18cfb29f669f589552f004fc007d02efe50f5eebac42b13b27f353ba1d,train,False
14,505edefac7c5450ceacbf042166dc4e147d74e61397d266439b59626e961f27c,6ce654bf20a1e67ffd5f18813e8af4395bbde9eab1872ffbd1dcee3ab18f5ce6,train,False
15,d8a15032b83264c56ab38151bff162690ffcf496f6c0680ef1c0ff1e1682cda6,3ad0cd4dd5a9b2fe2204e33ba523abdea98943bfd25bf425c6ab1905b2733826,final,False
16,2e96000aedaf487f7ff83b49e2cc1c9e7cbbe902f89142a8551f38ca1259919c,19fa3e08058c7e85b02238b3a3a69df30543e5e3a94c2d7658c23aa23881dcef,train,False
17,26993addde100c439b18f330e24b751d2a59a6653d8fe96bdf643cd7fa89306b,d404c51a3e9e8cb625cefeb6da4896ec8c6b5cf4f1690e2e1f08e01768f545fc,train,False
18,4bc54639289a76b01476c3b4221da0d8787e8555d10c854d889390fe2fe9e429,31bfdeee7725d491532493d727c8567e3dd43ddb34f3a5133bc8717834ca12f3,train,True
19,e88dc206a30ee0b084d61d49b2316def2baa64a432643e9edd7c050c0b8aa383,d7b7cc39f87fda23c26c2c11efa98f45fe82f6aa6ac7b2e4a6e1b84cd62ca8d9,train,False
20,1eae9b2db62405d5e4f5ef67ad014f7c7f412eced0921181a226b6a42c782723,bbb9169fa556ba6be93b57f662c3f7e2e667526eddea5f64be19bab048edfef1,train,True
21,5c0f5b8dd114c46e04107da951c469f034f20bfec75872849807049844bb1f74,fdc7d7136971de331ffb451fa4c80380bbfa575a75e6e6f985c62e0a641afb51,train,False
22,c6dfce691127e043af2b0c4f86dad7c21a0b469dda394f5504c8afa8493dd07e,d7b564fef678d08987fe0ad3a1c488d4057d9d15cb2d165f422765cb5b1bd38d,selection,False
23,21ce5ac8277f4e9114d520b185cf6458ab19ac1205b7c766a83830c628a2edb5,7fb7c57e9c451514fce718a373f120e7e0a1555a9d0dba7ad6927f2bc4bef1ee,final,False
24,072d9b85ba22f31a4f931b6e7b56d1a921f3946297ce6628cb22bf20f4338d84,b906e2a7ce04f4698ae46bf2a48247727ebf1d5d5cea053a5799aa15f3328cb3,train,False
25,d22e881f703177b4a945e8b2966cea3f93c98915259d16e86edeb730fa568673,9ea9dd9d421ce8b8eb1b4272a48028686ea30769735d9e1071ef66087bfd3285,train,False
26,f7c820eb7831f74244b398088b2e036fcd85f68f85feb1a571d4f8eac8f5abe6,f130250210eda43dc71757257c3752dc9195feb0c2836c5fc1bdc422d8338e96,selection,False
27,e18c922a005c1e4f14e650525b248328ed5c5b596e31899c15db4c32b258a775,8238a3b596b62ea0601a0b9db91dae47cb8c9addf2d1590bdb9d2237e3157dc8,final,False
28,976380655c7126e58d78f218d2192430e60b26ea6b72e1d47dd79c183f91ddf6,57b18412384524a0daeab18ac7b49da143c013313ba814bd43d851fc57143967,train,False
29,c88416816146931c642f7f431cf9034c544f9b7230e06dcbdc5743e6ec0b0791,87281ca8ccc83e97cc77e24bafe60e69f2f3777ba9225fc46239197cadfcedf8,train,False
30,3f3f6c4a826d00c7effeb8c6c86b958580e588afa8aab949e62246a28a9076a8,cb94c57912179cff20bf6ceb0a3223cb8487bcb0ee761fb06f069bc189ec9c34,train,False
31,98837424211fd7360e52283cd87f012555c88e3f03fbbe6d4d1fe4e6b5fbe51d,6b9e2eb0af84ff110940b6eeac259a8244e30d63a55f928c71796f4bab79ea2d,train,False
32,6bc83854ac0ef603aa5c7b30246d2de5966b79f91a34dd09bb601d8694a06ab1,e2971c2368bb20ea7eb00445130a89980432874cd2589833cf4ff8248c6dfa9d,selection,False
33,784307d5366114486d3a5a60b2f52fb4c86c9ed293d3ddc19268c898b6a0a7be,d1a7e79474205e458f51fe9c83527b6054f3892605e7c0413e4600f18324c9b3,train,False
34,42a444974ff610a3f557226cca00bb79c33676717aabd0e79ce4c0cdab41cf9f,069f7872dc91e10b3f0a9cc846e0b8373287026945190a87c34a9bbbe255d188,train,False
35,d63e5657f481dbe45bdaa70d2c72fc22a1397b89ab1ec2bfb1dc97a833c22463,9773d95486e082e353995286b81be772d25fae0906cd04b028a57480476b67da,selection,False
36,df6258fe86531eb9b683525c81b0c0113ff427eabb4503dcad4659181f7cfe9a,630b684dd364f56b6715f826612ba719a0c601967e793bd37f91a9d1ab189575,final,False
37,883ddc42ef805f7462dfced56ec829d46247cd4d6826c54494c699326763d80c,9c77d5108a014403af6d1c56732dc5f28f24c33acb4c2a7a446c21a44b3d6c02,train,True
38,d2da6dc601b16e1671a6791f3ca5b2ceceb1f587ea5d6a9ac1c26d51323c27ea,011b621854432b377aa60a7c835231ca7bc7d9b076f700be871818092845d247,selection,True
39,3449986ced6eec71d20a2446a45cc9abc37ac197993dd4d9314e0de19ecdafd2,24ce45f075b9f09d13fb7bcfece9ae3de8a7c4c2b997270babf6d7bf2eb6173e,final,False
40,bbc3d1c7295a366f93881da9a8e782c86ef6c469accbedab0eb6564028a03fc7,9cbd495a74417ae0c102557ba5103233f815c18d16027bc84110918a045fb6a1,train,True
41,a8a68f1dc0019c10645ffed85a559b3b6090cc86a2666517c5bf3a15e654e73e,126e04d22829a09324a359f97f71d35d2cadae5768b47605ee9a7b34d0843df9,train,True
42,035cfc9bbf6e28c26d4607710b8a38f43a909d515e356b5f65c180a9ab1be7c2,0310aaa34d6e92b97e8fbed8a6c701701cddb0733a2b4b5f11ee72f806723ab0,train,False
43,75f5eda2287cb866d8638acb7f2cc309fca1ddd2df2d813ed5c365ac1e2ed5af,a66f6e5ee4425e69abecc7f0d6f5eb776ac39cec4e65b8129798966820884d80,train,True
44,c449ef3210c08bfbb419b75e9b59a4036a40eb715b4ec556fc64e6799836a2d4,7ad24ddc17d583b6283dde3adde16b86c5cdc8a29282dcebabbd35a4eee89908,train,False
45,1365666eb281027fdb8abf603f38399ce9a5a227b373e60c34cd5f108fc2ea86,71a1ef98d836c6e6322121b6198c83d4b820763dcbbe2d98ae2a55afa0fae7f1,train,False
46,7f698f14ec3f31c76f21cb94ec757c3375f5823e9d21a09d426ffc9ce15ec86c,69bfd4425f4f7406eb04863041e104b37b62bbc64a822258b7d0a16d849f45fd,train,False
47,15c023e8cfab87e5fbfd40d7a2c85d6fcf7bdb4dccefc6e865161f3679102457,e3ea63851e1e9968bd83ea0b2db5c99dbebdbb921d3af7e68899178977abdff1,selection,False
48,cab46c06b8519a7c2e159ba6b1f10eb38400b2711e05ac3df4943856215fbe32,a981713ebc20a21a0c038b4abb2635fca49893af00fc56a265d0d62275288316,train,False
49,6f9f308015adb6d8d8ad844738742f950a419636d6396caaa52ac7f458e8a344,96127024eb2349e6f1994ad019ad30d38df579eb8ca6d8d8c1fe9d9728c1f0ad,train,False
50,9c252fc7a04f892f11179958180bbf8c107df9e30a4ca13df1dd254ccb0c23a0,9212b8e32f605c6769616fd568c3c0819e6679985ed06e81e89b8a98a5cb4e24,train,True
51,9cc96e1594b0a0c1f5372c5559c751827aaf60400c2e2e45a18529b5af887189,c1314f4ba44ee30b4387acb348cacb121268fbee49a9f9dbe367ff87a9c81896,train,False
52,f5ce5400781b0d78380ca800f301c29f708359c30b0c0d95806d86da0e6da5c0,2047c030ca219cf6e7b8c537840d21b669e245753b0f09102aa5ed66732c6bf7,train,False
53,0fa157703c3977811895e1d48a3470164276a523d20f81acbb21117cde1aeaa1,b5c6f54d5168469d409d3bec5e012c2f18fdde0bb4709241cb42c1b34b4b9ade,train,False
54,2373ea3ccdff0670451685fdd67588c832461a0ea1c04515e5e1c4fdfbb8b8d9,6b11c58e0f631f4bddf28b217cf9dcb7930cd58e801603bc761a3a6fd6b54730,final,True
55,711d2dc7ff1c886a0f71f8d3f806cd02cdf5ae5deb60789e2d3346e20ffa6e53,237ac5c200f9e965789eaf923caa64f360b1837f177d27d2d74ecbfa468a7a41,selection,False
56,1ebeade330ba9809b31dd5ddc47f63f0d31519be0c8c819ecdd7112704164de4,6c24a89ed595fc75ee12cd2bfa0fb0f7922142d3e74eb68710113dc3ded6fa7a,train,False
57,6b2eb4333e2ef952b123b269cfffec5ea501ac8ad78055b64fb8825600deb99c,1d1f99087013ec323ee78ac2d13cba67e930c2ccf8505e2f1b9a9c64ec89429b,final,True
58,2bc528fd823f3e68f0a8140baccf4e93d7b9349d5b7de4382ca417e388e17336,2fc48bfeca2dc9bf7d8ad4552eb2efe5124dd44bc92e2c0c5733bc4a9a880509,selection,False
59,2bbf55188a9ff0d7ad64ab9d8344a158f3c70546c79e9f6c7a413011080f9f21,317a96763fd718e261bcd2d265a1fd9c777b7d9438b9e809ae8342f482003793,selection,False
60,45c888d8ae6377ff44a857fe51254fefa8c402e912aa510ae2f59c70d2d44c08,3833369502937ad05f4832b89cf956c6e1d370a0d57dc8cda68fcb238676fae2,final,True
61,2dd28a7a4be728407e5572a0424821d704460a0a67f64ff1214d17243186bcef,8120b6f262b8f9afe35314336c2ea7ef219b26ad245ec0b5a53ad6b32f1de44e,final,False
62,40e7267dd12fb7a95fe9e071b95b6b82391b9916c2b5f4ca402d80cf91f284b0,51e87c0f0a105747eb523a6202485abb64976603406096020725eafe6bdbafdf,selection,False
63,a4999558d3d9f596310b9d55eaa3dd07f813443cd8b125b29cf51bd6a36ac283,bd38d734b254208946060d068894d216ca8ab8d70085742bf4b8b860cbe0cb77,train,False
64,ef0a99338c64d4dbb63604fc6a8297f753cb2589f17102618912621d4e83eccf,c2a7ee951f8dcb1c7420b662bc0c912c442e6262c5bf114181068db79f6bc556,final,True
65,866cc5913a5a72bc498080271004b2f533520ce176fbabeeccc612ccb1b52a4e,98d3391d971521f43100df80198c012c5f81e88d3f6a92a323c1d4fa09094883,train,False
66,69718368cbcb8bc778a97041b0a3045089a6bfffbebbaf90a8527365dc837f81,bf43ac398adeb67b7380707c8dfbd9b2a535ceaf05173b3a9a98123bb61cec09,train,False
67,957ab1a3c4d2ec1c78cfc24872ff85b4fe8f34dfee694cb552a0e8ab5975d368,436c1c82e00c970cbc8e39c4fe8f8f2188ec26fdb84613a2d82415aeef4aed6e,train,False
68,1d05d282b8010929bb7079750ce95d904514000fec35fc3c8506343cd260e18f,81c3b0b1e72fc87361366512a7bd05ff488fe1d9c624f8861449b0f1a5f937a2,train,False
69,f1523abe5b95bd463a4f92edefbb6f0f3231d84d6bf0e7d403b76dfdd4d075d3,939d92e24b9f6fba071607af704f6f6a31cf6da713f0be4daebf54524803e60f,train,False
70,ac952a13c4250687f9c712e6e858f76090950498c800b6b7c4eb00a5b567ea32,9ca8bf4e510007ba4506bee44c624b9ee5c4c99c31fd9cc88f920420798d820d,train,False
71,6ea9781ce81997f99b436049df03dc5cabda62319489d6028a6bdd370d147730,6fa926da534a99470c9c44fc686c1d4ef2632770d3e0de8886af8e22b27a83db,selection,False
72,3f10cb2f970acbbda7d116d12aeaa756f264ade8f94d794f591ac932d7a49c91,c4776a4f54dfee3041181df1c391af1287bcdc78f19c2f62f0f7f039526b6c43,train,False
73,c43d3d47d50a8645d9a28bc480c82d488ffad942529fe9c3bcee2a626ece6f93,24275b81a28b580bf5369be71962f55fb4257fac96e5c72a0c9390633c836e71,selection,True
74,aafb3b66c9d6cc743225557d89aca02f898f0af62f24f55f221357ca917b2620,549c7d892056b62837ab020792ce287ba3349e37bb275d7a96fa44bdb2cba23e,train,False
75,ba0c6c04018aa716668220883ea13f7cc16d27e3d40d86411067f7e651c97804,85bc1b65e5b945aafa6aae5bef326d4e4c37700e60deae92f4129ea83723530f,selection,False
76,fcfd10150571079aa67f9896ce4a864f1c0f09906cf92313acf2459928409919,c65358736630b77318403cf56debe4adebbd2c87d8c1bf249464d5f09546d7bc,train,False
77,8616eaa0bb582d38d73518e5b43ba0d218822fd358e096a9a4b9144b08552a1c,fae29425c521ca691691e85c65519b6bbb80cc62ee588684c89dc5a06a2cbdf5,train,False
78,d542c2d1653622c59b39b3e5bc354bd36d4fa9983ff18b5673f4c46a860db296,0df3298c43cc56cb44b22b66e8a6c7baa0c60850a7e7124c62326c76d6f2dad3,selection,False
79,d70a2d1fce487e3f42372555cc6f70ddef3d364b316e5160bff8f5c473830384,36a1b68edc30cd6ee8b98e8c3dfa56bccaadd4c67e2c6173f3e2a8ba63d8d187,train,False
80,b431c4325cc5c9f4cbe301f4cd5fe1766d4f1ac15fad1da5f81ceb4acf0e2be4,b8fa2099f1bf86be29d7a56aaffc2d3b3f86be03d17180965e442dbb62919568,train,False
81,a2b81720c0975dd583a958c3613e1b75ae5be68cd7fc26d555f203a3bc7f937e,aabb44a489aaa6e4fbf32f007df1d3b4ae4afd6386786ed1428e1ae0e00ac44b,selection,True
82,be9fb30b7655f7cf65e54a3c53831bbacd2ce6a4ba6083e3587d33c681e88299,f2e7af827bfe057c1509b5f3363ef835a5964c0aa8ca582e22af79af4912308d,final,False
83,201297a7f9a39bb14754670f000d3bf0247e7121268dcdcbdb6258d810a9c5b2,651a8d1e9510ecc97090818093ba76f4b3bf5620c3adba0c22b9ee0c31bf7fc1,train,False
84,4c86b09c582ceaf04a72831bea79d9582d8546c0e2c44868fe6aa77bd8a7a00c,b650203c40efd319382c45aa5918df758354d42d87170ad535032104a217e9c6,train,True
85,51e4e436a5dd606884d6524811c103c7e534c8cb79cb72e242497a31637b7ebf,b27d5083e7317586598d3842a56b90ff3b8ff2a4444f928c053b135024b5d5a0,selection,True
86,79e7da8c20c87d7da864fb7b89f74096dd8a79c1561e709893e883ee0bc2b077,b391b5aa1e4a76d3f0f96db08277e3c0396cedd634dc527cc500b5a343da9815,selection,False
87,c7b68d24b0128fa016672c479df5c53135c06c54987042fa77ce37cc1d36a583,2e0aa3262d22b2aac0f91d6dbabdfe1bc0bb558cd7abf8a5093a835f645ddc68,train,False
88,17ebf55f2166a479c8bab297e524e13678e22893b58fb358b49982f4c8977151,7f6df16924d22efdab2fe7bbafd54097dbdda8deec5fca72e1c19bf56b9640af,train,False
89,cee8f2babb8554abb4c1c268738e49a00f0928b00ff4c95d73bdaf48eb25d226,df336889668bff007959a830a022e15015f8df175b35d8806a563bde03d94418,train,True
90,d50b67f8a62bf91a92f98393778702137ddf13502cd334df3083a5925901b321,cf4217dbee8c621a88bf256d907760ff24bfafcd4682da489f73d98e8f37e317,selection,False
91,ef89df8fb995177acdda394384a3ca12d52ad4a321c36789cc4276ed25ec4526,241af3fff9d61b7fdc32c32ec4e96e3cf78310490378e00cd38e1c70407acb31,train,True
92,6dd3a006613ba2e36fdff10a18e1e13c1044f7e6f8b02eb7c532d2d54c38d887,5e932ab69210287747100316e92030b5f084917cc979dfbf148a4c891f24d5ad,selection,False
93,4f4aef964a9c16a117bc28fc6ed4ad212550df279b4145fa9c4d3f0afbcac321,adb2bf149b0e0c6712cc212d12b0a852bb69b822f95ee9f0d600e1103aed1f68,train,True
94,cae01859165dbb53553cfbf5341d7fd9238feac58bcf0b35cc2d6ec967a0642f,be81294c2e459d2b22c5f06ae6fd5bdf0113c613218e529f46e048ed0003bf99,selection,False
95,e1f6e49039472de5b0eddce7a5eace0bf5673d0e3c72eb0e318890110622c862,f9c6a9745fdb7227bce4be94879e7a92f5b03d595fb63827853ec300ec92fef1,selection,False
96,91e7dbc3b7f6635949d7320ce5907e9e62a6b6319afed4a781738ef6ef8d7ae3,5fffb6f62df102a085b94c55d44bcb6394d3b35ded106c9d3c69de94bdd0a14a,train,False
97,a19cf42273d92456f5a77e38889dc7feb05083c02436e17a3a26eb43ce2f369a,9d5742fae2d7ca0de7ffb13d1523e3a44b7ea0ea1b17c910093e58e8345a8eb2,final,False
98,fb9183183b4c11600a6cb8ad5a3c0bf383f2707b73ee463a99ab282a95b3aed4,d826f5bc2f4fa51a52526a508ae09f88c8fec06dedf918d035231dfe02dec822,selection,True
99,7cb4211a36cefb2d96ebb22e3760d7ed0ab7f02fa3d6a768571fdd2ea45e9193,d826f5bc2f4fa51a52526a508ae09f88c8fec06dedf918d035231dfe02dec822,selection,True
100,7c39d73ae825d1dbd05deec01e18b0b34168d9972749d3fdc98df55b2b6f6e33,2b4ccb06627746982b385595b67007737a86ccfd46f7f8372fe45a0702ab6983,train,True
101,ebd33cc547123a2d44b356b8006441a088e435c7bea4f98e8872248dfa9b7cad,148b7c1e188a1cb1feecf44d65b82cd25d54c9b69ae7483cd989753a14dd9020,train,False
102,910a15c412575ce0227a46b80f62e719f821460d8d8ce41fd68389796e48ed89,4a5dc867ee4915eda2b4a6581f3778a4e6889af01afcaf6aafa97eb37d24f20a,train,True
103,3055e3ff6df5a5e654cbd0b882a2768a95d2e2f5d65fd80206f52a613d5f47a7,43d8e136a46ac14985a3540fdaef53b27ab80830009f462612d7adb351a0ad3c,train,False
104,aa181c137302696d6ae71c13b2265711673253ab279f075f38168d183ab58c59,a97807e1349901c1a3f4788f11f4d973c100f1d4ce6f8ee827757af32a1e5a69,final,True
105,4ac34c969af707564358665b3991e3c08d20d4bc7ff8e86aab0c13edafb43ea2,61f1842a520d0f91d0d7a2a5692db5fd9d123f2949bd1cb35470d38e0557a259,selection,False
106,fdac1d86753abe2dff716f74c8b8aed75027aa2b7eeb87ca7d29aeb41dbf359d,bb5125b3a15fad1a546bf5c44f33c35ab478ad63038e7a0387932702dd6f8831,selection,False
107,a155bcbb9f50b1e0ec18c6d5a099a02d3453535477856d4451bebff0112fa47a,b908d8ab0abfb7ea8780e6ffc2b83268d5b00a8831eedf0ba8a05a5b730b9977,train,False
108,f3738c86fc2f45379f011a3c4fb2bdb88abce906d02c77d194c0e3e39c41999e,33bb8937c8fe4742cfc11853b4060af509923f7c3a652e88b642ac93abafdccf,train,False
109,3ab1658fbce8addda1d2c4e97ba422f3c8feb9cfc57d533f979162ac4d7df904,fa99a678811542303be058a94dbfeae563d645edc6cc1ac176b5eafe4a84306e,train,False
110,28c73b3a0d5e4e6bc9f1d686ae2c1be9cae0a024ec625d8440f1af08da47aa63,22081c7fc0d83446c7630d99a5dd6ef62e5a28dd74f3c0d6d7c3d6bf90ce1e57,train,False
111,3d5d613332ffc7f72502ee5ce7a330c3fd7977ed7bfa3869a22c5a5bea54b2f6,94f27515d987016a81d1bf7ee1e9541cf01fae272e723f4d977a46f1cc0fd87f,selection,False
112,3dd85bf1be48ad6d438e8b45f8f685f251d9fa762e2423392eb665baacf2a864,b2213c2c1e5f25636e06a0fff5697b4d5d668fa2e0d6f5c0bfae0811758c86cb,train,False
113,ec182cc539ea7cf434573a6ca37619f8a12f653300f0ff4b45d50e1150e4de6e,d00fa3238c378ce49a23b43a45346bf9a92c6beac6bca2cbaf009d0741e1a485,train,False
114,39eb031c0d1a885f046f52d6226ca1e132242c1a916a401f8240774c9653dac9,989d1b351982e31476dcda23a60181a9597aef61f0fa840b985a8bafd9d72406,selection,False
115,1e3c519ae0519ad7020a88d85d98585bef28e1d1448e3cd51c78b382aefc1562,5681a9336ececb5dd147e95b04bf11a6330d04db12d96990898c2d61e3583229,train,False
116,24fe59825448a2add6741980115d04c495217d27fe535ef00b62de5659ca5fa3,3ecf455a48cc5060e4a1b1e3405c1c4dec65ea1f51023233815700fcc24a1d0a,final,False
117,98490b0e910f92da7d5d1ee101a43caa8be778d3f56c622abc5d37982b4efff4,a479a6b087c0c0cea721cb0f4477403a5fd9bee920ad364ed7aedb9cbf475edb,train,False
118,a64f24b591e4df99316e7051f9d328dfae1565aa54d710f695969473401e1e05,7ad03b4e151eef5d425ebf3ec5cec05ba70b0756b6f81c2fd6d1ae0ef6110a59,train,True
119,9e91c00ad00337ab854655531b335c91c05993d219b15b2ac2d736ccf73cb5e6,0b851b01bf5ffb0d35531cdeefa488846e29d025ae17658246389b00768241c5,train,True
120,d1a55b9ba8b750d7423dcf89bbeaccf24a3591cd7d495a385bdfc1125b89e7e5,d46881ce67139a62199f023527449af4f89d9adcdbf0bb0bcc7cbd9cff144b1c,train,False
121,3e10b211080fb9bb7ce2184ba067a3a294e550f1805dea1607629b08bed6da75,5397cc2370a1a8d142b003dfaddac696b7ead3b9da76c33dca39834960ae1620,selection,False
122,eb47c828ae8d65b7d3cbc0d3ddf5785468177aaeef08665e879e910a401979af,aca913545caf4516ac0052ab95b777ae2e954454ab0c161ceafefd6c1a360873,final,True
123,c7c3725004b06e4ae4a8fa26139181699b371674f9b946dc405604bf0712fa14,e99f885b7e26eb995d87af7e71d532bd9254ef4cda7a3629705753347fb08bac,train,False
124,53db6abe748665ca37e6478fbad70a787a0a1c591c6a9c94abac48bd255f6fda,01a5e591ce8a4a504b605fac1a7e02a73879592e2f12add6652358b03ddd9ebc,final,False
125,d07a9aef09b64f35a0b4afbe917e836fffe586babd6af0317b9609f9afe85819,c319d0497659453078893b5addec7f7d48c844b5e64d67da475866ea48dd6d7f,final,False
126,159f15ea94149ffaa6bbdce793e04c47f2453c1a5468606f4abc636ae2e1821d,e07e3d334d82bcd9975be490dd0b8a91630de095d724b0acfda45fb32f90b9a9,selection,False
127,212d823fc0d99b85d394f256bc76c13b54ef9a76916c8c9ec465e3d32ab35d4f,a45beb5b932a4aa213f9aeaf3c2cde830121288948da941169e3708fd1094b0f,train,False
128,2ae642c34e5e5ded6fd5d60293341b8059daceca11135c6dfa905556e8e790ff,8a393e811444baeeaa494d7fba0ef8d1376b8094aa443b10ff797dd5d21e45af,train,False
129,539ef82817efade6b197f7bc29902ffadd773e6516bb24c976f7c3d76ec41172,a294c1e7986a7f848c5baf089b0bf237fdd333900cb0268f094bc583cf654b8d,train,False
130,7d7e6c418e4c56583e71a932bf944184bbee05d6e48ccd948fd151b3bdb12780,6be494195e1d33222fd72964859088af09ee5011e53df62ae9e8699990d57fa2,train,False
131,7fb14f062ddf14497e3759383f384e261fb749046c01aec229bd6091b3caa454,80140a71d2a0702d4ca47fd1de1967290be2b6fd79bc85bc0f6cfc0026cc2db3,train,False
132,bca8e9810b0373fe0f59496fc858a22ba2f7e7f0c974646f691ab6bdd41353c6,3a47374457f1def08f4e9fd9761d11657158a9494881ed89ab51eb525859b746,selection,True
133,bc862d51d1eeac4d8ee2c5521f4c2094ab6658e9e8a6f44498d26fe4cad6368f,d692a9e3e93202c25cb2463941f286835d0073095ef0afc27b1bfd8a27240e97,final,True
134,a3cf4b2f5b9852ff07a58276fe608f68ffb55ed89eec6f7733238bd824020f59,46f651a4e725570ee666b3c4e4c2fb1f296d15ebddd722368ac990919dfeb881,final,False
135,ef60e059a4ae945985b75dba6e1ecb22c73c5da4e75d523e2ea64670b10050f1,d6c97858b3c80f8f792f6b37ea2fe2c51436304d62e3130a2e8e84f160e5a9e4,train,True
136,4f3bc3c1dd8a3759e779fdd3de7d593f9c28ceb6cf619a2fceec9079ac9e4a62,a5fea060495a2a8a5b693bfdb62ddf878e958997dc8740d2a540e11870016228,train,False
137,3722adcc6b1232ba31048edb579cfaf4b6623fe71e5907e202391625ce841a94,cf00139644acef0b31855a8fcdfe52894af7d7067eba3b2be4947bbc6900e8b9,train,False
138,fa33766ab1d9b5b4d33ec1cbae109fe7d2c0f08ccb35f4253d8cbfeabb735bc0,5c1e924c444f39ef402f66ccc5db7d3302fab97e32d2f5a774e44597b1fdea9e,selection,False
139,cd931a083ac9426dac035a0463abb8a79768aba7f1863f42fcfce288bf215a51,9211c9be40f92fff0f6aed0d174172cc0ad866568698f4292c5e76d4d8b06429,final,True
140,19a7692c86714c76c18297c390937bf8417cf6dae5dfa2d5e98a84b2a96a4505,f09926c187fd6e8f08fe608fc38508389b8b96d2649ee13d6a085c9920153597,train,False
141,03f72fbd466987dff1de0c05a352eb06df34fd6a74ea75940703866d97bedf17,a879ad45ae3924361ad1dabf5967269af1e46e9d027196448f34cc4a33e5db5a,train,False
142,eb46373b1e46b98d90c4d2200d5e8d55b17e10ed1694035e6fa8b80568d59d3e,e7bfcaf52a0dda95065f721897d5b28c459d662cd65669ceca296e0f991548c5,train,False
143,188d47ee330e666702fe116077210cb5f96e6631da5d64d30963a9e978ce458a,995a7ca0eea036cf158cc895f9dce38f6f8cc9be9542b7b057eaac489a13737b,train,True
144,7db5c456a8143ec00b0d6573bb857eb6d55e1e30498de231af35b4e8c7474f4b,9f902e7387e98bdc7240cdc1ee923aacaf26279b88a5c1b6ba02b8078756afe1,train,False
145,2f208aacb47cbcd3703b5287a286e0d61b65bb67d8b6a6eb397705cd485521c3,5b1d27f15ffc85d6216b45599a4cf8f9aed51f98a6607067c35b2f291b5f7489,train,False
146,3d6e708a0968ba79b460277c170cdecb2734be0cc6c6eb7c0d8df96524bd5b36,710b943a423ea0fa51c556c164c667ed56dd30c5f84e5ebbd03025d3bf9b4cc4,train,False
