row_id,LATITUDE,LONGITUDE,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
38,25.901797204,-80.157754953,73000.0,2654.0,916.0,1342.0,967.4,11708.3,803.5,46884.0,41370.9,17059.2,66.0,0.0,9.0,1.0
73,25.9688195691,-80.1375010799,747000.0,3063.0,2486.0,0.0,3292.2,6293.8,1421.5,55307.9,55307.9,9079.9,16.0,0.0,9.0,5.0
81,25.9724851077,-80.1381998368,842000.0,3036.0,2365.0,0.0,3116.2,6557.0,1559.1,53972.6,53972.6,8946.2,14.0,0.0,6.0,5.0
85,25.8881396567,-80.178057756,252500.0,10772.0,1101.0,1110.0,1803.7,18650.5,3921.7,40728.5,38669.8,10157.7,26.0,0.0,1.0,2.0
98,25.8951199577,-80.1734168625,260000.0,10725.0,1877.0,1731.0,1391.0,16928.1,2283.7,43443.7,40449.0,11795.4,21.0,0.0,4.0,2.0
99,25.8951199577,-80.1734168625,285000.0,10725.0,1877.0,1731.0,1391.0,16928.1,2283.7,43443.7,40449.0,11795.4,21.0,0.0,8.0,2.0
132,25.9029284577,-80.1838590358,218400.0,9525.0,1461.0,0.0,5764.1,20279.4,3644.1,45917.8,44368.5,8529.1,21.0,0.0,4.0,4.0
152,25.9066887152,-80.1708558625,120000.0,7946.0,1223.0,23935.0,3362.2,16085.2,3604.8,47735.5,44158.6,12810.8,67.0,0.0,11.0,1.0
170,25.909284319,-80.1739219533,140000.0,9042.0,1427.0,16795.0,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62.0,0.0,1.0,1.0
171,25.909284319,-80.1739219533,165000.0,9042.0,1427.0,16795.0,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62.0,0.0,6.0,1.0
225,25.9174023966,-80.174141974,247000.0,6741.0,1663.0,3102.0,4132.1,17315.5,3553.9,51460.0,48209.9,9850.5,21.0,0.0,11.0,2.0
263,25.922925027,-80.1752925066,230000.0,7440.0,1400.0,1361.0,5172.5,17807.5,3310.5,53400.0,50229.3,8043.0,36.0,0.0,9.0,2.0
280,25.9268171425,-80.1863652616,235000.0,7983.0,1563.0,1159.0,5343.3,21511.9,5322.6,54562.1,52749.0,4800.1,31.0,0.0,5.0,2.0
308,25.9314460646,-80.1951593709,198000.0,6480.0,1151.0,2072.0,2145.9,24488.5,6461.5,56207.0,55371.2,1960.0,26.0,0.0,8.0,2.0
310,25.9315143014,-80.1901640681,135000.0,6200.0,1338.0,3261.0,3252.2,22839.5,5254.1,56256.1,54803.4,2734.8,36.0,0.0,1.0,2.0
317,25.9322084166,-80.1781375698,290000.0,7768.0,1946.0,824.0,5743.7,18919.6,1974.1,56683.9,53738.7,4940.8,36.0,0.0,1.0,2.0
