row_id,LATITUDE,LONGITUDE,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
9,25.8930495526,-80.1580476911,1220000.0,13803.0,3077.0,34580.0,2937.7,11917.7,9.7,43730.1,38235.2,16787.0,63.0,0.0,11.0,5.0
18,25.8946643832,-80.1610606319,450000.0,10625.0,1529.0,3607.0,1805.9,12840.6,43.0,44081.8,39058.8,15809.4,61.0,0.0,2.0,4.0
20,25.8956119141,-80.1544185384,1067300.0,10875.0,3137.0,15972.0,3200.4,10644.5,0.0,44968.8,38915.2,18007.1,31.0,0.0,5.0,5.0
37,25.9010582278,-80.150690969,120000.0,1889.0,862.0,0.0,3144.4,9396.0,501.4,47253.4,40661.5,19372.4,21.0,0.0,10.0,1.0
40,25.90226147,-80.1546475117,99300.0,3000.0,884.0,0.0,1773.5,10668.4,986.1,47305.5,41324.7,18082.7,58.0,0.0,1.0,2.0
41,25.9261212689,-80.1282938893,1604000.0,9140.0,1484.0,6970.0,8143.2,2416.9,7.2,58214.8,49161.3,17891.1,46.0,0.0,3.0,5.0
43,25.9294058818,-80.1394298492,1830000.0,8800.0,4729.0,31661.0,4288.9,6130.0,10.4,58142.5,50464.3,14538.6,16.0,0.0,7.0,5.0
50,25.9354297416,-80.1397173463,1300000.0,8800.0,3054.0,26327.0,3614.9,6406.3,10.2,60213.5,52663.2,12857.6,29.0,0.0,10.0,4.0
84,25.8880848848,-80.1754943188,285000.0,7540.0,1069.0,912.0,1011.1,17791.8,3772.9,40850.6,38348.8,10973.8,69.0,0.0,5.0,4.0
89,25.8922233665,-80.1789822571,118000.0,7230.0,1249.0,1214.0,2672.7,18803.6,4198.9,42198.1,40179.9,9908.7,58.0,0.0,12.0,2.0
91,25.8928846136,-80.1823566821,210000.0,9450.0,1193.0,3809.0,3786.6,19905.1,3506.1,42305.5,40826.7,8821.9,67.0,0.0,6.0,2.0
93,25.8930362491,-80.1746674346,155000.0,8224.0,1879.0,2945.0,1480.7,17374.4,2753.2,42654.4,39906.5,11345.7,66.0,0.0,8.0,4.0
100,25.8951761516,-80.1851394069,179000.0,6900.0,1317.0,906.0,4963.8,20791.8,3091.9,43076.7,41974.0,7957.6,26.0,0.0,4.0,2.0
102,25.8954311735,-80.179037496,305000.0,9525.0,1228.0,26063.0,3137.5,18772.0,4126.6,43326.6,41234.8,9953.8,21.0,0.0,3.0,2.0
118,25.8995099212,-80.1782129693,160000.0,8633.0,1551.0,4466.0,3526.9,18435.6,4039.2,44831.6,42506.2,10287.3,36.0,0.0,6.0,2.0
119,25.9008043265,-80.1700110235,247500.0,7620.0,1731.0,75.0,1733.1,15738.2,2003.5,45667.3,42042.1,13016.8,26.0,0.0,3.0,2.0
135,25.9035957684,-80.1671272258,171000.0,9730.0,2079.0,23528.0,1693.2,14784.6,1945.9,46819.1,42721.3,14034.2,66.0,0.0,2.0,2.0
143,25.9044950818,-80.1812553054,170000.0,9503.0,1360.0,3004.0,5399.3,19444.8,4577.5,46541.8,44566.1,9406.7,41.0,0.0,7.0,2.0
149,25.9058598674,-80.1688348111,132000.0,10031.0,1811.0,0.0,2662.7,15389.6,2942.4,47542.5,43674.2,13473.7,66.0,0.0,11.0,2.0
