group,size,salted,bucket,split,included
0024e37e5c0cc8dd12dd167ff3671c9fb77483e55bad1ad8e9f69b542bca5655,1,ef2a0968e0b42a897b18607450db243d1d028d358012bbd518f451d52c331c8c,8,final,True
002803d6d27b0bed3dfe8e9d6d13a5d9449af640a90492116c81d1203ce36f08,1,b1289b610c583ebd852939dcb6a4ae6deb644bee5fac7aca1cea883008ffea5b,3,train,True
002bb29339ce2ee715a1310794ce3585118bcd4009289721860ef27496f015d5,1,cc2e5182f256c180453c157b6f4a06cd25278d79b473ee2deb9216abdaf5f224,0,train,True
003fa9a81f1d85784c39e2b5531c5dac7960e02696cffa9b890088de355498c7,2,6e0891c12e358577775506f1ec1aae7c1487d68bf43c8286b6fafcf76a03981f,7,selection,True
00507910b5d4c52c87fc8c38d0359ce26982873cb360cb8b8192c097e2b80853,1,9e91add4783b1b1ea50401584647641b350d9343c6b3b96b83aad2c9e3569bef,3,train,True
0068621aea54dd53f667cdb1b1be333cb4e133c70833e61b3edd4e4d550d3c05,2,bbcd9756b6f3b235f90c1fd41a3916411e6f5906cef8152d639afd71da24d87d,9,final,True
006fb75330d6f35d5d048da88a01a1e9e1523c6e79c26d3473e800adbdc98d77,1,0b3f6c58485dd5b724e5b53b3002492baf20b48444f417754e500fdbc3b2201e,0,train,True
008839d5708de887b4499f6e3beea78e9baa386a8aba13ee38ebc567794e104d,1,bb0c80bc0ee1f9465144fb08b1cc6786e73e4aae11f4b41a0d33d7693435f632,2,train,True
00890eb0443dc531bd988710c309a4fcfebb5ccea8ece4832373017843221592,1,9cebff3634078ab9e9bfa33cb1f97f890bf4feeebcd23beef9c0335de1c56c0a,6,selection,True
008c6543ac165d13f135509d2f778bddc2d6457bdc7c2182711a636950ce5aad,1,9ff17fab0406c2c05dd85e677683565b1b30bb90cc7365336af3efd91f7d37f6,0,train,True
0095dbebda994d8a668d66aa9fed87a6950cba82179a874ada74f9d7fcf98cb4,1,11809717b3a86b1456e7866f73107d3d0840f6c7f1573cfe9fdc0cbaeda13d3b,1,train,True
009ce6871ccf763f9e92e709161f9d2770ffefe080345278b089474bed7896c5,1,c960cc55cbf8e93868945e69afb74a8bfe7b87dc8388532114d6ee1ece3c1e00,6,selection,True
00a270d96f7e160a172d2a7c20721834284c9f1ed4a36003aa634b0685994e71,1,0c76b5682adc3804c05fdaae253a01a8840e05f6c6356ce86afe7ff8625e7487,1,train,True
00be1dc344521073001a1fd418360acaaa8495c096c4318a432c21402fdb2217,1,436a9697ad3ebd97bba45c38f40b26b8dc2590e38eae73b5d1fffe7cbbf534b8,0,train,True
00bef785dd85649787612829b3b13c7275adc233e7c863d3c1398879938adaf4,1,50087a5eb2de1ee8f923c7051685a216c2bb024f2a9a0c33be09a5ba2fbb889b,9,final,True
00cc08df63c79889a3eb22e4d3a606a1329007b9106593fbc1b3b456fcc65a23,1,3f086564538c3fe8b095d22c5c4674f8e3225fdcaf605b91dc5e6e812757f2da,2,train,True
00eeb8bfc4942899b59d1ae027e5361a9f4cda4eb9fe01fff303a1db9a596324,1,fcd5bfd622c3cb7b693187e04b98ec3a600ebca38e25a40c5fff7a6b8800b67e,8,final,False
00f12c9c1a17531c3a6e21fa9877792c0ba6c25dae8650e659dc2a5fca7eb3ab,1,c1c5ca61341124a7663e6fef0be0871674382a8e01b49c43cf0aff26599612f9,3,train,True
00f3449c0e03b14e8a5f9dc424a3805c2405999684f5f083748b35c9b5781b02,1,e9b466ac76565b00721e94288223beaf647f46e6e6c46d9bc629b0afe9b3face,4,train,False
01103b6378490677821846a8af7c4ec968d34d4c4b3adb0e8c26ee4258f3da91,2,4ce02f7c7afcef2c37ddb593e06208cbf266674a2571281f88e1d3adff3bbf43,9,final,True
01228b1b0197e12bdc104189faa0794b6f5ee4d47f5833b1258cb5e6ad247349,1,bf715766a85aec709c369ae4d1db422fb7c20e69ab9899a1b3a54aeb9e212292,4,train,True
0152e405b33a456cf7898688cb2d6a828758cc3686bc5ef247d352a266a2a822,2,36ac4c05183bcaacad72ea123980bb2a963532f1c59b188d5dce5eb9c5b4fa19,3,train,True
01554f28335eec226c5b51ba2c8a6b3686fc865a0ab4b651d1e0049a77601070,1,9c7c42935a7219ddda22496b3281d149802269ed0924eed839cf15d051b76ede,8,final,True
018a91c76f0687b826515fad839efcf90f23dfddd8a5c2d7b149cc9bf9c2045c,1,a20e205417b7dd50dd5d842424965e4f2c6aa2573f66cbbdf7e5b8b21a971ceb,9,final,True
018b429cb3ce4f2bc179440a7880a557081c524089fc9fc293d7deb57eaf0523,1,0cf9f76a2b7e5ae739af9f9f6c63b339204bba311d56a5f0ced77f4c6f0776ee,2,train,True
0199ba11a543645fa7129e3d9325c85bfdbbcf9ef67a279449a5865650144c7d,1,320e03d5ef781c84ed425cf992b60a0e657856acc7e8f896a9782187170d70fd,1,train,True
01a3cf18770ab38e4ef2181b992b3c207ca96e062be62329c3c3aeba68115644,1,dd6e948b2a8582d2a57482cc3d65406828b7cebd05208bd170faaa0065c41217,1,train,False
01c0c164a638891de87db5878f0b143cc65995199888b3f099381e4bbb65d500,1,b82b12d0ac431463a0c39c8b325b998a3598eea921447e98e04e8084ace9fb59,1,train,True
01e5ee0a2d7dd8ce7288468fd5f17713c0cc6ae7419b0c55d0694aec56236054,1,6c995bb96de6d27998b7dfd3440464491351b81f65c66492849534db469b7bd5,9,final,True
0211dbd01efb7a182b68f12405f1f0cf4c343ec3390c7dc3ddc042b3aabc11c0,1,1fa492ac7ed73f5dacba839a7317323d37635b416bd616afff90c4af50d796f4,4,train,True
021d43a005445df383c027a68d2a52d1d5cfdd4720cded3acce740a5d0ec80ed,1,de37f3df157426d4769c5cb2249a62cde4590dba977ead96975e25a399504c74,8,final,True
024e7ff5d364f5a5a405c1770ab62962437c30c4fbc38f8eb5ea31d31d91a011,1,2f56f5c202f97ba04bf7e58c210f8c5e2ee5a10cd9a79354712b5febca4fd1fc,0,train,True
025362b5369f1e75bafd21d28aade9fc69aa517f87146d6b630147d23ae5b3d2,1,c56723d8307e73602707438040dca3634731c2f852cda2cc8205f73a62871be4,6,selection,True
0270ca7ba8853a4d55f0a17ae473ada55e947a385deef8592da87559a905dfab,1,2d24316fa4c69159c64995dd8c8f7d9208825dcc5bbb09695c18f602059b5f6f,9,final,True
