column,role,kind
Aattr,feature,numeric
Battr,feature,numeric
Cattr,feature,numeric
Dattr,feature,numeric
Eattr,feature,numeric
Fattr,feature,numeric
A1attr,feature,numeric
B2attr,feature,numeric
C3attr,feature,numeric
D4attr,feature,numeric
E5attr,feature,numeric
F6attr,feature,numeric
A7attr,feature,numeric
B8attr,feature,numeric
C9attr,feature,numeric
D10attr,feature,numeric
E11attr,feature,numeric
F12attr,feature,numeric
A13attr,feature,numeric
B14attr,feature,numeric
C15attr,feature,numeric
D16attr,feature,numeric
E17attr,feature,numeric
F18attr,feature,numeric
A19attr,feature,numeric
B20attr,feature,numeric
C21attr,feature,numeric
D22attr,feature,numeric
E23attr,feature,numeric
F24attr,feature,numeric
A25attr,feature,numeric
B26attr,feature,numeric
C27attr,feature,numeric
D28attr,feature,numeric
E29attr,feature,numeric
F30attr,feature,numeric
class,target,categorical
