row_id,Aattr,Battr,Cattr,Dattr,Eattr,Fattr,A1attr,B2attr,C3attr,D4attr,E5attr,F6attr,A7attr,B8attr,C9attr,D10attr,E11attr,F12attr,A13attr,B14attr,C15attr,D16attr,E17attr,F18attr,A19attr,B20attr,C21attr,D22attr,E23attr,F24attr,A25attr,B26attr,C27attr,D28attr,E29attr,F30attr,class
10,0.779075,0.323619,-0.498055,-0.825112,0.505098,0.164136,-0.486714,-0.659795,0.154978,0.004676,-0.712483,-0.810711,0.419794,0.15419,-0.858614,-0.826374,0.439835,0.167164,-0.60713,-0.819691,0.160536,0.180869,-0.594733,-0.811113,-0.232863,-0.191794,-1.156644,-1.035244,-0.218196,-0.181449,-1.383589,-1.240204,0.094945,-0.169124,-0.65443,-1.023674,4.
21,-0.396887,-0.637825,-1.699549,-1.354278,-0.895959,-1.234069,-2.347002,-1.926893,-1.181266,-1.22005,-2.33541,-2.12781,-0.09481,-0.370976,-1.218588,-1.037657,-0.372716,-0.836981,-1.683835,-1.397557,-0.359554,-0.955277,-1.670668,-1.230603,0.135312,-0.016376,-0.614884,-0.403375,0.152375,-0.181449,-0.605346,-0.40003,-0.42738,-0.82653,-0.834119,-0.393894,5.
23,1.220062,0.716937,0.523215,-0.08428,1.242496,0.906932,0.533444,0.132141,1.565457,1.141922,0.549793,0.1376,0.419794,0.329246,-0.378649,-0.562271,0.439835,0.036189,-0.367863,-0.557024,0.457729,0.049776,-0.534958,-0.758677,-0.453767,-0.542629,-1.277035,-1.298522,-0.144082,-0.531602,-1.263859,-1.292715,-0.128909,-0.344432,-1.013809,-1.076155,7.
41,-1.719846,-2.298502,1.724709,2.773215,-1.707096,-2.282722,2.033676,3.194294,-1.700916,-2.269815,2.413154,3.19327,-1.859166,-2.252823,2.381153,3.082354,-1.850081,-2.146735,2.383717,3.33044,-1.845523,-2.353611,2.095107,3.331356,-1.705561,-2.165241,1.672549,3.229871,-1.922824,-2.238594,2.028705,3.223223,-1.919739,-2.228996,2.340391,3.227341,2.
46,0.191094,-0.113401,-1.038727,-0.930945,0.210138,-0.098028,-1.026798,-0.923774,0.526157,-0.082804,-1.013025,-0.916079,0.125735,-0.195921,-0.738623,-1.037657,0.144362,-0.00747,-0.966032,-1.029824,0.532028,-0.168714,-1.192475,-0.811113,0.135312,-0.191794,-0.855666,-1.0879,0.152375,-0.181449,-0.844805,-1.082671,0.169563,-0.169124,-0.834119,-1.076155,7.
70,-0.470385,-0.550421,-1.279026,-1.089695,-0.158561,-0.360191,-1.266835,-1.082161,-0.438908,-0.345245,-0.8327,-1.284866,-0.388869,-0.458504,-1.278584,-1.143298,-0.372716,-0.269421,-1.265117,-0.924758,-0.06236,-0.25611,-0.774055,-0.915985,-0.380132,-0.191794,-0.976057,-1.035244,-0.069968,-0.181449,-0.964535,-1.03016,-0.352763,-0.169124,-0.953912,-0.813747,7.
73,0.485085,0.804341,0.403065,0.233219,0.800057,0.644768,0.413425,-0.184633,0.526157,0.485819,0.189143,-0.336555,0.787369,1.248287,1.121243,0.282859,0.809176,1.040333,0.828476,0.125908,0.829222,0.530453,0.062784,-0.234313,0.724391,0.860711,0.28805,0.017871,0.745289,0.869008,0.292626,-0.189986,0.766507,0.532109,0.064327,-0.183967,3.
91,1.734545,1.022851,0.583289,0.233219,1.389975,1.038013,0.83349,0.237733,1.788164,1.229403,0.609902,0.242968,1.522517,1.116996,0.761269,0.33568,1.547858,1.12765,0.768659,0.336042,1.275013,1.142224,0.780074,0.342486,1.681645,1.255401,1.190984,0.386461,1.708774,1.087853,0.651815,0.387634,1.73654,1.277169,1.202359,0.393331,3.
93,1.367057,0.848043,0.523215,0.286136,1.389975,1.038013,0.83349,0.501711,1.416986,1.273143,1.391311,0.717124,1.743062,0.854412,0.821265,0.494142,1.400122,1.040333,1.127561,0.703775,1.42361,1.666599,1.437591,0.919286,1.239836,0.904566,0.769615,0.491773,1.264088,0.737701,0.532085,0.492656,0.691889,0.926552,0.303913,0.498294,3.
96,-1.57285,-2.03629,1.123962,1.7678,-1.338398,-1.802089,0.593453,1.13526,-1.032794,-2.007374,0.850335,1.770803,-1.932681,-2.252823,1.361226,2.448506,-1.48074,-2.146735,1.366829,2.437374,-0.953942,-1.479652,0.540978,0.919286,-1.263751,-1.55128,0.348246,1.176297,-0.736996,-1.013061,-0.126428,0.020058,-0.42738,-0.738876,-1.193498,-0.971192,2.
111,-0.102897,1.19766,1.244111,0.815302,-0.37978,1.212789,1.253555,0.607303,-0.364672,1.229403,1.571636,0.822492,-0.388869,1.029468,1.121243,0.705425,-0.077243,1.040333,1.127561,0.703775,-0.359554,1.273318,1.377816,0.70954,-0.159228,1.036129,1.130788,0.702396,-0.144082,1.044084,1.130733,0.7027,-0.128909,1.058033,1.441945,0.708221,1.
132,0.779075,0.498427,0.282916,-0.08428,1.095016,0.688462,0.293407,0.132141,1.120043,0.879481,0.549793,0.295652,0.713854,0.504301,0.041321,-0.192527,1.104649,0.8657,0.290124,0.230975,0.754923,1.054828,0.600752,0.499795,0.650756,0.334459,0.047268,-0.245408,1.264088,0.343779,-0.186293,-0.084964,1.288832,0.751244,0.543498,-0.079004,3.
141,-0.764376,-1.031144,-0.377906,-0.190113,-0.45352,-0.578661,-0.126658,0.02655,-0.141965,-0.257765,-0.111399,0.032233,0.934398,0.37301,0.341299,0.388501,1.47399,0.996675,0.888293,0.598708,1.795102,1.404411,1.497365,0.761977,2.049819,1.386964,1.552157,1.01833,1.708774,1.000315,0.951139,0.440145,0.841124,1.014206,0.423706,0.445813,3.
145,-1.058367,-1.424462,-1.098802,-0.613446,-1.043438,-1.539926,-1.326844,-1.082161,-1.032794,-1.526231,-1.493892,-1.07413,-0.462384,-1.027434,-1.158593,-0.879195,-0.742057,-1.317224,-0.906215,-0.662091,-1.251136,-1.479652,-1.371797,-0.863549,-0.748307,-1.025027,-1.036253,-0.771965,-0.736996,-1.144368,-1.0244,-0.767606,-0.725852,-1.2648,-1.013809,-0.551339,5.
149,-1.866841,-2.298502,0.883663,2.826131,-1.854576,-2.282722,0.653462,3.035907,-1.849387,-2.269815,0.910444,3.035218,-1.418077,-2.296587,0.941256,2.395685,-1.628476,-2.27771,0.708842,2.542441,-1.622628,-2.135121,0.7203,2.387503,-0.674672,-0.84961,0.047268,0.860363,-1.181682,-1.406983,0.292626,1.647896,-1.397414,-2.053687,0.842981,2.387634,2.
150,-0.984869,-1.337058,-0.918578,-0.454696,-0.969698,-1.321457,-0.906779,-0.237429,-1.255501,-1.482491,-0.652375,-0.231187,-1.271047,-1.290018,-1.218588,-0.403809,-1.259135,-1.404541,-1.025849,-0.399425,-1.251136,-1.261162,-0.534958,-0.548931,-1.190116,-1.332008,-1.517817,-0.719309,-1.404024,-1.319444,-1.263859,-0.925139,-1.397414,-1.308627,-1.013809,-0.91871,5.
159,-0.764376,-1.031144,-1.038727,-0.772195,-0.748479,-1.015599,-1.026798,-0.765386,-0.735851,-1.132569,-1.013025,-0.758027,-0.903473,-1.20249,-1.038601,-0.932016,-0.668189,-1.011614,-1.025849,-0.924758,-0.656748,-0.998975,-1.013152,-0.70624,-0.895577,-1.375862,-1.277035,-0.561342,-0.885225,-1.05683,-1.263859,-0.767606,-0.651234,-1.045665,-1.013809,-0.761265,5.
175,-0.984869,-1.337058,-0.918578,-0.24303,-1.264658,-1.496232,-0.666742,-0.237429,-0.958558,-1.176309,-0.652375,-0.441923,-1.271047,-1.421309,-1.038601,-0.403809,-1.259135,-1.273565,-0.547313,-0.557024,-1.251136,-1.261162,-1.192475,-0.758677,-1.411021,-1.332008,-1.277035,-0.929932,-1.404024,-1.319444,-1.0244,-0.925139,-1.17356,-1.177146,-1.49298,-0.708784,5.
180,-0.396887,-0.637825,-0.798429,-0.560529,0.505098,0.076748,-0.306686,-0.34302,0.229214,0.267118,-0.291724,-0.547291,0.125735,-0.195921,-0.49864,-0.245347,0.809176,0.691066,0.290124,-0.241825,1.126416,0.530453,0.062784,-0.234313,0.135312,-0.191794,-0.374101,-0.403375,1.11586,0.693931,0.59195,0.020058,0.766507,0.356801,0.303913,-0.393894,7.
185,-0.396887,0.629533,0.703439,0.444886,-0.895959,0.469993,0.713472,0.237733,-1.181266,0.267118,0.429577,0.242968,-0.09481,0.679357,0.521286,0.124397,-0.963662,0.341798,0.290124,0.283508,-0.953942,0.530453,0.540978,0.499795,-0.159228,0.860711,0.589028,0.491773,-0.440539,0.518855,0.59195,0.230101,-0.725852,0.532109,0.842981,0.498294,1.
186,-0.690878,-1.074846,-1.699549,-1.354278,-0.895959,-1.059293,-1.266835,-0.923774,-1.181266,-1.35127,-1.253459,-0.916079,-0.682928,-0.983671,-1.458571,-0.826374,-0.668189,-1.14259,-1.444568,-0.819691,-0.953942,-1.261162,-1.192475,-0.653804,-0.453767,-0.981173,-1.096448,-1.0879,-0.736996,-1.100599,-1.323724,-0.820117,-0.725852,-1.089492,-1.313291,-0.813747,5.
189,-0.764376,-1.337058,-1.999923,-2.042193,-0.748479,-1.190375,-2.226983,-2.032484,-0.735851,-1.30753,-2.215193,-2.022442,-0.976988,-1.421309,-1.878541,-1.565863,-0.963662,-1.273565,-1.624018,-1.76529,-0.953942,-1.392256,-2.208636,-1.964712,-1.190116,-1.332008,-1.517817,-1.0879,-1.181682,-1.319444,-1.742778,-1.292715,-1.17356,-1.308627,-1.912255,-1.810899,5.
205,-0.396887,-0.681527,-1.45925,-1.407194,-0.37978,-0.666048,-1.6869,-1.398935,-0.364672,-0.520206,-1.674218,-1.390234,-0.168324,-0.502268,-1.518567,-1.513043,-0.151111,-0.356737,-1.743652,-1.502624,-0.136658,-0.343506,-1.491346,-1.28304,-0.232863,-0.367211,-1.156644,-1.245867,-0.218196,-0.181449,-1.383589,-1.240204,-0.203527,-0.169124,-1.133601,-1.023674,7.
208,0.044099,-0.200805,-0.918578,-0.878029,0.062659,-0.360191,-1.386853,-1.029365,0.080742,-0.170284,-1.133242,-0.863395,-0.462384,-0.764851,-1.638558,-1.196119,-0.151111,-0.57503,-1.624018,-1.187424,-0.136658,-0.430902,-1.431571,-1.178167,-0.453767,-0.718047,-1.7586,-1.45649,-0.144082,-0.531602,-1.742778,-1.292715,-0.128909,-0.344432,-1.013809,-0.708784,7.
215,-0.396887,-0.375613,-1.218951,-1.036778,-0.084821,-0.360191,-1.206825,-1.240548,-0.067729,0.004676,-0.712483,-0.652659,-0.168324,-0.195921,-1.33858,-1.090478,-0.151111,-0.356737,-1.324934,-1.082358,-0.136658,-0.168714,-1.072926,-1.073294,-0.232863,-0.191794,-1.156644,-1.035244,-0.218196,-0.181449,-0.665211,-1.03016,-0.203527,-0.169124,-0.894016,-1.023674,7.
216,1.881541,1.285064,1.063887,0.497802,1.906154,1.518646,1.073527,0.712894,1.936636,1.535584,1.391311,0.717124,1.963606,1.467107,1.841192,0.599783,1.695595,1.258626,1.486463,0.598708,1.720804,1.273318,0.899623,0.814413,1.75528,1.386964,0.890006,0.386461,1.782888,1.000315,0.891274,0.387634,1.512686,0.838898,0.663291,0.025959,3.
221,0.779075,0.498427,0.042617,-0.24303,0.800057,0.338911,-0.186668,-0.448612,0.8231,0.529559,0.068926,-0.073135,0.713854,0.679357,-0.198662,-0.192527,0.735308,0.341798,-0.188412,-0.189291,1.126416,0.530453,0.062784,-0.181877,1.239836,0.553731,0.28805,-0.08744,0.967631,0.562624,0.053167,-0.242497,0.99036,0.575936,0.064327,-0.079004,3.
227,1.220062,0.716937,-0.197682,-0.08428,0.947536,0.732156,0.293407,-0.079042,0.971571,0.74826,0.30936,-0.073135,0.713854,0.504301,0.101317,-0.192527,0.735308,0.516432,0.349941,-0.189291,1.052117,0.705245,0.361655,0.027868,1.166201,0.816857,0.348246,0.228494,1.189974,0.825239,0.113031,-0.137475,1.214214,0.619763,0.124223,0.025959,3.
231,0.117596,1.022851,1.424335,0.921135,0.136399,1.212789,1.133537,0.712894,-0.141965,0.70452,0.850335,0.717124,0.05222,0.723121,0.761269,0.494142,0.070493,0.734724,0.768659,0.703775,-0.210957,0.923734,1.377816,0.70954,0.429852,1.079983,1.190984,0.807707,0.448832,0.869008,1.190598,0.807721,0.169563,0.707417,0.902877,0.813184,1.
233,0.338089,0.148811,-0.678279,-0.666362,0.652577,0.164136,-0.906779,-0.659795,0.377685,0.179637,-0.652375,-0.863395,0.713854,0.197954,-0.378649,-0.773554,0.735308,0.341798,-0.367863,-0.557024,0.457729,0.355661,-0.355636,-0.758677,0.945296,0.202896,-0.133319,-0.508686,0.671174,0.387548,-0.126428,-0.505051,0.691889,0.225319,-0.354948,-0.498857,4.
242,0.044099,-0.375613,-1.158877,-1.036778,0.062659,-0.01064,-0.666742,-0.659795,0.674628,0.004676,-0.652375,-0.441923,0.419794,0.022899,-0.558636,-0.562271,0.439835,0.036189,-0.547313,-0.399425,0.457729,0.224567,-0.116539,-0.391622,0.061677,-0.191794,-0.855666,-0.508686,0.374717,0.037396,-0.365887,-0.505051,0.393417,0.050011,-0.594534,-0.341412,7.
261,1.146564,0.585831,0.342991,-0.137197,1.168756,0.994319,0.353416,0.02655,1.194278,0.835741,0.129035,0.032233,1.375487,0.635593,0.401295,-0.192527,1.104649,0.822041,0.409758,-0.189291,1.126416,0.486755,0.182332,-0.181877,1.092566,0.685294,0.28805,-0.08744,1.11586,0.693931,0.053167,-0.084964,1.438068,0.707417,0.303913,0.130923,3.
286,1.367057,0.673235,0.583289,0.021553,1.095016,0.688462,0.05337,-0.184633,1.120043,0.879481,0.30936,0.032233,1.228458,0.723121,0.281304,-0.086885,0.956912,0.56009,0.290124,-0.084225,0.977819,0.748942,0.301881,-0.077004,1.018931,0.509876,0.348246,0.017871,1.041746,0.693931,0.352491,0.020058,1.36345,0.882725,0.363809,0.183404,3.
289,0.926071,0.716937,0.523215,0.127386,0.947536,0.732156,0.533444,-0.079042,0.971571,0.74826,0.30936,-0.231187,1.669547,1.073232,0.881261,0.177218,1.03078,0.8657,0.349941,0.020842,0.754923,0.880036,0.660526,0.027868,1.46074,1.606236,1.79294,0.755051,0.671174,1.000315,0.651815,0.230101,0.691889,0.838898,0.663291,0.025959,3.
290,-0.470385,-0.987442,-1.098802,-1.089695,-0.748479,-1.102987,-1.326844,-0.818182,-0.735851,-1.088829,-1.313567,-0.810711,-0.756443,-1.20249,-1.158593,-0.667912,-0.742057,-1.011614,-1.145483,-1.029824,-0.210957,-0.867881,-1.371797,-0.863549,-0.453767,-1.15659,-0.79547,-0.561342,-0.736996,-1.144368,-1.0244,-0.767606,-0.725852,-1.001838,-1.013809,-0.761265,5.
300,1.073066,0.498427,-0.197682,-0.401779,1.095016,0.338911,-0.186668,-0.395816,0.748864,0.529559,0.068926,-0.178503,0.934398,0.548065,-0.198662,-0.086885,0.956912,0.56009,0.050856,-0.241825,0.977819,0.355661,-0.176313,-0.234313,1.681645,0.860711,0.348246,0.017871,1.041746,0.693931,0.352491,-0.189986,1.064978,0.707417,0.124223,-0.183967,4.
304,-0.690878,-1.16225,-0.738354,-0.24303,-0.969698,-1.146681,-0.966788,-0.659795,-0.958558,-1.26379,-0.712483,-0.231187,-0.756443,-1.114962,-1.098597,-0.615092,-1.03753,-1.273565,-0.846398,-0.609558,-1.02824,-1.261162,-0.833829,-0.601368,-0.748307,-1.025027,-1.397426,-0.877277,-0.736996,-1.013061,-1.14413,-0.662584,-0.949706,-1.001838,-0.894016,-0.446376,5.
313,-0.102897,-0.375613,-1.218951,-1.036778,-0.37978,-0.840824,-1.6869,-1.398935,-0.364672,-0.957608,-1.674218,-1.232182,0.125735,-0.020865,-0.618631,-0.403809,0.144362,-0.182104,-0.60713,-0.399425,-0.433852,-0.824183,-0.833829,-0.391622,0.356217,-0.016376,-0.675079,-0.666654,0.374717,-0.006373,-0.665211,-0.45254,0.393417,0.006184,-0.65443,-0.446376,7.
322,0.705578,1.022851,0.823588,0.233219,0.726317,0.863238,0.293407,0.02655,0.748864,0.879481,0.30936,-0.178503,0.934398,0.898176,0.281304,0.124397,0.956912,0.909358,0.529392,0.125908,0.977819,0.748942,0.540978,0.132741,1.018931,0.860711,0.890006,0.175838,0.745289,0.693931,0.352491,0.020058,0.766507,0.532109,0.124223,-0.183967,3.
324,1.073066,0.673235,0.523215,0.127386,1.389975,0.863238,0.83349,0.132141,1.416986,1.054442,0.850335,0.1376,1.375487,0.854412,0.041321,0.018756,1.400122,0.8657,0.589209,0.020842,1.42361,0.880036,0.839849,0.027868,0.945296,0.729148,0.28805,-0.245408,1.264088,0.737701,-0.186293,-0.084964,0.99036,0.751244,0.303913,-0.079004,3.
330,1.661048,1.066554,0.643364,0.391969,1.684934,1.081707,0.653462,0.39612,1.34275,1.098182,0.67001,0.190284,1.449002,0.985704,0.641278,0.230039,1.47399,0.996675,0.888293,0.388575,1.497908,0.836338,0.899623,0.394922,1.387105,1.386964,0.950202,0.439117,1.708774,1.394236,1.250463,0.597678,1.438068,1.233342,0.723188,0.445813,3.
334,0.485085,0.323619,0.282916,-0.454696,0.505098,0.513687,0.05337,-0.237429,0.526157,0.354598,0.068926,-0.441923,0.419794,0.329246,-0.198662,-0.615092,0.735308,0.167164,-0.367863,-0.609558,0.754923,0.180869,-0.355636,-0.811113,0.356217,0.159041,-0.675079,-0.666654,0.671174,0.168703,-0.90467,-0.662584,0.393417,0.181492,-0.65443,-0.866229,4.
335,0.117596,-0.375613,-0.858503,-0.825112,0.136399,-0.185416,-1.326844,-0.818182,0.154978,-0.345245,-1.073134,-0.810711,0.640339,-0.020865,-0.91861,-0.667912,0.365966,-0.356737,-0.666947,-0.872224,0.086237,-0.168714,-0.654507,-0.863549,0.724391,0.202896,-0.133319,-0.561342,0.152375,-0.093911,-0.784941,-0.767606,0.169563,-0.256778,-1.013809,-0.971192,7.
338,0.338089,0.148811,-0.197682,-0.454696,0.357618,-0.01064,-0.186668,-0.448612,0.377685,0.179637,-0.411941,-0.652659,0.419794,0.197954,-0.558636,-0.562271,0.439835,0.210823,-0.547313,-0.557024,0.457729,0.224567,-0.534958,-0.758677,0.356217,0.202896,-0.133319,-0.508686,0.07826,0.212472,-0.844805,-0.925139,-0.128909,-0.344432,-1.253394,-1.076155,4.
370,-2.013836,-2.342205,1.48441,2.773215,-2.002056,-2.326416,1.193546,2.349562,-1.997859,-2.401036,1.210986,2.350327,-1.859166,-2.384115,1.181239,2.659789,-1.850081,-2.146735,0.649025,1.701908,-1.622628,-2.004027,0.122558,0.971722,-1.631926,-2.033678,0.408441,1.597543,-1.626367,-2.019749,0.412356,1.385341,-2.068975,-2.141341,0.962773,1.600409,2.
374,-1.646348,-2.167396,0.703439,2.402799,-1.854576,-2.151641,0.953509,2.402358,-1.849387,-2.269815,0.970552,2.561062,-1.418077,-2.077767,0.821265,2.395685,-1.923949,-2.059418,1.127561,2.384841,-1.696927,-1.916631,0.540978,1.653394,-0.748307,-0.674192,-0.193515,0.491773,-1.033453,-0.969292,0.053167,0.7027,-1.024324,-0.82653,0.303913,0.498294,2.
377,0.117596,0.148811,0.523215,0.286136,0.136399,0.338911,0.05337,-0.079042,0.526157,0.529559,0.549793,0.295652,0.419794,0.679357,0.281304,0.018756,0.439835,0.516432,0.050856,-0.189291,0.160536,0.355661,0.062784,0.027868,-0.453767,0.159041,0.28805,0.333806,0.07826,0.737701,0.292626,0.12508,0.094945,0.356801,0.303913,0.130923,4.
