group,size,salted,bucket,split,included
000329756ac061a5a77daf3f668a37f5753fc2c2dca5eb39faae18cc8e294740,1,eda52577c1c2e475c82e0a0a671deb4711e84839f5a1cf6363adfd66dd3df5df,1,train,False
000338ff9eddffde5cc05dfaeac6d9de2e64d78331cd2938d4002cd30a6c9fd3,1,a87f5ded640e2ce751e0c073ea28b74b710ce591140c12e8accb35f5b7729c0c,2,train,False
0003eb41bd287710e7d1c9e9627ef5cf72538de23425e64b7e0667751456a47c,1,5ce0e01aa3b99feee1d4d667902d92c805ad05148862d3346f03fecc6d03a929,9,final,False
00044e4d8c5e44945aff3a68efb6f9c371ea17a5c6e63e346e4815a4a268faa7,1,dcc61ebb8529167a43463dba35d5cff1b36a91b889bcfa7336c4b6e0f36c63bc,4,train,False
0004fbd3f875316f1c7101d69a1cbf26b9d40818742f20dd533ac1a151392338,1,9af97a922e928419769a95b55d5f6e2f27a3bdfeef5b1f9d7867e2d6769ea7b4,6,selection,False
0008052452a2a349cba506505c777204ac8d091d9235f6d69a9376912c492974,1,c6794bc8c0a4f58af2ae101cd7c1fa7daa5cae548b70a690aef97eddfc824dbe,6,selection,False
000806d24bc41ed854261bd2a02bd37bc675a5f3f495a3819caf35ca4804dc90,1,963d429c1fdea372c3d640c8471d43ee96946923631b608dd954bad54bdf0876,6,selection,False
0008d9845ac1b319f28652f7ed65eea5fadb4703b500bc64017781d37b709e39,1,257676e831a3830002830d15a7dca1227cfbfbfc7eb4ee78115f44b4fb3e4669,7,selection,False
0009ae5fddf37bbf2aa87fabf8b0488719b87728204dd645b9cc5e32a13a685c,1,974e5c39d8b09c911e5db280f2e8934d8de19cadbdb08c58f294be0159a2bacf,1,train,False
0010012411adae662caf64434930808951f6d2a18f0aa075df56351cfb7d19bf,1,4b1d403b783e06f52e86a7d4c739431e1b21c9a968788de5446d7af887958d6b,5,train,False
0010a1a17e553781e53957d797b8770fbf24355547e0ddb6b49c4694790013f3,1,0792661fbe9a00d09d56a9bdba357b3a566eedb8c84ac5376ed3719081079372,2,train,True
0011c11cf1f463a4b00fe8581749a3363ecf63923798fc8a337cf64c55821e65,1,b86aeb1048351e79eaa89ee6a5704dd99a79d42814386750036a81a82b782af7,7,selection,False
001394c07f6d839daa0ac5de9b765a01aed2e68c38739f0a3909126bbdb9d29b,1,95fc4a6f4509689ddcfeda30f5edc6854a1464632d6497830cd1c15b7b6c6f0e,4,train,False
001544977e24e15c2cc98da48a96ad98106f7415e518804ece1afb3fdeddcad2,1,0916347a4b04de31236ee919b2554da61156555bcaf403ce1520be5e70c964a8,6,selection,True
001596c322813cb471f0ef5cb8ae6669fa629e615181ddaf4fd74c7c554f6857,1,4997d660c755b8ac558e72dc41b6cb3faaac52e44f3f044a518d2877449567b6,8,final,False
00173e72048e8e6db53ee7847d35ba57b398178b4bc4c831df604bc3d832bb3c,1,a5b54a7b306ae69ccf2892f1b292dfe4e1526ea08801e656f09988c16bac48b8,4,train,False
001a54bbc8dead3f2e4fb0761282cc62f6f3f1fbb1de5ddf7df59a89dfa90090,1,ffad9f9c56ae3e796d68c4c4650b9d237d3b47ea10b745939eb2a118f16c2263,7,selection,False
001c761e2c5d04f7314470b5dc51ebb31185049650db8ae6d898563ae6f93cce,1,4efad1933a0881e81fa61a8afbab2d352c12620d2b3e8d79ff1d9c13494b1dc2,2,train,False
001eb5e5c8a6a095b285eb5b9b21228004e30809e8e3fd204ca984723f6ce70d,1,58895253f44d40204d6351b0e1993315731ddcf26f502e80989bf6c1f14d123a,6,selection,False
001f461daa4a21c94e59ce97bd3cd5344ce7d526eaeffc1f1d8ac35525919a40,1,d88f32e957ede41dda5f4b3f2490c0c3e43a5b1e375b11a80e3d359a2697312d,9,final,False
001f6a734a2283c6f9ffae45d8dcffcb2c02553a9948ae454eb8b9ddcbaeccbc,1,7d333171fa2bc3b72bed5e4110a5668498854f557bf182ed75aad80c9dc37a60,8,final,False
0021c7fca7b85b8c4b33cceb9f0fcc3cf93bf929b69688662d780ac9946edd1a,1,90ea069649e4bb0c585abbcffafac3f601a98586caaaadbf197a466b646056fc,8,final,False
002223f11106a615e28d29a8701782d453cae820eea7fb546bbdd5ac51f99a84,1,8736d9defae3d796a6f6d316294267370cf57db6cfb3977b28110fb11a11d399,5,train,False
0022e2a1334f569ebdf50853ef731c35984df46578bda5c69a34c2d5092da382,1,ef5590a9acb3ee7db6a8408c0f0b2c3d839c3e659bd138c479e63c412f0c4bd7,7,selection,False
00242e5ee5ffa817576ba1f1fb232cf84f9523e43f4f49a77f4066e49b7cfe6a,1,8a26991a37aafdd21dc25c4eb5830d1698bea68df60ac0c9c1a4b01efb207cd8,2,train,False
0024c1d653257b65e15f540e59a5b39f8b61dbfe53b6302627cb3391b7211c99,1,fa10952bf8b259a891b618388db98f5deda71f215ea9d94188e1343ca4f4afa8,2,train,False
0025dbd70a84a336de557b7a60c41b11b9630961fa7a0eaa96835f784a6f94e5,1,d55e8d8e5dc6df62f75b66e0abe7777d607a87a42d5917856f8b81e11e1c07ef,7,selection,False
0027a068d5e51167fbd8ee06b0ce92cd5558713d48f8ed961c2db77ddf0ab875,1,2e292da8b6d7c826256ef55a705a4064a2cd6fb9c38f533c87bf073fedd03659,1,train,False
0029079a26fd12e9aa6bbe2f476ddbbdcfb4440a380603d56e9736defa3ad6a6,1,6d3d6bc4567cc04bfb542af42f7b75239c3b4e297648de3e264ad2c2d7d7a465,7,selection,False
002a844dc069c9a37eb937752a1ee9c2ea0be6f96c50c91536b90ae6e163894a,1,327854f26a6817d0fc802534d04a32d7ccbebaa4cbee770a4a488eefde9b9343,5,train,False
002d0054df72c70fa8f22dac4a7a12f1950f5fc7e5c1414691c1e87766978e92,1,f092893bdde088fbaeefc081d7dc3dbbbd2bd865373475c9e7d4c1c0bf5064f0,4,train,False
002dc0093c39a9988bba62d740a63f517577477500eb93c2d85cc534ea6d5a41,2,83a71fd062aa32103f826da8da8f1ec9625afdc8732a2e5d9d35a26f9fe912d8,4,train,False
0031e065367701145d4b210b40ab47cd8eaada57577be8fc577941c0a00063bb,1,bdb3262ee52bb0ca964b91df45878c0bd729fc98e04723aeba91ee257a1d9b32,6,selection,False
003269fcb6eaccd9090efe297f04bc65e67406e926dfdf86956c3da79ef5ef06,2,6a9638f433cd38f17069054fdb254c3acd4bd8a2ec35241aa0e68dbff0c3e68d,7,selection,False
0033d3c2eb32cb7bc5f31f519667ab1c48816eacae707e266b79d32306d1c95c,1,775faf4eb88ba050ae9c00ccbfd125d000c128c2d3e29a963ab1e32a5ac4cb43,7,selection,False
00346bfb33fe30a2f1bddb5131e6944d31c3a9f5f3a2f4ef88ec46cee3009054,1,f12e5ecdd2d5e86afea49ebf56095b881015b40776fd60d05b57db86b5d2c908,6,selection,False
00347cbc28edd6b5bf4df92690d685735c2a7d8af08f979ceff2aa1dd592ba2b,1,36acf9137b63ebbc054ff7a7d727f1f6042a85025e7183a6218762f68b11e83e,0,train,False
0037e3c84fc9bbd6e23df6ae0eabcabb7780cd5a99ae2843b39f504cf67e8fab,1,b77fcee5700d11f38a9882dfe24261ea4b4659e3653919f9367d2269c41f9f59,7,selection,False
00382a88bacc9d9fc14aceb269aa70531c1f0a960588d0ef987ff2bddc4cbac6,1,cb14cd090bc5e80063bc5da2e73c973104119dd9d74bdda925252831d7b4cacf,7,selection,False
