row_id,RMSD,F1,F2,F3,F4,F5,F6,F7,F8,F9
89,2.28,6493.69,1705.78,0.26268,52.9662,909941.987,76.9265,3342.87,56.0,38.6855
200,14.844,8232.2,1411.25,0.17143,77.4649,1113050.0572,102.051,3314.26,39.0,38.3958
257,4.786,8224.38,2547.01,0.30969,90.0116,1112973.166,117.026,4274.11,103.0,33.3403
364,0.869,14499.5,4049.68,0.27929,193.125,2009138.7833,222.581,5614.67,136.0,22.9619
433,20.493,11937.1,3818.79,0.3199,112.535,1649239.8129,166.291,4826.69,120.0,31.2096
485,14.795,6727.97,2203.08,0.32745,66.1031,896540.4053,101.856,3259.7,83.0,39.7102
548,10.797,8133.0,3443.44,0.42339,65.4221,1183572.098,117.073,3445.03,43.0,37.8797
564,1.499,7264.6,2373.4,0.3267,64.8901,978120.5866,100.026,3113.19,26.0,40.1807
627,2.186,10635.3,3658.38,0.34398,126.996,1434512.9798,174.449,3942.35,52.0,34.0397
675,2.769,7236.3,2439.31,0.33709,63.2004,949559.3153,121.446,2857.42,27.0,38.7794
760,1.35,15019.1,4632.49,0.30843,210.099,2090486.2517,254.281,5339.97,282.0,24.6828
847,1.95,8338.13,1979.44,0.23739,99.0214,1158165.0928,130.921,3537.69,34.0,34.8074
998,19.582,12688.9,4656.96,0.36701,62.7578,1765702.3536,179.811,5642.51,89.0,25.9166
1097,10.772,4424.1,1022.65,0.23115,45.8909,550865.2265,67.6236,1851.73,39.0,43.4873
1140,2.648,15635.7,4879.36,0.31206,223.55,2058426.3009,248.881,5952.53,240.0,22.0253
1296,4.437,7060.04,2634.56,0.37316,76.7575,968649.1726,111.979,3949.5,32.0,35.1449
1378,2.394,9337.76,3134.65,0.33569,114.678,1327950.4458,127.195,3759.37,79.0,35.2927
1403,1.387,6978.0,2621.71,0.37571,64.2611,1014271.9142,92.1611,3214.82,30.0,38.8772
1519,4.632,8124.41,2473.54,0.30445,81.6414,1139575.4068,117.811,3809.04,72.0,34.8119
1606,17.169,9194.37,3776.13,0.4107,67.1036,1270888.2266,136.893,3605.57,62.0,37.976
1626,1.28,14894.0,3790.17,0.25447,178.531,2104681.6484,211.806,5692.91,67.0,23.0148
1628,10.141,10625.9,3563.9,0.33539,108.585,1454492.2281,160.838,4401.91,36.0,33.4642
1754,5.628,7332.93,1921.06,0.26197,68.4368,1015218.7357,97.675,3184.36,38.0,37.8357
1801,0.6,7914.59,2179.61,0.27539,88.8108,1085437.1583,111.92,3099.92,21.0,37.6867
1809,1.68,4183.73,1256.66,0.30036,36.4069,569686.414,52.8901,1400.41,17.0,44.4069
1847,2.496,5337.44,1481.27,0.27752,47.6854,740411.917,58.9327,2012.99,18.0,43.3043
1860,13.047,6399.43,1116.17,0.17441,52.5645,890026.0945,71.7022,2891.38,47.0,37.9132
1877,1.906,13195.0,4212.83,0.31927,146.405,1887849.6936,209.033,5843.95,88.0,24.3253
1948,14.358,8049.68,1725.84,0.21439,83.5447,1145734.927,109.946,3771.37,100.0,30.367
1967,17.878,10392.1,3960.06,0.38106,76.9708,1441601.7037,150.915,4699.98,107.0,31.6804
1974,4.128,24495.5,8356.32,0.34113,313.26,3404690.5231,404.459,6782.26,125.0,16.1494
1999,2.072,15007.2,5421.62,0.36126,183.088,2108922.9282,250.835,4416.38,39.0,26.8353
2040,17.458,12830.9,6089.21,0.47457,176.253,1736996.9282,280.143,4480.76,158.0,31.0492
2063,11.649,6180.04,2057.48,0.33292,61.92,847537.1786,93.3159,3077.63,23.0,39.4057
2101,10.217,7101.15,1809.54,0.25482,53.084,995051.7262,75.6708,3549.44,20.0,38.197
2113,18.168,8977.23,3115.25,0.34701,89.1012,1263834.4869,136.947,4179.71,88.0,34.4568
2180,2.852,9560.99,2478.68,0.25924,100.369,1331984.5094,129.604,4006.43,20.0,34.6248
2196,17.497,17127.9,6001.43,0.35038,177.493,2356056.5262,274.371,5172.79,74.0,26.4049
2202,4.264,7602.54,2847.68,0.37456,72.5688,1037124.2807,101.656,3516.91,36.0,40.6716
2258,20.574,11703.5,5528.55,0.47238,163.704,1615913.5236,240.568,4807.87,195.0,29.1442
2293,12.189,8529.23,2687.25,0.31506,64.3257,1204903.8663,103.151,3626.04,13.0,37.4971
2327,1.771,11328.2,3133.3,0.27659,132.12,1573859.689,158.143,4446.78,89.0,31.5187
2348,2.91,8276.38,2678.81,0.32366,90.4689,1180318.9106,124.828,3563.06,14.0,36.3236
2410,2.025,10772.0,3007.01,0.27915,136.494,1481659.8813,168.62,4453.56,88.0,31.5429
2463,1.454,15237.7,3096.19,0.20319,173.425,2149084.024,201.969,4227.32,138.0,31.3816
2468,10.069,4478.64,924.12,0.20633,36.376,620657.8102,53.516,1792.56,33.0,44.2743
2496,12.335,5557.8,1664.46,0.29948,54.5918,739099.2484,77.6398,3279.47,24.0,41.5433
2591,11.738,5074.33,1854.64,0.36549,46.2842,729630.1098,77.725,2349.52,62.0,42.3761
2593,3.102,6905.83,2815.11,0.40764,70.708,954592.9095,99.3279,3130.94,33.0,39.9253
2596,15.464,10482.1,2958.15,0.2822,110.19,1473708.2823,136.697,4256.97,71.0,33.4243
2612,3.364,21778.1,6480.38,0.29756,308.829,3002954.198,356.712,6265.81,112.0,17.8824
2633,13.275,9157.66,2633.75,0.2876,76.6516,1241001.229,116.341,3923.43,116.0,33.6738
2641,4.484,5911.75,965.2,0.16326,51.6863,821736.7694,61.4743,2978.55,25.0,40.2245
2646,2.945,8679.42,2421.84,0.27903,87.3915,1191611.4605,123.344,3850.59,45.0,35.195
2655,2.669,7933.35,2116.94,0.26684,66.2199,1095269.4856,109.886,3952.68,37.0,34.6166
2657,6.382,14113.1,4867.73,0.3449,166.597,1918678.8758,237.999,4669.73,97.0,29.5191
2771,4.43,10622.4,2626.68,0.24727,109.253,1500023.17,149.006,4310.99,68.0,32.9141
2931,2.292,13488.2,3033.77,0.22492,203.769,1870448.3961,236.207,4968.56,128.0,26.6967
2958,1.42,8467.86,2168.86,0.25612,98.5877,1148939.613,126.56,3469.94,11.0,36.8769
3011,4.299,15679.0,4343.08,0.27699,211.572,2167166.4499,255.861,5149.28,175.0,25.1605
3054,0.985,8857.61,2508.61,0.28321,104.128,1231023.9388,139.226,3273.4,5.0,36.8462
3061,6.512,5494.3,1625.49,0.29585,45.0351,760868.8202,60.8914,1954.2,23.0,43.4404
3103,7.64,7196.31,2096.85,0.29137,62.2102,995244.9441,90.6501,2996.91,5.0,41.3613
3348,0.6,9246.97,2579.79,0.27898,97.4966,1266036.3852,159.622,4128.75,73.0,33.1645
3350,14.724,7643.76,3266.08,0.42728,57.6353,1084456.087,111.762,3163.17,62.0,39.399
3418,13.139,7588.36,1923.64,0.25349,79.0066,1008533.7908,97.2743,3347.6,48.0,37.5653
3459,14.894,9063.51,2709.63,0.29896,51.8557,1242498.0324,119.229,4037.91,27.0,35.7058
3593,6.263,7973.45,2909.44,0.36489,86.2231,1135365.0398,122.395,3077.29,14.0,35.3884
3627,1.535,4055.92,1181.98,0.29142,34.4125,558202.3683,50.5063,1402.85,17.0,44.3142
3638,2.821,11049.3,2907.18,0.2631,150.046,1570061.4919,154.422,4094.75,136.0,31.6278
