check,passed
6/parent/kernel/twelve_attempts,True
6/parent/kernel/selection,True
6/parent/kernel/bounded_proposals,True
6/parent/kernel/constructor_uniqueness,True
6/parent/kernel/common_coverage,True
6/parent/kernel/parent_order,True
6/parent/kernel/applicability,True
6/parent/forest/twelve_attempts,True
6/parent/forest/selection,True
6/parent/forest/bounded_proposals,True
6/parent/forest/constructor_uniqueness,True
6/parent/forest/common_coverage,True
6/parent/forest/parent_order,True
6/parent/forest/applicability,True
6/parent/linear/twelve_attempts,True
6/parent/linear/selection,True
6/parent/linear/bounded_proposals,True
6/parent/linear/constructor_uniqueness,True
6/parent/linear/common_coverage,True
6/parent/linear/parent_order,True
6/parent/linear/applicability,True
6/parent/reference/twelve_attempts,True
6/parent/reference/selection,True
6/parent/reference/bounded_proposals,True
6/parent/reference/constructor_uniqueness,True
6/parent/reference/common_coverage,True
6/parent/reference/parent_order,True
6/parent/reference/applicability,True
6/parent/all_failed_refused,True
6/i0/kernel/twelve_attempts,True
6/i0/kernel/selection,True
6/i0/kernel/bounded_proposals,True
6/i0/kernel/constructor_uniqueness,True
6/i0/kernel/common_coverage,True
6/i0/kernel/parent_order,True
6/i0/kernel/applicability,True
6/i0/forest/twelve_attempts,True
6/i0/forest/selection,True
6/i0/forest/bounded_proposals,True
6/i0/forest/constructor_uniqueness,True
6/i0/forest/common_coverage,True
6/i0/forest/parent_order,True
6/i0/forest/applicability,True
6/i0/linear/twelve_attempts,True
6/i0/linear/selection,True
6/i0/linear/bounded_proposals,True
6/i0/linear/constructor_uniqueness,True
6/i0/linear/common_coverage,True
6/i0/linear/parent_order,True
6/i0/linear/applicability,True
6/i0/reference/twelve_attempts,True
6/i0/reference/selection,True
6/i0/reference/bounded_proposals,True
6/i0/reference/constructor_uniqueness,True
6/i0/reference/common_coverage,True
6/i0/reference/parent_order,True
6/i0/reference/applicability,True
6/i0/all_failed_refused,True
6/i1/kernel/twelve_attempts,True
6/i1/kernel/selection,True
6/i1/kernel/bounded_proposals,True
6/i1/kernel/constructor_uniqueness,True
6/i1/kernel/common_coverage,True
6/i1/kernel/parent_order,True
6/i1/kernel/applicability,True
6/i1/forest/twelve_attempts,True
6/i1/forest/selection,True
6/i1/forest/bounded_proposals,True
6/i1/forest/constructor_uniqueness,True
6/i1/forest/common_coverage,True
6/i1/forest/parent_order,True
6/i1/forest/applicability,True
6/i1/linear/twelve_attempts,True
6/i1/linear/selection,True
6/i1/linear/bounded_proposals,True
6/i1/linear/constructor_uniqueness,True
6/i1/linear/common_coverage,True
6/i1/linear/parent_order,True
6/i1/linear/applicability,True
6/i1/reference/twelve_attempts,True
6/i1/reference/selection,True
6/i1/reference/bounded_proposals,True
6/i1/reference/constructor_uniqueness,True
6/i1/reference/common_coverage,True
6/i1/reference/parent_order,True
6/i1/reference/applicability,True
6/i1/all_failed_refused,True
23/parent/kernel/twelve_attempts,True
23/parent/kernel/selection,True
23/parent/kernel/bounded_proposals,True
23/parent/kernel/constructor_uniqueness,True
23/parent/kernel/common_coverage,True
23/parent/kernel/parent_order,True
23/parent/kernel/applicability,True
23/parent/forest/twelve_attempts,True
23/parent/forest/selection,True
23/parent/forest/bounded_proposals,True
23/parent/forest/constructor_uniqueness,True
23/parent/forest/common_coverage,True
23/parent/forest/parent_order,True
23/parent/forest/applicability,True
23/parent/linear/twelve_attempts,True
23/parent/linear/selection,True
23/parent/linear/bounded_proposals,True
23/parent/linear/constructor_uniqueness,True
23/parent/linear/common_coverage,True
23/parent/linear/parent_order,True
23/parent/linear/applicability,True
23/parent/reference/twelve_attempts,True
23/parent/reference/selection,True
23/parent/reference/bounded_proposals,True
23/parent/reference/constructor_uniqueness,True
23/parent/reference/common_coverage,True
23/parent/reference/parent_order,True
23/parent/reference/applicability,True
23/parent/all_failed_refused,True
23/i0/kernel/twelve_attempts,True
23/i0/kernel/selection,True
23/i0/kernel/bounded_proposals,True
23/i0/kernel/constructor_uniqueness,True
23/i0/kernel/common_coverage,True
23/i0/kernel/parent_order,True
23/i0/kernel/applicability,True
23/i0/forest/twelve_attempts,True
23/i0/forest/selection,True
23/i0/forest/bounded_proposals,True
23/i0/forest/constructor_uniqueness,True
23/i0/forest/common_coverage,True
23/i0/forest/parent_order,True
23/i0/forest/applicability,True
23/i0/linear/twelve_attempts,True
23/i0/linear/selection,True
