task,kind,arm,serial,step,template,factor,parent_step,reason,researcher_sha256,constructor_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
6,classification,parent,1,1,base:linear,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,c3681ae8accf43e6b6458b745caa29c8824beb1f28e40a1319fdd9a66bcbf3fd,cee7983f3d0ddd115d33a45f2830ad8b3d60bd191934fb2ad98a1d64046e661d,success,0,1.6169201000011526,0.1975407923314289,0.225626379721433,0.7743736202785669
6,classification,parent,2,2,base:extra-trees,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,bc07bb99b98df2d658f0cf78d1708f8e6da4018cf77c7cc6e8857f6ae00daee4,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,1.9548461000085808,0.0,0.1041478712822041,0.8958521287177958
6,classification,parent,3,3,base:rbf-1,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,599514b79f6b1ce2e94aaad0e9fab12bccb916207fc8935019e1f23c59906fd0,27d1a072e585c314d242425e3916152e1d5bc9acc0dda7b40e67395c1b8f1902,success,0,1.9670175000210293,0.0925415560073174,0.1514411114636401,0.8485588885363599
6,classification,parent,4,4,base:hist-boost,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,9dd9920dd79cbd8bba12b865c0018c33ce017f4c5dcba0a82912961ac809ed83,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,8.38610120001249,0.0,0.1196603811966201,0.8803396188033799
6,classification,parent,5,5,base:random-forest,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,ee87d31f34fff5e8d0c10cdcd3de731c02bd45c0349ebeb95d4eb418a3bfd3b0,0918ad65acc5281163c013cc98a4838d8a582c04ef2b144849472fa5bfbd8361,success,0,1.9942448000074364,0.0,0.1300445661862448,0.8699554338137552
6,classification,parent,6,6,base:rbf-10,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,acb8cb170ac0cbe1ab878480e99ff6f167ea13b2c4f73adf946c3afaf367d248,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,1.952865400002338,0.0054970891006213,0.1007769350232427,0.8992230649767573
6,classification,parent,7,7,base:neighbors-5,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,3664cbfed54f7655266c41752a36a22ffa449951c20566e86dec1dc1c0ad91ae,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.5919693000032566,0.0,0.1653399971250944,0.8346600028749056
6,classification,parent,8,8,base:neighbors-25,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,fa72c5abe25c35f834f19a083a0667b98103ec504c028cb03a9e97c183e64432,4e281f1bee2f157de5bffb1f9b2851a0e09daa407da8d0729ff89cf93592a3a4,success,0,1.642940699995961,0.0,0.2334913796449271,0.7665086203550728
6,classification,parent,9,9,base:rbf-10,0.5,6,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,5a37aa47273baa340dc89ceccb37d31c49041741de11565660a5376adb6db71b,cba072beeebd4b7c7681c24f493a0768bcef1739bca5dd0c7c8c5c8b8d21c17b,success,0,1.9643596000096295,0.016907797105181,0.1110736013553054,0.8889263986446946
6,classification,parent,11,10,base:rbf-10,2.0,6,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,98f214257b7ac3f86972c7bde383b387afd0018c3d91c52794ec4fc81915330c,1c2cc34aae8efb982e0d54d04b34525cea6aec5193c601d09ccf4914697636b2,success,0,2.1847305999835953,0.0008732339089482,0.1071234365677705,0.8928765634322294
