task,kind,arm,serial,step,template,factor,parent_step,reason,researcher_sha256,constructor_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
6,classification,i1,1,1,base:linear,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,c3681ae8accf43e6b6458b745caa29c8824beb1f28e40a1319fdd9a66bcbf3fd,cee7983f3d0ddd115d33a45f2830ad8b3d60bd191934fb2ad98a1d64046e661d,success,0,1.8542723999998998,0.1975407923314289,0.225626379721433,0.7743736202785669
6,classification,i1,2,2,base:extra-trees,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,bc07bb99b98df2d658f0cf78d1708f8e6da4018cf77c7cc6e8857f6ae00daee4,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.1723052999877837,0.0,0.1041478712822041,0.8958521287177958
6,classification,i1,3,3,base:rbf-1,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,599514b79f6b1ce2e94aaad0e9fab12bccb916207fc8935019e1f23c59906fd0,27d1a072e585c314d242425e3916152e1d5bc9acc0dda7b40e67395c1b8f1902,success,0,2.2591973999806214,0.0925415560073174,0.1514411114636401,0.8485588885363599
6,classification,i1,4,4,base:hist-boost,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,9dd9920dd79cbd8bba12b865c0018c33ce017f4c5dcba0a82912961ac809ed83,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,9.892587300011655,0.0,0.1196603811966201,0.8803396188033799
6,classification,i1,5,5,base:random-forest,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,ee87d31f34fff5e8d0c10cdcd3de731c02bd45c0349ebeb95d4eb418a3bfd3b0,0918ad65acc5281163c013cc98a4838d8a582c04ef2b144849472fa5bfbd8361,success,0,1.9992532999895047,0.0,0.1300445661862448,0.8699554338137552
6,classification,i1,6,6,base:rbf-10,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,acb8cb170ac0cbe1ab878480e99ff6f167ea13b2c4f73adf946c3afaf367d248,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,1.9924542999942787,0.0054970891006213,0.1007769350232427,0.8992230649767573
6,classification,i1,7,7,base:neighbors-5,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,3664cbfed54f7655266c41752a36a22ffa449951c20566e86dec1dc1c0ad91ae,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.6381067000038456,0.0,0.1653399971250944,0.8346600028749056
6,classification,i1,8,8,base:neighbors-25,1.0,0,broad conventional probe,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,fa72c5abe25c35f834f19a083a0667b98103ec504c028cb03a9e97c183e64432,4e281f1bee2f157de5bffb1f9b2851a0e09daa407da8d0729ff89cf93592a3a4,success,0,1.823789099988062,0.0,0.2334913796449271,0.7665086203550728
6,classification,i1,9,9,two:forest-all-features,1.0,0,retain coverage; test a different representation or objective,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,5f601c0a9a4e00e8bc9189f46ffcbcc43b7b7ef859ed31df17956869d93d389e,c97ba403e8fcdd0a2e573ba349ab034efcd3039f88923ae2ce59e3c0c51ed528,success,0,2.6603415999852587,0.0034703847221819,0.1626089003653971,0.8373910996346029
6,classification,i1,10,10,one:rbf-wide,1.0,0,retain coverage; test a different representation or objective,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,c99ac20930fcfae495ad6a1d0ab5ae881fea0023c95783d9f030bd9ebaee5af4,4483f350c36b64578650a3863d4b22f0ccf2927693173891c0ad0b23fac2b8b6,success,0,2.2019593000004534,0.070537070762172,0.1244795940458085,0.8755204059541914
6,classification,i1,11,11,base:rbf-10,2.0,6,alternate two checked families; use observed generalization gap,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,98f214257b7ac3f86972c7bde383b387afd0018c3d91c52794ec4fc81915330c,1c2cc34aae8efb982e0d54d04b34525cea6aec5193c601d09ccf4914697636b2,success,0,2.2733473000116646,0.0008732339089482,0.1071234365677705,0.8928765634322294
6,classification,i1,15,12,base:rbf-10,4.0,6,alternate two checked families; use observed generalization gap,053228ae5a337e2dee99c96a569d890f3a908d7194e2ba00c3cc5636ab02481f,65cd6119af815eff586d82234e6698095f79c849f4e5033c690de432c2f4d67c,67212aea9679b5b6f5816d96f48a969823d1c88b6f8542cf67d4c5a978c6f7e3,success,0,2.1963506000174675,0.0,0.1077879143663946,0.8922120856336053
