check,passed
search_complete,True
preflight_complete,True
no_live_workers,True
STUDY-FREEZE.csv/unique,True
evaluator\2074\final.csv/identity,True
evaluator\361241\final.csv/identity,True
evaluator\361251\final.csv/identity,True
evaluator\361260\final.csv/identity,True
evaluator\43\final.csv/identity,True
evaluator\45\final.csv/identity,True
PANEL.csv/identity,True
public\2074\SCHEMA.csv/identity,True
public\2074\selection.csv/identity,True
public\2074\train.csv/identity,True
public\361241\SCHEMA.csv/identity,True
public\361241\selection.csv/identity,True
public\361241\train.csv/identity,True
public\361251\SCHEMA.csv/identity,True
public\361251\selection.csv/identity,True
public\361251\train.csv/identity,True
public\361260\SCHEMA.csv/identity,True
public\361260\selection.csv/identity,True
public\361260\train.csv/identity,True
public\43\SCHEMA.csv/identity,True
public\43\selection.csv/identity,True
public\43\train.csv/identity,True
public\45\SCHEMA.csv/identity,True
public\45\selection.csv/identity,True
public\45\train.csv/identity,True
researchers\fixed\ORIGIN.md/identity,True
researchers\fixed\researcher.py/identity,True
researchers\i0\ORIGIN.md/identity,True
researchers\i0\researcher.py/identity,True
researchers\i1\ORIGIN.md/identity,True
researchers\i1\researcher.py/identity,True
researchers\parent\ORIGIN.md/identity,True
researchers\parent\researcher.py/identity,True
researchers\random\ORIGIN.md/identity,True
researchers\random\researcher.py/identity,True
source\execution_support.py/identity,True
source\i0.py/identity,True
source\i1.py/identity,True
source\improver.py/identity,True
source\NESTED-RESEARCH-PROTOCOL.md/identity,True
source\parent_engine.py/identity,True
source\README.md/identity,True
source\refinement_engine.py/identity,True
source\researcher.py/identity,True
source\revision_one_engine.py/identity,True
source\revision_two_engine.py/identity,True
source\run_nested_research.py/identity,True
source\study_engine.py/identity,True
source\study_worker.py/identity,True
CHOICE-FREEZE.csv/unique,True
CHOICES.csv/identity,True
SEARCH-LEDGER.csv/identity,True
runs\43\fixed\attempts\12\builder\study_engine.py/identity,True
runs\43\fixed\attempts\12\builder\parent_engine.py/identity,True
runs\43\fixed\attempts\12\builder\revision_one_engine.py/identity,True
runs\43\fixed\attempts\12\builder\revision_two_engine.py/identity,True
runs\43\fixed\attempts\12\builder\refinement_engine.py/identity,True
runs\43\fixed\attempts\12\builder\candidate.py/identity,True
runs\43\random\attempts\04\builder\study_engine.py/identity,True
runs\43\random\attempts\04\builder\parent_engine.py/identity,True
runs\43\random\attempts\04\builder\revision_one_engine.py/identity,True
runs\43\random\attempts\04\builder\revision_two_engine.py/identity,True
runs\43\random\attempts\04\builder\refinement_engine.py/identity,True
runs\43\random\attempts\04\builder\candidate.py/identity,True
