task,kind,arm,selected_step,template,factor,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score,final_loss,final_score
43,classification,fixed,12,two:native-category-boost,1.0,c2a02b0649389e2c3c864b30adcd7eba9de4257de7dd9c24e3da25771148e433,success,0,2.0211959000153,0.0012179065174456,0.0472099492718049,0.952790050728195,0.0535220539828835,0.9464779460171164
43,classification,random,4,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,2.403024400002323,0.0006802721088434,0.049271804941908,0.950728195058092,0.0510533245556287,0.9489466754443712
43,classification,parent,9,base:hist-boost,0.5,a257a714d45385cd0dff01a45e1bd3b909cb4d6db65c80e38ead651484f37e08,success,0,2.06278010000824,0.0012179065174456,0.0424480445099002,0.9575519554900996,0.055562870309414,0.944437129690586
43,classification,i0,9,base:hist-boost,0.5,a257a714d45385cd0dff01a45e1bd3b909cb4d6db65c80e38ead651484f37e08,success,0,2.383947599999374,0.0012179065174456,0.0424480445099002,0.9575519554900996,0.055562870309414,0.944437129690586
43,classification,i1,4,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,2.691952699999092,0.0006802721088434,0.049271804941908,0.950728195058092,0.0510533245556287,0.9489466754443712
45,classification,random,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.344442799978424,0.0,0.0324908463826866,0.9675091536173134,0.037371838687628,0.962628161312372
45,classification,parent,11,base:rbf-10,0.25,d06130fdcadd7251bd066ee2be9b579d85727ba5c85841a4412f188629eb1d0b,success,0,2.347664500004612,0.0,0.0322491336755041,0.9677508663244958,0.037371838687628,0.962628161312372
45,classification,i0,11,base:rbf-10,0.25,d06130fdcadd7251bd066ee2be9b579d85727ba5c85841a4412f188629eb1d0b,success,0,2.3595016000035685,0.0,0.0322491336755041,0.9677508663244958,0.037371838687628,0.962628161312372
45,classification,i1,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.3227328999782912,0.0,0.0324908463826866,0.9675091536173134,0.037371838687628,0.962628161312372
45,classification,fixed,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.3475734000094235,0.0,0.0324908463826866,0.9675091536173134,0.037371838687628,0.962628161312372
2074,classification,parent,9,base:hist-boost,0.5,a257a714d45385cd0dff01a45e1bd3b909cb4d6db65c80e38ead651484f37e08,success,0,3.7682559000095353,0.0,0.0837776148179282,0.9162223851820718,0.1556153178768817,0.8443846821231182
2074,classification,i0,9,base:hist-boost,0.5,a257a714d45385cd0dff01a45e1bd3b909cb4d6db65c80e38ead651484f37e08,success,0,3.7495202999853063,0.0,0.0837776148179282,0.9162223851820718,0.1556153178768817,0.8443846821231182
2074,classification,i1,11,base:hist-boost,2.0,d45873f393004d98740b3e58e6b0b681ecaba4b1839ae6dbd4929bd01cca14c5,success,0,4.758526599995093,0.0,0.0854156252118049,0.9145843747881952,0.1536755510409917,0.8463244489590083
2074,classification,fixed,4,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,3.32843690001755,0.0,0.0870692696441101,0.91293073035589,0.1497084317176273,0.8502915682823726
2074,classification,random,11,one:boost-regularized,7.15281427,d47a80cf02d592a0d75ea6a3dc6d63296e1363aca931ff89d8fa9bd4621c2c6e,success,0,7.227137500012759,0.0,0.0834238800237775,0.9165761199762223,0.1557441159249301,0.8442558840750699
361241,regression,i0,8,base:neighbors-5,1.0,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.6291066000121646,0.0020609982735548,0.6504648340853805,3.3676548378344107,0.6368742185279521,3.2972920759558586
361241,regression,i1,8,base:neighbors-5,1.0,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.5776852999988478,0.0020609982735548,0.6504648340853805,3.3676548378344107,0.6368742185279521,3.2972920759558586
361241,regression,fixed,8,base:neighbors-5,1.0,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.6139808000007179,0.0020609982735548,0.6504648340853805,3.3676548378344107,0.6368742185279521,3.2972920759558586
361241,regression,random,8,base:neighbors-5,1.0,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.750694000016665,0.0020609982735548,0.6504648340853805,3.3676548378344107,0.6368742185279521,3.2972920759558586
