row_id,Aattr,Battr,Cattr,Dattr,Eattr,Fattr,A1attr,B2attr,C3attr,D4attr,E5attr,F6attr,A7attr,B8attr,C9attr,D10attr,E11attr,F12attr,A13attr,B14attr,C15attr,D16attr,E17attr,F18attr,A19attr,B20attr,C21attr,D22attr,E23attr,F24attr,A25attr,B26attr,C27attr,D28attr,E29attr,F30attr,class
6,-1.425855,-1.337058,-1.279026,-0.719279,-1.190918,-1.321457,-1.506872,-0.712591,-1.403973,-1.30753,-1.253459,-0.916079,-0.903473,-1.246254,-1.518567,-1.143298,-1.185267,-1.229907,-1.025849,-1.134891,-1.399733,-1.348558,-1.491346,-0.915985,-1.190116,-1.288154,-1.457622,-0.824621,-1.181682,-1.275675,-1.203994,-0.820117,-0.949706,-1.2648,-1.433084,-1.023674,5.
7,-0.911371,-1.249654,-1.939848,-1.513027,-1.190918,-1.496232,-2.106965,-1.71571,-0.884323,-1.22005,-1.914651,-1.706338,-0.976988,-1.290018,-1.218588,-1.037657,-0.963662,-1.404541,-1.923103,-1.607691,-1.176837,-1.392256,-1.909765,-1.597658,-1.042846,-1.419717,-1.337231,-0.824621,-1.033453,-1.275675,-1.323724,-1.082671,-0.725852,-1.527763,-1.49298,-1.496009,5.
17,-0.470385,0.848043,0.643364,0.391969,-0.748479,0.688462,0.653462,0.39612,-0.735851,0.529559,0.67001,0.40102,-0.903473,0.37301,0.881261,0.230039,-0.889794,0.385456,0.349941,0.020842,-0.879643,0.224567,0.361655,0.027868,-1.190116,0.24675,0.408441,0.228494,-1.181682,0.256241,0.412356,0.020058,-1.17356,-0.08147,0.18412,0.025959,1.
18,-0.396887,-0.113401,-1.038727,-0.772195,-0.674739,-0.272803,-1.026798,-0.923774,-0.661615,0.267118,0.189143,-0.178503,-0.388869,-0.195921,-0.738623,-0.826374,-0.668189,-0.00747,-0.487496,-0.451958,-0.656748,0.705245,0.540978,0.29005,-0.453767,0.159041,-0.614884,-0.613998,-0.144082,0.343779,0.053167,-0.189986,0.169563,0.882725,0.603395,0.235886,1.
20,0.117596,-0.200805,-0.858503,-1.089695,0.136399,-0.185416,-0.84677,-1.082161,0.154978,-0.170284,-0.8327,-0.810711,-0.241839,-0.195921,-1.398575,-1.037657,0.070493,-0.182104,-1.145483,-1.029824,0.086237,-0.168714,-1.1327,-1.020858,-0.453767,-0.279503,-1.036253,-1.193211,-0.440539,-0.268987,-1.203994,-0.97765,-0.128909,-0.256778,-1.433084,-1.181119,7.
31,-0.176394,-0.375613,-1.279026,-1.089695,-0.158561,0.033054,-0.84677,-0.923774,0.674628,0.61704,-0.111399,-0.336555,0.787369,0.635593,-0.07867,-0.192527,1.400122,1.214967,0.708842,0.441108,1.720804,1.22962,0.7203,0.447359,1.092566,0.860711,0.528832,-0.08744,1.412317,1.044084,0.831409,0.282612,1.438068,1.277169,1.382048,0.498294,3.
53,-0.176394,1.19766,0.883663,0.603635,-0.158561,1.212789,1.193546,0.607303,-0.438908,1.229403,1.511528,0.611756,-0.09481,1.204523,0.941256,0.811066,-0.077243,1.214967,0.94811,0.808841,-0.359554,1.22962,1.557139,1.024158,0.135312,1.036129,1.130788,0.702396,0.152375,1.262929,1.370192,0.7027,-0.054291,1.277169,1.382048,0.865666,1.
57,0.926071,0.585831,0.102692,-0.137197,1.168756,0.819544,0.653462,0.237733,1.194278,0.835741,0.67001,0.40102,0.787369,0.635593,0.161312,-0.192527,1.104649,0.647407,0.409758,0.020842,1.126416,0.836338,0.421429,0.237614,0.798026,0.509876,0.047268,-0.245408,0.819403,0.343779,-0.186293,-0.45254,0.841124,0.532109,0.064327,-0.079004,3.
61,0.338089,0.367321,-0.618205,-0.348863,0.357618,0.033054,-0.366695,-0.712591,0.080742,0.223378,-0.592266,-0.705343,0.493309,0.066663,-0.558636,-0.562271,0.513703,0.254481,-0.308046,-0.767158,0.234834,0.093474,-0.534958,-0.758677,0.503487,0.159041,-0.193515,-0.666654,0.522946,0.343779,-0.186293,-0.662584,0.542653,0.006184,-0.175259,-0.656302,4.
65,0.779075,0.454725,-0.077532,-0.190113,1.095016,0.644768,0.173388,0.02655,1.120043,0.66078,0.189143,-0.178503,1.081428,0.504301,0.041321,-0.086885,1.400122,0.691066,0.290124,-0.084225,0.829222,0.530453,0.301881,-0.077004,0.724391,0.509876,0.047268,-0.192752,1.11586,0.518855,-0.186293,-0.189986,1.139596,0.707417,0.303913,0.025959,3.
83,-0.911371,0.061407,-0.077532,0.021553,-0.674739,0.469993,0.413425,0.237733,-0.661615,0.485819,0.730119,0.242968,-1.197532,-0.020865,-0.198662,-0.086885,-0.668189,0.167164,0.050856,0.125908,-0.953942,0.180869,0.301881,-0.077004,-0.748307,-0.191794,-0.374101,-0.403375,-0.736996,0.343779,0.292626,0.020058,-0.725852,0.181492,0.064327,0.025959,1.
87,-0.102897,-0.375613,-1.218951,-1.036778,-0.674739,-0.666048,-1.926937,-1.610118,-0.661615,-0.957608,-1.914651,-1.390234,-0.168324,-0.370976,-1.33858,-1.090478,-0.446584,-0.662347,-1.743652,-1.502624,-0.433852,-0.824183,-1.909765,-1.492785,-0.232863,-0.542629,-1.156644,-0.666654,-0.218196,-0.356526,-1.14413,-0.872628,0.094945,-0.344432,-1.552876,-1.2336,7.
99,0.63208,0.585831,-0.137607,-0.348863,0.947536,0.819544,0.353416,-0.131838,1.194278,1.010702,0.67001,0.032233,1.669547,1.204523,0.701274,0.441321,1.400122,0.822041,0.94811,0.230975,1.126416,1.01113,0.959397,0.447359,1.387105,1.255401,1.371571,0.491773,1.412317,1.044084,0.831409,0.492656,1.438068,1.058033,0.842981,0.288368,3.
108,-0.396887,-0.637825,-1.519325,-1.354278,-0.084821,-0.622354,-1.506872,-1.34614,-0.364672,-0.432726,-1.493892,-1.33755,-0.09481,-0.370976,-1.458571,-1.24894,-0.077243,-0.531371,-1.444568,-1.239957,-0.06236,-0.343506,-1.431571,-1.230603,-0.159228,-0.367211,-1.337231,-1.0879,-0.144082,-0.356526,-1.084265,-1.082671,-0.128909,-0.344432,-1.073705,-1.076155,7.
113,0.044099,0.017705,-0.618205,-0.507613,0.357618,0.207829,-0.84677,-0.501408,0.377685,0.048417,-0.8327,-0.494607,0.493309,0.635593,-0.07867,-0.350989,0.513703,0.472773,-0.068778,-0.346891,0.532028,0.268265,-0.295861,-0.548931,0.503487,0.509876,-0.193515,-0.245408,0.152375,0.168703,-0.186293,-0.45254,0.169563,0.181492,-0.474741,-0.656302,4.
114,0.338089,0.017705,-0.137607,-0.719279,0.947536,0.033054,-0.606733,-0.501408,0.674628,0.048417,-0.592266,-0.705343,0.493309,0.066663,-0.798618,-0.773554,0.513703,0.079847,-0.547313,-0.767158,0.532028,0.268265,-0.774055,-0.758677,0.135312,0.159041,-0.494492,-0.666654,0.152375,0.168703,-0.725076,-0.662584,0.542653,0.181492,-0.474741,-0.656302,4.
