task,kind,arm,serial,step,template,factor,parent_step,reason,researcher_sha256,constructor_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
2074,classification,fixed,1,1,base:linear,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,579b77d603eb057062f9060f3dc748afd7a7a18684ec04534b6ff5fe4062a3d9,cee7983f3d0ddd115d33a45f2830ad8b3d60bd191934fb2ad98a1d64046e661d,success,0,1.8310002000071108,0.1254982083253758,0.1492971890706744,0.8507028109293255
2074,classification,fixed,2,2,base:extra-trees,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,6fce8651c32d2e08ef7d8445a21e56779c259797196d57954fdb52bea4527cf7,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.11985889999778,0.0,0.1004437662593739,0.8995562337406261
2074,classification,fixed,3,3,base:rbf-1,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,ff807fd9156f3e478138f1d171b12f11c1f2780eae8edab634b2d9fdc4dd71ce,27d1a072e585c314d242425e3916152e1d5bc9acc0dda7b40e67395c1b8f1902,success,0,1.991768299980322,0.1045751686284708,0.1024084615757318,0.8975915384242682
2074,classification,fixed,4,4,base:hist-boost,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,9d3f0b709aea65036f6a10c656b8277a9cf294cf991d89c3bbd5dd4f042b8889,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,4.0816014999873005,0.0,0.0870692696441101,0.91293073035589
2074,classification,fixed,5,5,base:random-forest,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,39597a9e0839588f938a265428d341f515542c5d1cf56e683632298f8ef38463,0918ad65acc5281163c013cc98a4838d8a582c04ef2b144849472fa5bfbd8361,success,0,2.1647826000116765,0.0,0.1049913393474785,0.8950086606525215
2074,classification,fixed,6,6,base:rbf-10,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,3d4599d9c40f22277776637eaef796ada4bdc272451d512373c46d185551fd79,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.060295200004475,0.0653233426302776,0.0931401293665312,0.9068598706334688
2074,classification,fixed,7,7,base:neighbors-5,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,da5797c302130755c15b9000ce400985e7669b29028da9b2a303a5b658dd8c2a,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.8696823000209406,0.0,0.1135561722367265,0.8864438277632735
2074,classification,fixed,8,8,base:neighbors-25,1.0,0,broad conventional probe,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,3465a587fdb4dd0d16d324ea3edbe322361c853b662fd9dac9348c82d3baabd8,4e281f1bee2f157de5bffb1f9b2851a0e09daa407da8d0729ff89cf93592a3a4,success,0,1.8177140000043437,0.0,0.1316074014303825,0.8683925985696175
2074,classification,fixed,9,9,one:rbf-wide,1.0,0,fixed expanded portfolio,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,8218506acfa7d355fad44bc050a75219685b3c37e3f2a5d4737d0a10683d690b,4483f350c36b64578650a3863d4b22f0ccf2927693173891c0ad0b23fac2b8b6,success,0,1.9670969000144396,0.0987723629108042,0.0995638355415432,0.9004361644584568
2074,classification,fixed,10,10,one:boost-regularized,1.0,0,fixed expanded portfolio,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,9e19a1fdfc19e9512a202bd72b7d47f4e2d94a7053fb83c7cd562859b7386f56,6ceeb4f7f6fc9a64cfb8d82f39072b05ce61f4c8444c564334205159707c015d,success,0,5.11125039999024,0.0,0.0933279173319335,0.9066720826680664
2074,classification,fixed,11,11,two:unscaled-c100,1.0,0,fixed expanded portfolio,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,6838080678a80a2ea1bc4896eb3b724a631b9936ad753c39f282d930366f430f,b296353ce10763a623ad86312e44e8ce2adc55a63548f751df67d728de6370fc,success,0,1.7326358999998774,0.0227245316853906,0.0999207899393201,0.9000792100606798
2074,classification,fixed,12,12,two:native-category-boost,1.0,0,fixed expanded portfolio,ac4db7c48c95aa1bca6df50d06f4f1a9ad81a86d451c4f8106c584ba6510e69a,ce8abc13456aff0c784971692fe19a2ffe77e829fc4c5ab9deb5cd49debe60ee,c2a02b0649389e2c3c864b30adcd7eba9de4257de7dd9c24e3da25771148e433,success,0,3.527735500014387,0.0,0.1008838021219454,0.8991161978780545
