task,kind,arm,serial,step,template,factor,parent_step,reason,researcher_sha256,constructor_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
361241,regression,random,1,1,one:median-reference,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,ca8276d8dc581b300818742912499723e0f7f1764947239a21dcb66846871061,5b423e72c15fe5c9dbe23b38c83c76d857fdb46ca0953f179f4de6a6e3fe18f6,success,0,1.8008744000107981,1.0,1.0108825923912153,5.2336475
361241,regression,random,2,2,base:linear,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,12d4d2fec8cef03a4aeff3c03d077e62bc4bd811d7a54ba902e4a29da74d5006,cee7983f3d0ddd115d33a45f2830ad8b3d60bd191934fb2ad98a1d64046e661d,success,0,1.7498114999907557,0.8303542628502073,0.8267237964922551,4.2802012451983344
361241,regression,random,3,3,base:random-forest,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,8560c7b0ea1d7e6833e96a69b347930564774d563705f3e1d0735ee33d7b39f1,0918ad65acc5281163c013cc98a4838d8a582c04ef2b144849472fa5bfbd8361,success,0,4.328417499986244,0.230453308144964,0.6779675504412005,3.510044788736979
361241,regression,random,4,4,base:rbf-1,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,2bb9681d47462e26d216bb39620d5cd7cd475eca53c7a0da2acce22e54040df7,27d1a072e585c314d242425e3916152e1d5bc9acc0dda7b40e67395c1b8f1902,success,0,1.951316399994539,0.6822137118914925,0.7301502132472438,3.780210349796021
361241,regression,random,5,5,base:extra-trees,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,d4d8595fef4eb391c3b7870041ed575102dc7d1c8653b5df016b04c0f99258fe,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.4741575999942143,0.0020609982735565,0.6561164987367342,3.3969152294921874
361241,regression,random,6,6,base:hist-boost,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,7cddceb64797263e4de8248eef7ee1fc37755a65e467a3ce61b5f7a2eada8022,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,2.0516292999964207,0.2571519248590468,0.6858399987836238,3.5508028549024493
361241,regression,random,7,7,base:rbf-10,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,14d57ac255af639481b66bdc8001ed9db5fe4f5c58eca72c7dbc5ab1a3286aa4,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.2698875999776646,0.6063350597987023,0.7079006305998394,3.665017474307701
361241,regression,random,8,8,base:neighbors-5,1.0,0,broad conventional probe,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,b2b7a8f1a22dc160c0fb44c4ecafad94c731d1a6ea86a9ab29e5926b6a1e86f9,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.747194399998989,0.0020609982735548,0.6504648340853805,3.3676548378344107
361241,regression,random,9,9,base:neighbors-25,0.19816979,0,seeded full-space random search,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,40576618ac4bd657ac3d0b21e9c29fb6e1af64b1a825f6c4d4c53d4537f5aca1,365ce8d5f746a32ee49b84c453f0759eece5f451b794e0be6312f700fbd20208,success,0,1.8621531000244431,0.0020609982735548,0.812084477411395,4.204409025324402
361241,regression,random,10,10,base:extra-trees,0.14230284,0,seeded full-space random search,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,69bab45606705e57ff0022ecf546676c51c46cdd42c4f44b2b6bd9c6048c388d,a9c4df29a0033a9effcfd69a4608ba3dff84c34d268c2c4f4f62c1b39d1b31ae,success,0,1.9150147000036668,0.9667890457592884,0.9619177711844356,4.980141686342034
361241,regression,random,11,11,base:linear,0.40581758,0,seeded full-space random search,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,4ed62f581cd96b9318be691527df73ccfbea4f49a06d5b801e40449bd99e7fb8,439d60ec079c1d4425d77e043e8d4042070950f1f153462d99abd24774a4293b,success,0,1.7964245000039227,0.8315111569939299,0.826968349897473,4.2814673727659365
361241,regression,random,12,12,two:log-boost,0.11000182,0,seeded full-space random search,8f055b1b81c4a38dc0a8dea028692af7c1e0f030c4951fa619cbb41959dc1f21,4cd508724842cc4f392d5eee28369473e915085abfb6afd0cae97170cccdbb19,78c22fdd824005a48d5bd9a9b473647e423cc0de263a47d658d1d73556e579e0,success,0,1.8876027999795042,0.5414699840589524,0.7352703309864753,3.806718760967933
