task,kind,arm,serial,step,template,factor,parent_step,reason,researcher_sha256,constructor_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
45,classification,parent,1,1,base:linear,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,9639c77b35208bcae587d03d151857f3fc440301815a59ca9c61957eb590fbb8,cee7983f3d0ddd115d33a45f2830ad8b3d60bd191934fb2ad98a1d64046e661d,success,0,2.370829599996796,0.0027890939105891,0.0640608824522978,0.9359391175477022
45,classification,parent,2,2,base:extra-trees,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,def9d0608cd5992c6f93b238d1e717600c86324b05d7dc11bdded4b32124de92,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.7682707000058144,0.0,0.0524231886190024,0.9475768113809976
45,classification,parent,3,3,base:rbf-1,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,982ec9bd1c3db45134c6cbca44d084ba404c8e682bbed23015c2ceabf33f7c4e,27d1a072e585c314d242425e3916152e1d5bc9acc0dda7b40e67395c1b8f1902,success,0,3.637674400000833,0.0031903375329888,0.035253277321913,0.9647467226780868
45,classification,parent,4,4,base:hist-boost,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,8e047f9a8907614abb82fbd98f874a53a00e0dbe32d5846e9e318f17bbb98633,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,13.213088199991034,0.0,0.0475313838307888,0.9524686161692112
45,classification,parent,5,5,base:random-forest,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,bdd84b43311c6cdb55010f05e1761753551b14516f2b1061f1fd0abe5b62cace,0918ad65acc5281163c013cc98a4838d8a582c04ef2b144849472fa5bfbd8361,success,0,2.078464999998687,0.0,0.0467215202632753,0.9532784797367246
45,classification,parent,6,6,base:rbf-10,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,93afdec8f81f08e32aacfcf567ef7e6bd922272ab611a645a16ec0237ec27223,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.326547800010303,0.0,0.0324908463826866,0.9675091536173134
45,classification,parent,7,7,base:neighbors-5,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,d6c2534d2eb029d84d5a64ec035726670fd96dbb7f7d2d030d00c3bc2e726922,c46021861851ef435427b9f0d4ad8644c28fd08fbc487b79e306da2db4e555cb,success,0,1.8736215000099037,0.0,0.2139122042782263,0.7860877957217737
45,classification,parent,8,8,base:neighbors-25,1.0,0,broad conventional probe,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,a844da3260d97ef4e643a4a1b7091d9be7ff561a5ae6ec9f62f7cf50e75c9f83,4e281f1bee2f157de5bffb1f9b2851a0e09daa407da8d0729ff89cf93592a3a4,success,0,1.9661963999969885,0.0,0.131736285919775,0.868263714080225
45,classification,parent,9,9,base:rbf-10,0.5,6,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,725935e2e8f875cfdd7c24a3e3a3ddde44620eba56c5e2247f929c64e365a184,cba072beeebd4b7c7681c24f493a0768bcef1739bca5dd0c7c8c5c8b8d21c17b,success,0,2.2945909000118263,0.0,0.0324908463826866,0.9675091536173134
45,classification,parent,11,10,base:rbf-10,2.0,6,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,3c92d8d0e7900e5a803b7791a884b66d2ce348414e198d614402ae172fec15fc,1c2cc34aae8efb982e0d54d04b34525cea6aec5193c601d09ccf4914697636b2,success,0,2.276538399979472,0.0,0.0324908463826866,0.9675091536173134
45,classification,parent,12,11,base:rbf-10,0.25,6,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,f1fade9b9d9a21fd6c6b59a6bf34e63c2abab27c2d2f8c1f9b02985d3bc56a66,d06130fdcadd7251bd066ee2be9b579d85727ba5c85841a4412f188629eb1d0b,success,0,2.319344799994724,0.0,0.0322491336755041,0.9677508663244958
45,classification,parent,14,12,base:rbf-10,0.1875,11,refine current best checked model,e4a64b3a0fc7864bcb512185c4a1ccf81e27e29fd7afc4fc7ff7f526cf57d7d2,096c642fd47546380460c254e4f976fac50f51c195655f8a854aa2dde6d74ca3,3d006ab09ccc3fcd337ae46de3516ace05457f7dc1be4e4fb4a6d51dfb755564,success,0,2.2633601000125054,0.0014045317783635,0.0331699439885797,0.9668300560114202
