row_id,frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
0,800.0,0.0,0.3048,71.3,0.00266337,126.201
5,2500.0,0.0,0.3048,71.3,0.00266337,125.571
7,4000.0,0.0,0.3048,71.3,0.00266337,123.061
9,6300.0,0.0,0.3048,71.3,0.00266337,119.541
17,1000.0,0.0,0.3048,55.5,0.00283081,126.966
18,1250.0,0.0,0.3048,55.5,0.00283081,126.086
22,3150.0,0.0,0.3048,55.5,0.00283081,123.236
23,4000.0,0.0,0.3048,55.5,0.00283081,121.106
35,800.0,0.0,0.3048,39.6,0.00310138,129.099
50,315.0,0.0,0.3048,31.7,0.00331266,122.765
54,800.0,0.0,0.3048,31.7,0.00331266,129.235
55,1000.0,0.0,0.3048,31.7,0.00331266,127.365
70,2000.0,1.5,0.3048,71.3,0.00336729,126.642
74,5000.0,1.5,0.3048,71.3,0.00336729,119.632
75,6300.0,1.5,0.3048,71.3,0.00336729,118.122
77,10000.0,1.5,0.3048,71.3,0.00336729,113.492
88,2000.0,1.5,0.3048,39.6,0.00392107,122.101
99,630.0,3.0,0.3048,71.3,0.00425727,129.354
105,2500.0,3.0,0.3048,71.3,0.00425727,124.024
106,3150.0,3.0,0.3048,71.3,0.00425727,121.514
109,6300.0,3.0,0.3048,71.3,0.00425727,116.134
116,1000.0,3.0,0.3048,55.5,0.00452492,129.329
120,2500.0,3.0,0.3048,55.5,0.00452492,122.439
121,3150.0,3.0,0.3048,55.5,0.00452492,120.189
127,315.0,3.0,0.3048,39.6,0.00495741,123.312
139,5000.0,3.0,0.3048,39.6,0.00495741,115.792
142,315.0,3.0,0.3048,31.7,0.00529514,123.118
144,500.0,3.0,0.3048,31.7,0.00529514,127.548
145,630.0,3.0,0.3048,31.7,0.00529514,128.698
153,4000.0,3.0,0.3048,31.7,0.00529514,115.608
155,6300.0,3.0,0.3048,31.7,0.00529514,109.718
163,1250.0,4.0,0.3048,71.3,0.00497773,129.395
164,1600.0,4.0,0.3048,71.3,0.00497773,126.645
165,2000.0,4.0,0.3048,71.3,0.00497773,124.395
167,3150.0,4.0,0.3048,71.3,0.00497773,121.775
172,10000.0,4.0,0.3048,71.3,0.00497773,110.905
173,12500.0,4.0,0.3048,71.3,0.00497773,107.405
176,400.0,4.0,0.3048,39.6,0.00579636,128.633
178,630.0,4.0,0.3048,39.6,0.00579636,131.073
188,1250.0,0.0,0.2286,71.3,0.00214345,128.144
194,5000.0,0.0,0.2286,71.3,0.00214345,124.304
196,8000.0,0.0,0.2286,71.3,0.00214345,118.024
210,2500.0,0.0,0.2286,55.5,0.00229336,126.54
228,6300.0,0.0,0.2286,39.6,0.00253511,117.465
230,400.0,0.0,0.2286,31.7,0.0027238,123.635
236,1600.0,0.0,0.2286,31.7,0.0027238,125.625
237,2000.0,0.0,0.2286,31.7,0.0027238,123.455
239,3150.0,0.0,0.2286,31.7,0.0027238,123.445
254,5000.0,2.0,0.2286,71.3,0.00293031,122.816
263,1250.0,2.0,0.2286,55.5,0.00313525,128.762
264,1600.0,2.0,0.2286,55.5,0.00313525,126.752
269,5000.0,2.0,0.2286,55.5,0.00313525,120.472
271,315.0,2.0,0.2286,39.6,0.00346574,120.137
277,1250.0,2.0,0.2286,39.6,0.00346574,128.257
285,315.0,2.0,0.2286,31.7,0.00372371,120.147
286,400.0,2.0,0.2286,31.7,0.00372371,123.417
287,500.0,2.0,0.2286,31.7,0.00372371,126.677
290,1000.0,2.0,0.2286,31.7,0.00372371,130.307
291,1250.0,2.0,0.2286,31.7,0.00372371,128.677
295,3150.0,2.0,0.2286,31.7,0.00372371,121.527
296,4000.0,2.0,0.2286,31.7,0.00372371,120.527
300,630.0,4.0,0.2286,71.3,0.00400603,129.038
304,1600.0,4.0,0.2286,71.3,0.00400603,129.468
317,500.0,4.0,0.2286,55.5,0.0042862,127.314
324,2500.0,4.0,0.2286,55.5,0.0042862,122.384
331,400.0,4.0,0.2286,39.6,0.00473801,123.879
334,800.0,4.0,0.2286,39.6,0.00473801,130.469
338,2000.0,4.0,0.2286,39.6,0.00473801,121.659
341,4000.0,4.0,0.2286,39.6,0.00473801,119.159
343,6300.0,4.0,0.2286,39.6,0.00473801,114.249
345,250.0,4.0,0.2286,31.7,0.00509068,120.189
346,315.0,4.0,0.2286,31.7,0.00509068,123.609
349,630.0,4.0,0.2286,31.7,0.00509068,130.349
350,800.0,4.0,0.2286,31.7,0.00509068,130.869
352,1250.0,4.0,0.2286,31.7,0.00509068,128.119
357,4000.0,4.0,0.2286,31.7,0.00509068,118.859
366,1600.0,5.3,0.2286,71.3,0.0051942,130.46
387,4000.0,5.3,0.2286,39.6,0.00614329,115.801
393,400.0,7.3,0.2286,71.3,0.0104404,139.438
396,800.0,7.3,0.2286,71.3,0.0104404,130.748
404,5000.0,7.3,0.2286,71.3,0.0104404,115.298
405,6300.0,7.3,0.2286,71.3,0.0104404,115.818
409,400.0,7.3,0.2286,55.5,0.0111706,135.924
411,630.0,7.3,0.2286,55.5,0.0111706,130.934
414,1250.0,7.3,0.2286,55.5,0.0111706,125.724
417,2500.0,7.3,0.2286,55.5,0.0111706,118.994
418,3150.0,7.3,0.2286,55.5,0.0111706,117.134
421,6300.0,7.3,0.2286,55.5,0.0111706,111.534
426,500.0,7.3,0.2286,39.6,0.0123481,130.299
427,630.0,7.3,0.2286,39.6,0.0123481,128.929
428,800.0,7.3,0.2286,39.6,0.0123481,126.299
436,5000.0,7.3,0.2286,39.6,0.0123481,111.959
443,630.0,7.3,0.2286,31.7,0.0132672,126.189
448,2000.0,7.3,0.2286,31.7,0.0132672,115.309
455,1000.0,0.0,0.1524,71.3,0.0015988,127.307
485,630.0,0.0,0.1524,39.6,0.00193287,124.403
487,1000.0,0.0,0.1524,39.6,0.00193287,130.033
499,630.0,0.0,0.1524,31.7,0.00209405,125.997
501,1000.0,0.0,0.1524,31.7,0.00209405,130.987
506,3150.0,0.0,0.1524,31.7,0.00209405,124.207
507,4000.0,0.0,0.1524,31.7,0.00209405,123.807
508,5000.0,0.0,0.1524,31.7,0.00209405,122.397
509,6300.0,0.0,0.1524,31.7,0.00209405,119.737
514,1250.0,2.7,0.1524,71.3,0.00243851,130.144
515,1600.0,2.7,0.1524,71.3,0.00243851,130.644
517,2500.0,2.7,0.1524,71.3,0.00243851,128.334
524,12500.0,2.7,0.1524,71.3,0.00243851,113.034
528,800.0,2.7,0.1524,39.6,0.00294804,128.829
534,3150.0,2.7,0.1524,39.6,0.00294804,122.919
535,4000.0,2.7,0.1524,39.6,0.00294804,121.889
536,5000.0,2.7,0.1524,39.6,0.00294804,121.499
539,10000.0,2.7,0.1524,39.6,0.00294804,112.589
541,400.0,5.4,0.1524,71.3,0.00401199,124.121
542,500.0,5.4,0.1524,71.3,0.00401199,126.291
546,1250.0,5.4,0.1524,71.3,0.00401199,134.111
