column,role,kind,categories
lever_position,feature,numeric,
ship_speed,feature,numeric,
gas_turbine_shaft_torque,feature,numeric,
gas_turbine_rate_of_revolutions,feature,numeric,
gas_generator_rate_of_revolutions,feature,numeric,
starboard_propeller_torque,feature,numeric,
port_propeller_torque,feature,numeric,
hp_turbine_exit_temperature,feature,numeric,
gt_compressor_outlet_air_temperature,feature,numeric,
hp_turbine_exit_pressure,feature,numeric,
gt_compressor_outlet_air_pressure,feature,numeric,
gas_turbine_exhaust_gas_pressure,feature,numeric,
turbine_injecton_control,feature,numeric,
fuel_flow,feature,numeric,
gt_compressor_decay_state_coefficient,target,numeric,
