node,parent,status,loss,seconds,score,metric,fit_seconds,predict_seconds,policy_seconds,proposal_seconds,candidate_sha256
node-001,root,ok,0.1372984775051391,1.736389199999394,0.23230264850840093,MAE,0.004316399979870766,0.001032100000884384,1.2999807950109243e-06,0.006005300005199388,759fdbb2c617374b8e427d688c0641e4bf8becda9e43ddca0a674379a47f9983
node-002,root,ok,0.20657348690543095,1.8127853000187315,0.3495127476409992,MAE,0.07298680001986213,0.008632399985799566,6.999995093792677e-06,0.012126199988415465,c141ee37cbec6840f45bf218d1c84c0871c3b01e0635e737fbda0becaab11156
node-003,root,ok,0.22710111515983827,1.975987099984195,0.3842445414507027,MAE,0.18754529999569058,0.008581600006436929,6.100017344579101e-06,0.011149500001920387,d66d66de80038ef0887a905d84fb357ae66dcabc6f8ddea49fef5eba34cbe952
node-004,node-001,ok,0.14034420513688023,1.7449405000079423,0.23745587823348802,MAE,0.004726799990748987,0.0012042000016663224,2.549999044276774e-05,0.016954699996858835,2b6378de3425f89e02e0eeddfaaa06b4404a1a0d600561163bdded7cc21599c2
node-005,node-002,ok,0.21774259074366464,1.9808258999837562,0.3684103526999476,MAE,0.23313060001237318,0.009276800003135577,2.2599997464567423e-05,0.01840610001818277,a135d942365a4ad09619ab7b28946ff91a07d8c18ff2861e6ac243ff1681ffe3
node-006,node-003,ok,0.25050629315707384,2.4738800000050105,0.42384501580676287,MAE,0.7139551999862306,0.009484900016104802,1.990000600926578e-05,0.015121700009331107,5222c70c49530b43f8e6e18cee2e6178cb0d28419e7f559e65c40a7a28c4f9f5
node-007,node-004,ok,0.14031123976382773,1.7238853999879211,0.2374001023530244,MAE,0.005131399986566976,0.0011634000111371279,1.930000144056976e-05,0.014844999997876585,d5a3a74185ea15928cf52cbbce78aac6cca8b260d9da6d561dc8e75db0dd0f2d
node-008,node-005,ok,0.22618197678227767,2.220571399986511,0.3826894019958966,MAE,0.4757296000025235,0.014793299982557073,2.13000166695565e-05,0.016206300002522767,c9a12fa0b1f61d0fd4711fa2d61c61e3c32346f85eed9b9e93c53d79e785b743
node-009,node-006,ok,0.25259711295892645,2.0741205999802332,0.4273825858246532,MAE,0.3388201000052504,0.0081812999851536,2.720000338740647e-05,0.015938299999106675,25b6c02536b08aac1d891d8e88d15193cd94f6525c7091630cf5132736fc6b32
node-010,node-007,ok,0.14105670629543163,1.7435541000158992,0.23866139710889286,MAE,0.005107900011353195,0.0011928000021725893,1.5199999324977398e-05,0.021608499984722584,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d
node-011,node-008,ok,0.22584229536902728,2.321396300016204,0.38211467681772276,MAE,0.5621219000022393,0.016010899998946115,2.6699999580159783e-05,0.015376600000308827,7a6e8e6cf4dd71db32f6104708ef8e1dcd325d2ec37ea58eb36630725a52546b
node-012,node-009,ok,0.24418792952628543,2.225980100018205,0.41315463793555623,MAE,0.40684010001132265,0.007431300007738173,2.7400004910305142e-05,0.019022599997697398,3fca5ad4606a7d4b8ca9506d76400e645b32cfaf5c458c79460fc3326d66af06
