attempt,task,kind,candidate
1,3,classification,linear
2,3,classification,extra-trees
3,3,classification,hist-boost
4,3,classification,random-forest
5,3,classification,rbf-1
6,3,classification,rbf-10
7,3,classification,neighbors-5
8,3,classification,neighbors-25
9,16,classification,linear
10,16,classification,extra-trees
11,16,classification,hist-boost
12,16,classification,random-forest
13,16,classification,rbf-1
14,16,classification,rbf-10
15,16,classification,neighbors-5
16,16,classification,neighbors-25
17,28,classification,linear
18,28,classification,extra-trees
19,28,classification,hist-boost
20,28,classification,random-forest
21,28,classification,rbf-1
22,28,classification,rbf-10
23,28,classification,neighbors-5
24,28,classification,neighbors-25
25,361234,regression,linear
26,361234,regression,extra-trees
27,361234,regression,hist-boost
28,361234,regression,random-forest
29,361234,regression,rbf-1
30,361234,regression,rbf-10
31,361234,regression,neighbors-5
32,361234,regression,neighbors-25
33,361236,regression,linear
34,361236,regression,extra-trees
35,361236,regression,hist-boost
36,361236,regression,random-forest
37,361236,regression,rbf-1
38,361236,regression,rbf-10
39,361236,regression,neighbors-5
40,361236,regression,neighbors-25
41,361244,regression,linear
42,361244,regression,extra-trees
43,361244,regression,hist-boost
44,361244,regression,random-forest
45,361244,regression,rbf-1
46,361244,regression,rbf-10
47,361244,regression,neighbors-5
48,361244,regression,neighbors-25
