row_id,group,split,included
0,2edfaa941f3c0b78ae472687d4d3e14454b7d310ccabbe35bae6a8d076d73eb2,train,True
1,a249273c918dd89a4b1ab133f81a79f3cca016d49e51d5a210a0d8e82ace4949,train,True
2,e058e57059c597ed9a81c82364ce860caa3e63709ecf74d4398aab6233f84701,train,True
3,e66a70764e802885613eb9f9ba5032b2a51cc8c4a07cae2b49f695da6d1b304f,final,True
4,cf204c92f9221ce46ba42a8017d376182fe1faa10c796cb2f4c030992c47b27a,selection,True
5,633d4c04ae26dbe01b08fbb6758dd5090db63bd9170aefa1dcc239ef94c97e96,train,True
6,17ace95692182b2f01b6f57abced7eb2345f918d4707893b9341e7050376e3d8,train,True
7,1cf808a6a047a4a9eef1f1dc2606f1b22e6b26513a0564900ceffc74affbec42,train,True
8,51b1a6465d3c6d16288d24c453e13880bfb4874dd051a37ecf7ba81b4a9c6513,final,True
9,96a787c31fddc621b50ebfd2b4286c3a793091982b21390728c773a2181ef64b,train,True
10,cc70f4206853ba6936cc672343091ea9d1d240b3c42b9ba95837d1cb8f176e9a,train,True
11,e6d8369ee90580c2b7fb8ecd34c786c78a7ebfe8cc50a6758b706291e10a4333,train,True
12,67b4a8cbe2b41084076d32b9338f232d06d791296be247c32311a04f168634b6,train,True
13,5a348d885312129adfd67f91128a40ee58830e04f0a659b575304626dbe2bd57,train,True
14,9b72ba8d5d6e0ad7fea279dad8555d379be02efe4e2c809f0e9a56955439a5b1,train,True
15,b2250c7c42874a599c861aebb8557c254012fa491009ac9758e5918e4e6786dd,final,True
16,04f2298ddebd53f8ef6897ecf8a49fee89721a7794d27b4348acd70fa507dfdf,final,True
17,a4003b1825711d2cc7bfb551f292321541431d927cb218af45c20969b2f812ca,final,True
18,02fd569f3459957e1560e41968b182f07ede4f6a511a26d7e77ed6cc2f2f3a93,final,True
19,e41e9d8624f02035e268f1bd0e8f80d6cd6275145e98d93493a6d2acdd89d59a,selection,True
20,97e644a60c7d34d3a850d44075550f925764948452b11d111959e281bd4b4a96,train,True
21,d5a0410fe318e17f0e796e6ff0a4b021da2c8e632efdffbcc507ada78609f7be,train,True
22,2b84ad4648eccfb71c39d661a26ebe4a36e49cf7fd7aca7f572d587a1a91defc,train,True
23,ec880838de3bab2d61404e97839cc0e90b308dc03aedfc04695ee5e17a814895,train,True
24,47d39c2fbae4071732e717ed83e9fb847f2979ead4222af36d8b426bce98e987,selection,False
25,e4244151a74d345452e7278a7355c78c8b632db3f6c3f6e146ce09b888b6fe3e,train,True
26,f1df02c2b9366b0f7b713d49e301b28beecfa6abd8c6962144e8c6cf99ac3efa,selection,True
27,5530bbe4c728ceca604901b62cd8a0670fd322cce1072478a2170da349834283,selection,True
28,5330e99cf0eb77558d7d41deed7b0e7c342d9a28a7d20a1315459cd3aa8c0925,train,True
29,ad034fe38b422a354a4bca71c92003715056a43b0462b29776ee33381f53d6c4,train,True
