group,size,salted,bucket,split,included
0000c6a58374bb91db26d9deb5621c90f7511451f64d99fce53dbbc52c267d51,1,c07aef55f63359b5ac1eaeac1fd23c7f455f6491580ed5f0ce6ce5236ba6789e,4,train,False
0005bc2bfe4e33352bba364bb3f783f6e716d4ad01591e453cf7ccb834446bb9,1,5c0623524e161d82290cd78c91510c290613301bedaf782da549fa429718614f,3,train,False
0008c16a5a38c9f390b7152a938ce00142a65f4a8d4cb973389876a1d8e68729,1,d942e472e68c275a5fa08f5caca36a4499e5ab03aab7a861d8f02cd57b96eb1e,8,final,False
0009f6123b9f1f4adb1fff3e699e98717bfc5757a931ce7dc8b765302027ef1f,1,b2505efb13a4505d15714f191e4b164d881030ea4556ffc0a329801262aea341,7,selection,False
000a283728c9b6204bcea10becc6577ad6dc499fb219b40b8dcdf082e12c9184,1,3cfb7f462dd12a62c967a4d4d5e7bb66198ef0be3b6c90649316cf9b2ec375d0,0,train,False
0015972e5c7ec808c495e2a1ac2838db4f2e3de1db14c5e4d96bef1b1e106e90,1,13f256819908ca754b9e25b33994b6aff46e6019fde6abc4c2071d97bc3a4766,2,train,True
0019523e1b23e6482479afa09883db145fb5518f155ecb947d598bc15fb78546,1,1ad90fd92bb734d2b8d5c21005acd4562241ba112da1c3062cdf697d71ed5dfe,8,final,True
001eec1917426a6539182c65d4bdddf808cb840b11aaf188164f7747bee0ea4f,1,cc6aea648fe23db672eac36bb61fd5ab4109ede2916bb59b6d10c87aab769257,7,selection,False
0024d91ced1216a0d3001d0e451516516598f0ff3f97a41d85fa4c6cae2ec11d,1,88b3557bf5838e504fecfe0b074e72cfd765d95b5655e0c8a842b36e2b99f983,5,train,False
0025c1337682f9c4f155b847f1c29dd3acee7023f205bf0d4884549d03c38d47,1,1b9cfdc586e164229ea08d27bac627bfdcca0cc795783aa2a00167413fcfb04c,6,selection,True
002ac096ec6e9f4ef268d864bfcb77116d4e5f219908cb485025961400e90f65,1,61105e98472b1bdf9634c1108fd8b848b398db5c5bafaa710f28a2398308966e,8,final,False
0032510e6695a4fd83be6d9af9853c8a987da66e18dda37e4a96c3b2a08e5733,1,b66b76b79a8c5fff107c7659ee1b9bc5be180822300d2dc23607b2cb2e7a7936,4,train,False
0036c5f7d47a2eb24861351729c7fc1dfff4308e6040f6903990ba909ff4d51a,1,b2884f10ed10f301826725fc6e8bbd67cd13a14fac670feabc901a5a0e7a26aa,4,train,False
00377fc63ae7648216d0d59b3893e314079a5a8cdd9a2509b3822a34685e6603,1,81d2d1faa81d3fb696a374a879b77a152a813a1627f88384ec46a9f15b78c599,7,selection,False
0039a05d17b6de78ea10f86b2d4fe2fdcf3f6b0a1de9bfa12a3bc9c784c16fd1,1,6eda318a408f5614d8f79d0f95eead8c33bc6abfd43a0bed34e83318e3de6ffb,7,selection,False
003ad0e391febb26788a7dee5cf29fbf7134a055e3f556cca03afb1d5b213ce9,1,3d7a961818afa7342f4905c6903c56623f5c0276a5c1f06e51301c45cff2f1d1,9,final,False
00409c065f421a64bbf8c5e49e0bb1e2b40799ae3eec8d51695ec8447cbe310b,1,920b76a5d9490f55be06b70bd3e7f74fa11bad1c1e811bbf9ae7046de49afa27,3,train,False
0040bbf0fd593ff371c6140d38f328518547e87221d5d9ce6ff165fc2aea132c,1,bb2fb3f17f22796ab38a0d4a0544eefba9a3e122675d13f71b49b1cef70f9789,9,final,False
00468d42ce5ca7610063af004741050667e94b6535355d074cfa97e7de693b79,1,84cce59e1272ae4c6ec490d860190ef59a92ce5a158162dce9c58fd24426afb5,5,train,False
00475d564b0a7fa4590343e1f01e55a5c1bd3c8d21a7773c5cb478b33d6d5c8b,1,c1f7bf303329ebdc9594b2a2872461e0d3fce2a591fcef806cd47ca3f8bf947b,5,train,False
00483761d64719ac59a94893f32df2a024b3cac57749e242fccd766d60485618,1,52a2818f02e647592d9c92614d21d59847deda8a84564f579667ab0792c31087,3,train,False
0048752f8819d56ad3802a46cb0b10f4f8f6f1a6999cb6c11e9b83270fb3a492,1,146928029f07eb23b774690225fd93e4055de459d07aff88f30e60e214c84f2b,1,train,True
004e420c9386f36fd1f9e6bb0f9500e3312d85356823a187ef4a1104582a1e4e,3,7167e63581362ff1402d27790cc100a5d2706dbc752677f390235ac8b8312af7,1,train,False
00587e86bc62273baf7c81b40c8ba370dc1f0f2ae6e8a2a3b80f7dea39c0e73c,1,7f0cb2a8812c51426940c0adf5b5da9498b79b6fb972c5bdb4b78082f6a17ab6,4,train,False
00591ed65cf10e5051c61838b1195debf637248f1c6765abf13f57b8c32a1598,1,40ffc695b6ff5795d739f60fae50cbbd587eaca365aa680dbf5458eaa8f9976b,7,selection,False
005b879f0aebff63b2500d2f70783d88cfe81d018c7214430acd25ba9cc10350,1,c2611a774ee9028defd634ad912741ad9f70e809519a666f59fceb8cb3d15e85,1,train,False
005c124ec753b74acf4c9bbbea40f44e4bc314d3dad1288ddf42c187d29ab3c7,1,546210c1fb470d19aa629291b2fa433e45ef4c144a41cecfa323331855ac483e,2,train,False
00641112edc842686abec8ca57bb276b9df35dc2cf05ec7a12efaa11487aca78,1,dc5751fe1b7b2ac08ab5d8686128846244ce20ad9ca14ff2d18adb44a591048a,0,train,False
00643b7ae4fd09200bb4f69b4013ef5ae9b77954fa7ea868464266f8f7ce5803,1,25e54398c56c1e7f7bb716b7bba7d8f7e4488618aa6710a1ea87cea3729789d0,6,selection,True
0066dd6c7bded45abbec6df743cb6900c5c92eabcb4a8459bea8035ed37ac089,1,67736f94fcac9505c71981932d78b60f4c94e9091ede28d7005a957d9d8c2a60,4,train,False
006cb1e3f82778f4b096827df171ce90cd7ea19c22a5babbccc84576882d0328,1,b63e25ab18650a479f77a8a09bcf2ca9492dc53c9aed401c76ee2838b0494774,0,train,False
006cdb3731f7b28650333b6667a4892693930ec550f3e1f5643e768cc44601bc,1,0344244ae58c2053bd31606811515974ad9cee5c8ddfe64b2c1ca52da68d9518,6,selection,True
0074dfaa83af7bc933f9da71ea52d004d3e591028d256f51470ca496d5f14adc,1,7f99948da1b2f3d0eb2e4f7ef6761230a8e660c4de35389e6eddbac01c75f832,6,selection,False
007b2a05d0430b8d8f97d03c5c587208fcaaf4ec793e93892c6ce89b6a2c2c0f,1,c7d1e0db7337d4b056b83e2c11048041e5d946a0f2bdaf4ecedfd47392a6d138,2,train,False
00800480347b17961bdeacbd1532436ef8df7adf63cbf2ccb990852e61b7aa72,1,d5b91a54ebe3ff68082323e555bc8611b4b37d088ae03b26fe462cccc6328a7e,0,train,False
