row_id,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,class
0,-10.29700756,-11.66678905,11.56066895,-2.08131576,4.0446558,4.08681488,-2.55807209,-8.47693539,2.13813472,3.50308204,-0.06407356,0.98330212,2.0013442,1.47868252,-0.40292072,1.60976803,-2.62792277,2.74171543,-2.28338909,1.23970795,-1.82724667,-1.58161497,2.02786493,-0.39405203,-1.44615936,-0.60383409,2.47522449,-1.09659052,1.31142235,-0.34620619,-0.82216394,-1.01209509,1.62056935,0.26289278,0.45735151,1.36522615,-1.1214447,-0.0711748,-0.91487825,-1.44009924,-2.19252634,0.83010828,0.45290488,1.08559155,1.96038878,-0.87715614,0.37765139,-0.30798841,-0.01794434,0.44264925,0.62042207,-1.13598573,0.08879852,0.18696856,1.0780828,0.92192733,0.49638724,-0.64366663,0.28410369,0.28655457,0.34862512,1.81469083,-1.35135269,-0.47391036,1
3,-6.65037489,-7.04385138,4.10435009,-2.34278035,3.49465847,3.92482209,-9.87481213,-6.55657578,-1.36426878,1.15330791,-0.52579093,1.30655193,3.48946643,3.98759222,-1.35632849,-0.8575263,1.18055677,-4.40637112,-1.76198769,2.74206448,-1.6013062,0.72142315,2.888973,-0.98409808,-0.90093124,0.28038907,0.00023922,-2.23101187,-1.07799864,-1.4996264,-2.01117992,0.74187589,-0.30311966,0.1497131,0.07259911,-2.51524448,0.59398389,-1.34273124,0.45423162,-0.98987669,0.38891983,-0.53934062,0.83394969,-0.29263312,0.00102115,0.54033875,0.85815847,-0.72720027,1.44151688,-0.13320547,-1.07208598,-1.57570672,0.2761116,-0.55331683,-0.96123606,-1.04381537,-0.20450807,-1.98115003,0.98243803,-0.14423257,-1.44932783,-0.91355228,-0.77173537,0.30499166,1
4,-10.66452408,-10.97413254,0.19439051,0.45388469,2.19308758,-3.30466342,-8.37659168,-4.24114609,2.96481824,-0.94962198,-1.49319553,-1.32538962,1.72949123,-0.63802475,-1.78516102,1.26610661,0.6836319,3.10604882,0.81261969,1.70978236,1.84516191,-2.60205603,-0.00562409,-0.14986587,0.54909253,-1.27237809,1.98250115,1.10676837,0.18394923,0.06128049,0.40201354,0.81485009,-3.79640913,-1.31794524,-1.21073055,-1.22360432,-1.28110492,0.35282964,0.26476979,-1.29544103,-1.48274112,-0.56818974,0.8873378,2.18046236,2.43958783,1.22839928,-2.08400083,0.31535935,-0.87788588,0.84851408,-0.65470469,-0.40614486,-0.33539081,-0.72284675,0.15295726,1.44816041,-1.25490713,-3.48129487,-0.56388867,1.52933514,0.5103994,0.29831785,-0.94321269,1.14984739,1
10,-9.98093224,-9.44482422,1.16403818,-3.20387316,3.90167952,-0.16006494,-8.40940094,3.04650116,3.99595308,-4.04965353,-3.03024197,0.95547009,-0.97080708,1.54853952,-4.19291592,-1.72853875,-4.42404175,-2.53091908,0.25873107,2.82556343,1.14650488,1.34148288,0.15125774,1.22209358,-1.53325963,-0.05964195,1.25881648,-1.43978536,-1.47232199,-0.19471085,-3.39501238,2.76403236,-1.31086183,0.40844524,0.2091887,-1.19498944,-1.29767537,-0.5021525,1.1777401,-0.78928256,0.33011103,-0.32946056,1.37595844,-1.358513,0.34916842,-0.98034352,0.91089576,-0.08740926,-1.87445974,-0.96048111,0.53298056,-0.28075421,0.86604905,0.66462123,1.67318904,-0.36224318,-0.5569644,-2.34947896,-1.07855523,-0.97263944,-0.83348137,-0.72315192,1.0534991,0.52537763,1
12,-5.54265928,-10.24224091,6.39905691,-3.96731877,3.19580221,0.7038731,-8.07141972,-6.8769207,1.60403943,-6.36160994,-0.81606317,1.29036164,4.25531006,-0.06111441,2.04598141,1.61552715,-1.33468962,-0.46657443,-2.47776961,4.42620945,-0.87110162,0.96545798,4.77238941,0.12599897,-2.66502953,2.16043425,1.97053492,-1.82466733,0.58823538,-0.1853683,-4.46219969,0.38301778,1.47152686,-0.27488118,-0.39143062,-2.46255064,-0.69391,0.26635671,0.37706161,-0.7086609,-0.92571741,1.46196926,1.66375375,0.58724785,0.40136385,-0.53448641,0.25101689,-1.29468036,0.16956234,0.90800226,-0.49653143,1.94349921,1.47996378,1.23583817,-0.32857496,-0.24684203,-0.12189436,-1.39322484,-1.03657222,-1.66942215,-0.03277473,-0.8097899,0.20297277,-0.52551258,1
13,-8.92590714,-7.40906668,7.68449306,-2.67352057,3.51503897,4.54190731,-8.33833694,-6.71726799,-1.99087381,-0.8892808,0.0698092,0.51575661,1.59764445,-0.02284138,-1.55911684,1.78995371,0.08727348,-1.33073473,-0.76850384,4.14476395,-3.27770543,-0.67003864,3.76960969,-1.45060551,0.00917703,-0.25956208,2.35402584,-1.4106319,1.13333726,-0.74547338,-0.99505413,-1.81941414,0.14674212,-0.18007094,0.13636231,-1.64419925,-1.9945488,-1.08724189,0.15260601,-0.7896257,-0.34810287,-0.10632212,1.75708401,0.56845504,0.03328931,0.49153817,0.2759563,-1.86351752,0.74221921,1.32724583,-3.06628585,-0.95243084,1.78899562,-0.89878798,-0.54288441,-1.51691067,0.17461586,-1.05523527,0.55755359,0.81179559,0.20218955,0.20109653,1.1140573,-0.35179168,1
30,-9.58223343,-4.74254131,5.43245411,0.20672151,5.07507801,5.19595194,-7.00265408,1.51861262,-1.28460217,-3.13446784,-3.23369455,3.21592617,0.52304476,6.93261814,-0.92397213,0.35931957,-2.36237574,-3.21617723,-2.87298369,-0.26397038,-1.0332253,3.59141827,2.44254994,0.65190268,1.35378468,1.36588001,2.31678915,-1.29056144,-1.41994238,0.37079442,-2.00153399,1.0712707,1.51355505,-1.1870358,1.47316229,-3.50929713,-1.46523595,-2.2577436,-0.02200341,-0.34554696,1.40839076,0.06824625,1.23609054,-0.30465847,-1.52939928,0.61548024,0.35419863,-0.42711854,1.95961714,-0.68446374,1.1614573,-0.97228742,-0.07897758,-0.09958994,0.13506365,0.6426394,0.74119735,-1.99522674,1.82223701,-0.16608423,-0.29052231,2.2095387,1.0092597,-1.99641371,1
31,-10.0014143,-3.51149535,3.61343813,-0.83387697,0.95856011,3.98311257,-7.17444515,-0.76570284,-0.06282759,1.09494901,-4.02975416,3.9183476,-0.55275083,2.41573238,-1.81671429,-3.73606825,2.97997355,-1.33935106,1.10500693,3.02685976,-4.72153807,2.87613964,1.79901493,2.98351288,1.80642545,0.58423334,3.65602779,-1.87161875,-1.67493343,-0.61192501,-2.59525728,0.73664308,-0.42565954,0.02943218,-2.09913945,-0.35115162,0.7635262,-0.41081661,0.39077485,-0.82416725,-1.13899601,0.13086201,2.01332641,-1.20322001,0.09853125,0.82988352,-1.10184073,-1.48822832,-1.4533565,0.72168291,-0.12326734,-0.8647027,-0.36660838,0.5960269,1.40047204,-0.05648601,-0.702914,2.21792793,0.35231256,-0.91577452,0.62621957,-0.15457001,-0.02465487,-0.49263254,1
35,-9.10095978,-10.91992188,5.32720232,-4.07363224,1.32987845,0.04445481,-8.92614651,-6.76770782,-0.33162308,-4.18187046,0.08870292,1.64339089,2.44681478,2.69567037,-1.85161114,3.6624794,-1.66461825,-0.12679058,0.47505391,2.27057171,-0.52427566,-0.51982969,1.79921389,-0.08748651,-0.17672586,-0.4405064,1.83008945,-1.33302021,-0.04235983,-1.71704412,-1.58702886,1.9256773,1.50511754,-0.38308412,-0.04302299,-1.54350412,-1.42302799,0.46396345,0.75592023,1.18959451,-0.18869948,0.30590138,0.39767671,-0.65536451,-0.94875824,0.04994653,0.49848682,-1.43049598,0.0216271,0.65885592,-1.91513586,0.68263716,1.46027839,-0.19874978,0.21668452,-1.17325485,0.2926693,-1.59511757,-0.30118147,-1.32882082,-0.88839966,-0.86921966,0.98694575,0.45789382,1
43,-11.42204762,-6.3417263,7.4999218,-3.03504682,5.36691427,5.96835995,-4.21567917,-4.75669575,-0.31555367,2.42338991,-2.05068493,2.54163122,1.88557196,1.12613547,-1.31916761,2.09714079,0.9933331,-1.63337827,-3.87341642,2.57961988,-5.56507635,0.72295219,4.19005919,1.0763104,-1.06281078,1.22586918,1.61940038,1.02643991,1.71949172,0.31428671,-1.39820635,0.06255507,1.26029754,1.38422287,1.0760237,-1.96110904,-0.42234182,0.97780246,-0.53770864,-1.27062869,0.34205556,1.10803759,1.01810813,0.51314026,2.61063194,0.42600077,0.09604764,0.83009887,0.54833567,-0.50926638,-0.17924543,-0.44174838,1.64863157,0.51052815,0.31940609,-1.00326288,0.8126142,0.33960128,-0.13695559,-1.21554768,0.02313033,-0.30287975,1.07679868,-1.3130852,1
