column,role,kind,categories
input1,feature,numeric,
input2,feature,numeric,
input3,feature,numeric,
input4,feature,numeric,
input5,feature,numeric,
input6,feature,numeric,
input7,feature,numeric,
input8,feature,numeric,
input9,feature,numeric,
input10,feature,numeric,
input11,feature,numeric,
input12,feature,numeric,
input13,feature,numeric,
input14,feature,numeric,
input15,feature,numeric,
input16,feature,numeric,
input17,feature,numeric,
input18,feature,numeric,
input19,feature,numeric,
input20,feature,numeric,
input21,feature,numeric,
input22,feature,numeric,
input23,feature,numeric,
input24,feature,numeric,
input25,feature,numeric,
input26,feature,numeric,
input27,feature,numeric,
input28,feature,numeric,
input29,feature,numeric,
input30,feature,numeric,
input31,feature,numeric,
input32,feature,numeric,
input33,feature,numeric,
input34,feature,numeric,
input35,feature,numeric,
input36,feature,numeric,
input37,feature,numeric,
input38,feature,numeric,
input39,feature,numeric,
input40,feature,numeric,
input41,feature,numeric,
input42,feature,numeric,
input43,feature,numeric,
input44,feature,numeric,
input45,feature,numeric,
input46,feature,numeric,
input47,feature,numeric,
input48,feature,numeric,
input49,feature,numeric,
input50,feature,numeric,
input51,feature,numeric,
input52,feature,numeric,
input53,feature,numeric,
input54,feature,numeric,
input55,feature,numeric,
input56,feature,numeric,
input57,feature,numeric,
input58,feature,numeric,
input59,feature,numeric,
input60,feature,numeric,
input61,feature,numeric,
input62,feature,numeric,
input63,feature,numeric,
input64,feature,numeric,
class,target,categorical,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9
