row_id,sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10.0
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9.0
15,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12.0
16,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7.0
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10.0
18,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7.0
39,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9.0
42,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5.0
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8.0
67,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13.0
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10.0
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20.0
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15.0
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15.0
103,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10.0
105,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12.0
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9.0
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9.0
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9.0
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11.0
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6.0
128,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19.0
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7.0
133,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7.0
138,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9.0
147,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9.0
149,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4.0
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10.0
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13.0
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12.0
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18.0
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12.0
174,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5.0
175,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7.0
180,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14.0
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21.0
