row_id,frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
3,1600.0,0.0,0.3048,71.3,0.00266337,127.591
11,10000.0,0.0,0.3048,71.3,0.00266337,115.391
12,12500.0,0.0,0.3048,71.3,0.00266337,112.241
16,800.0,0.0,0.3048,55.5,0.00283081,128.086
28,12500.0,0.0,0.3048,55.5,0.00283081,111.076
31,315.0,0.0,0.3048,39.6,0.00310138,122.779
37,1250.0,0.0,0.3048,39.6,0.00310138,125.499
40,2500.0,0.0,0.3048,39.6,0.00310138,121.399
48,200.0,0.0,0.3048,31.7,0.00331266,117.195
49,250.0,0.0,0.3048,31.7,0.00331266,118.595
56,1250.0,0.0,0.3048,31.7,0.00331266,124.355
57,1600.0,0.0,0.3048,31.7,0.00331266,122.365
59,2500.0,0.0,0.3048,31.7,0.00331266,120.755
63,6300.0,0.0,0.3048,31.7,0.00331266,113.775
69,1600.0,1.5,0.3048,71.3,0.00336729,126.632
72,3150.0,1.5,0.3048,71.3,0.00336729,123.392
79,16000.0,1.5,0.3048,71.3,0.00336729,106.582
89,2500.0,1.5,0.3048,39.6,0.00392107,120.981
90,3150.0,1.5,0.3048,39.6,0.00392107,119.111
93,6300.0,1.5,0.3048,39.6,0.00392107,114.751
96,12500.0,1.5,0.3048,39.6,0.00392107,106.111
97,400.0,3.0,0.3048,71.3,0.00425727,127.564
100,800.0,3.0,0.3048,71.3,0.00425727,129.494
110,8000.0,3.0,0.3048,71.3,0.00425727,114.634
114,630.0,3.0,0.3048,55.5,0.00452492,129.569
115,800.0,3.0,0.3048,55.5,0.00452492,129.949
119,2000.0,3.0,0.3048,55.5,0.00452492,123.069
124,6300.0,3.0,0.3048,55.5,0.00452492,115.679
126,10000.0,3.0,0.3048,55.5,0.00452492,112.169
158,400.0,4.0,0.3048,71.3,0.00497773,129.575
162,1000.0,4.0,0.3048,71.3,0.00497773,131.015
169,5000.0,4.0,0.3048,71.3,0.00497773,117.785
174,250.0,4.0,0.3048,39.6,0.00579636,123.543
175,315.0,4.0,0.3048,39.6,0.00579636,126.843
185,3150.0,4.0,0.3048,39.6,0.00579636,118.743
190,2000.0,0.0,0.2286,71.3,0.00214345,128.244
191,2500.0,0.0,0.2286,71.3,0.00214345,128.354
201,315.0,0.0,0.2286,55.5,0.00229336,119.54
224,2500.0,0.0,0.2286,39.6,0.00253511,125.025
227,5000.0,0.0,0.2286,39.6,0.00253511,122.175
232,630.0,0.0,0.2286,31.7,0.0027238,129.465
233,800.0,0.0,0.2286,31.7,0.0027238,130.725
234,1000.0,0.0,0.2286,31.7,0.0027238,130.595
240,4000.0,0.0,0.2286,31.7,0.0027238,122.035
242,6300.0,0.0,0.2286,31.7,0.0027238,116.815
248,1250.0,2.0,0.2286,71.3,0.00293031,128.816
259,500.0,2.0,0.2286,55.5,0.00313525,124.692
260,630.0,2.0,0.2286,55.5,0.00313525,126.842
261,800.0,2.0,0.2286,55.5,0.00313525,128.492
265,2000.0,2.0,0.2286,55.5,0.00313525,124.612
266,2500.0,2.0,0.2286,55.5,0.00313525,123.862
270,6300.0,2.0,0.2286,55.5,0.00313525,118.712
272,400.0,2.0,0.2286,39.6,0.00346574,122.147
275,800.0,2.0,0.2286,39.6,0.00346574,129.037
281,3150.0,2.0,0.2286,39.6,0.00346574,121.627
282,4000.0,2.0,0.2286,39.6,0.00346574,120.227
283,5000.0,2.0,0.2286,39.6,0.00346574,118.827
292,1600.0,2.0,0.2286,31.7,0.00372371,125.797
299,500.0,4.0,0.2286,71.3,0.00400603,126.758
303,1250.0,4.0,0.2286,71.3,0.00400603,131.718
308,4000.0,4.0,0.2286,71.3,0.00400603,121.728
311,8000.0,4.0,0.2286,71.3,0.00400603,112.848
313,12500.0,4.0,0.2286,71.3,0.00400603,114.258
314,16000.0,4.0,0.2286,71.3,0.00400603,112.768
315,20000.0,4.0,0.2286,71.3,0.00400603,109.638
323,2000.0,4.0,0.2286,55.5,0.0042862,124.254
325,3150.0,4.0,0.2286,55.5,0.0042862,122.394
330,315.0,4.0,0.2286,39.6,0.00473801,122.229
347,400.0,4.0,0.2286,31.7,0.00509068,126.149
348,500.0,4.0,0.2286,31.7,0.00509068,128.939
358,5000.0,4.0,0.2286,31.7,0.00509068,115.969
365,1250.0,5.3,0.2286,71.3,0.0051942,133.38
373,8000.0,5.3,0.2286,71.3,0.0051942,114.9
377,400.0,5.3,0.2286,39.6,0.00614329,131.221
386,3150.0,5.3,0.2286,39.6,0.00614329,118.441
388,5000.0,5.3,0.2286,39.6,0.00614329,115.311
392,315.0,7.3,0.2286,71.3,0.0104404,139.808
402,3150.0,7.3,0.2286,71.3,0.0104404,120.458
403,4000.0,7.3,0.2286,71.3,0.0104404,119.208
422,200.0,7.3,0.2286,39.6,0.0123481,130.989
424,315.0,7.3,0.2286,39.6,0.0123481,132.149
432,2000.0,7.3,0.2286,39.6,0.0123481,117.809
439,250.0,7.3,0.2286,31.7,0.0132672,130.089
447,1600.0,7.3,0.2286,31.7,0.0132672,119.039
450,3150.0,7.3,0.2286,31.7,0.0132672,113.229
454,800.0,0.0,0.1524,71.3,0.0015988,125.817
456,1250.0,0.0,0.1524,71.3,0.0015988,128.927
458,2000.0,0.0,0.1524,71.3,0.0015988,128.647
460,3150.0,0.0,0.1524,71.3,0.0015988,129.377
462,5000.0,0.0,0.1524,71.3,0.0015988,126.457
467,16000.0,0.0,0.1524,71.3,0.0015988,113.297
468,500.0,0.0,0.1524,55.5,0.00172668,120.573
469,630.0,0.0,0.1524,55.5,0.00172668,123.583
475,2500.0,0.0,0.1524,55.5,0.00172668,127.763
481,10000.0,0.0,0.1524,55.5,0.00172668,119.253
483,16000.0,0.0,0.1524,55.5,0.00172668,112.803
486,800.0,0.0,0.1524,39.6,0.00193287,127.903
488,1250.0,0.0,0.1524,39.6,0.00193287,131.023
492,3150.0,0.0,0.1524,39.6,0.00193287,125.603
494,5000.0,0.0,0.1524,39.6,0.00193287,123.453
504,2000.0,0.0,0.1524,31.7,0.00209405,128.907
520,5000.0,2.7,0.1524,71.3,0.00243851,124.364
523,10000.0,2.7,0.1524,71.3,0.00243851,116.724
