row_id,frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
1,1000.0,0.0,0.3048,71.3,0.00266337,125.201
2,1250.0,0.0,0.3048,71.3,0.00266337,125.951
4,2000.0,0.0,0.3048,71.3,0.00266337,127.461
6,3150.0,0.0,0.3048,71.3,0.00266337,125.201
8,5000.0,0.0,0.3048,71.3,0.00266337,121.301
10,8000.0,0.0,0.3048,71.3,0.00266337,117.151
13,16000.0,0.0,0.3048,71.3,0.00266337,108.721
14,500.0,0.0,0.3048,55.5,0.00283081,126.416
15,630.0,0.0,0.3048,55.5,0.00283081,127.696
19,1600.0,0.0,0.3048,55.5,0.00283081,126.986
20,2000.0,0.0,0.3048,55.5,0.00283081,126.616
21,2500.0,0.0,0.3048,55.5,0.00283081,124.106
24,5000.0,0.0,0.3048,55.5,0.00283081,119.606
25,6300.0,0.0,0.3048,55.5,0.00283081,117.976
26,8000.0,0.0,0.3048,55.5,0.00283081,116.476
27,10000.0,0.0,0.3048,55.5,0.00283081,113.076
29,200.0,0.0,0.3048,39.6,0.00310138,118.129
30,250.0,0.0,0.3048,39.6,0.00310138,119.319
32,400.0,0.0,0.3048,39.6,0.00310138,124.809
33,500.0,0.0,0.3048,39.6,0.00310138,126.959
34,630.0,0.0,0.3048,39.6,0.00310138,128.629
36,1000.0,0.0,0.3048,39.6,0.00310138,127.899
38,1600.0,0.0,0.3048,39.6,0.00310138,124.049
39,2000.0,0.0,0.3048,39.6,0.00310138,123.689
41,3150.0,0.0,0.3048,39.6,0.00310138,120.319
42,4000.0,0.0,0.3048,39.6,0.00310138,119.229
43,5000.0,0.0,0.3048,39.6,0.00310138,117.789
44,6300.0,0.0,0.3048,39.6,0.00310138,116.229
45,8000.0,0.0,0.3048,39.6,0.00310138,114.779
46,10000.0,0.0,0.3048,39.6,0.00310138,112.139
47,12500.0,0.0,0.3048,39.6,0.00310138,109.619
51,400.0,0.0,0.3048,31.7,0.00331266,125.045
52,500.0,0.0,0.3048,31.7,0.00331266,127.315
53,630.0,0.0,0.3048,31.7,0.00331266,129.095
58,2000.0,0.0,0.3048,31.7,0.00331266,122.375
60,3150.0,0.0,0.3048,31.7,0.00331266,119.135
61,4000.0,0.0,0.3048,31.7,0.00331266,118.145
62,5000.0,0.0,0.3048,31.7,0.00331266,115.645
64,8000.0,0.0,0.3048,31.7,0.00331266,110.515
65,10000.0,0.0,0.3048,31.7,0.00331266,108.265
66,800.0,1.5,0.3048,71.3,0.00336729,127.122
67,1000.0,1.5,0.3048,71.3,0.00336729,125.992
68,1250.0,1.5,0.3048,71.3,0.00336729,125.872
71,2500.0,1.5,0.3048,71.3,0.00336729,124.512
73,4000.0,1.5,0.3048,71.3,0.00336729,121.762
76,8000.0,1.5,0.3048,71.3,0.00336729,115.372
78,12500.0,1.5,0.3048,71.3,0.00336729,109.222
80,315.0,1.5,0.3048,39.6,0.00392107,121.851
81,400.0,1.5,0.3048,39.6,0.00392107,124.001
82,500.0,1.5,0.3048,39.6,0.00392107,126.661
83,630.0,1.5,0.3048,39.6,0.00392107,128.311
84,800.0,1.5,0.3048,39.6,0.00392107,128.831
85,1000.0,1.5,0.3048,39.6,0.00392107,127.581
86,1250.0,1.5,0.3048,39.6,0.00392107,125.211
87,1600.0,1.5,0.3048,39.6,0.00392107,122.211
91,4000.0,1.5,0.3048,39.6,0.00392107,117.741
92,5000.0,1.5,0.3048,39.6,0.00392107,116.241
94,8000.0,1.5,0.3048,39.6,0.00392107,112.251
95,10000.0,1.5,0.3048,39.6,0.00392107,108.991
98,500.0,3.0,0.3048,71.3,0.00425727,128.454
101,1000.0,3.0,0.3048,71.3,0.00425727,129.004
102,1250.0,3.0,0.3048,71.3,0.00425727,127.634
103,1600.0,3.0,0.3048,71.3,0.00425727,126.514
104,2000.0,3.0,0.3048,71.3,0.00425727,125.524
107,4000.0,3.0,0.3048,71.3,0.00425727,120.264
108,5000.0,3.0,0.3048,71.3,0.00425727,118.134
111,10000.0,3.0,0.3048,71.3,0.00425727,110.224
112,400.0,3.0,0.3048,55.5,0.00452492,126.159
113,500.0,3.0,0.3048,55.5,0.00452492,128.179
117,1250.0,3.0,0.3048,55.5,0.00452492,127.329
118,1600.0,3.0,0.3048,55.5,0.00452492,124.439
122,4000.0,3.0,0.3048,55.5,0.00452492,118.689
123,5000.0,3.0,0.3048,55.5,0.00452492,117.309
125,8000.0,3.0,0.3048,55.5,0.00452492,113.799
128,400.0,3.0,0.3048,39.6,0.00495741,125.472
129,500.0,3.0,0.3048,39.6,0.00495741,127.632
130,630.0,3.0,0.3048,39.6,0.00495741,129.292
131,800.0,3.0,0.3048,39.6,0.00495741,129.552
132,1000.0,3.0,0.3048,39.6,0.00495741,128.312
133,1250.0,3.0,0.3048,39.6,0.00495741,125.802
134,1600.0,3.0,0.3048,39.6,0.00495741,122.782
135,2000.0,3.0,0.3048,39.6,0.00495741,120.532
136,2500.0,3.0,0.3048,39.6,0.00495741,120.162
137,3150.0,3.0,0.3048,39.6,0.00495741,118.922
138,4000.0,3.0,0.3048,39.6,0.00495741,116.792
140,6300.0,3.0,0.3048,39.6,0.00495741,114.042
141,8000.0,3.0,0.3048,39.6,0.00495741,110.652
143,400.0,3.0,0.3048,31.7,0.00529514,125.398
146,800.0,3.0,0.3048,31.7,0.00529514,128.708
147,1000.0,3.0,0.3048,31.7,0.00529514,126.838
148,1250.0,3.0,0.3048,31.7,0.00529514,124.838
149,1600.0,3.0,0.3048,31.7,0.00529514,122.088
150,2000.0,3.0,0.3048,31.7,0.00529514,120.088
151,2500.0,3.0,0.3048,31.7,0.00529514,119.598
152,3150.0,3.0,0.3048,31.7,0.00529514,118.108
154,5000.0,3.0,0.3048,31.7,0.00529514,113.858
156,250.0,4.0,0.3048,71.3,0.00497773,126.395
157,315.0,4.0,0.3048,71.3,0.00497773,128.175
159,500.0,4.0,0.3048,71.3,0.00497773,130.715
160,630.0,4.0,0.3048,71.3,0.00497773,131.615
161,800.0,4.0,0.3048,71.3,0.00497773,131.755
166,2500.0,4.0,0.3048,71.3,0.00497773,123.775
168,4000.0,4.0,0.3048,71.3,0.00497773,119.535
170,6300.0,4.0,0.3048,71.3,0.00497773,116.165
171,8000.0,4.0,0.3048,71.3,0.00497773,113.665
177,500.0,4.0,0.3048,39.6,0.00579636,130.173
179,800.0,4.0,0.3048,39.6,0.00579636,130.723
180,1000.0,4.0,0.3048,39.6,0.00579636,128.723
181,1250.0,4.0,0.3048,39.6,0.00579636,126.343
182,1600.0,4.0,0.3048,39.6,0.00579636,123.213
183,2000.0,4.0,0.3048,39.6,0.00579636,120.963
184,2500.0,4.0,0.3048,39.6,0.00579636,120.233
186,4000.0,4.0,0.3048,39.6,0.00579636,115.863
187,5000.0,4.0,0.3048,39.6,0.00579636,113.733
189,1600.0,0.0,0.2286,71.3,0.00214345,129.134
192,3150.0,0.0,0.2286,71.3,0.00214345,127.834
193,4000.0,0.0,0.2286,71.3,0.00214345,125.824
195,6300.0,0.0,0.2286,71.3,0.00214345,122.044
197,10000.0,0.0,0.2286,71.3,0.00214345,118.134
198,12500.0,0.0,0.2286,71.3,0.00214345,117.624
199,16000.0,0.0,0.2286,71.3,0.00214345,114.984
200,20000.0,0.0,0.2286,71.3,0.00214345,114.474
202,400.0,0.0,0.2286,55.5,0.00229336,121.66
203,500.0,0.0,0.2286,55.5,0.00229336,123.78
204,630.0,0.0,0.2286,55.5,0.00229336,126.16
205,800.0,0.0,0.2286,55.5,0.00229336,127.53
206,1000.0,0.0,0.2286,55.5,0.00229336,128.29
207,1250.0,0.0,0.2286,55.5,0.00229336,127.91
