row_id,process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.time
8,0.0,0.0,2.0,1.0,60.0,2,3,78.0
13,0.0,0.0,2.0,1.0,60.0,6,0,88.12
16,0.0,0.0,2.0,1.0,69.0,3,0,112.05
19,0.0,0.0,2.0,1.0,70.0,3,3,97.11
21,0.0,0.0,2.0,1.0,70.0,5,0,194.438888888889
24,0.0,1.0,1.0,1.0,59.0,1,0,646.675
33,0.0,1.0,1.0,1.0,61.0,1,0,608.2
41,0.0,1.0,1.0,1.0,65.0,1,0,567.975
44,0.0,1.0,1.0,1.0,66.0,4,0,496.173076923077
46,0.0,1.0,1.0,1.0,67.0,4,0,522.634615384615
48,0.0,1.0,1.0,1.0,68.0,4,0,481.653846153846
50,0.0,1.0,1.0,1.0,69.0,3,0,178.4
51,0.0,1.0,1.0,1.0,69.0,4,0,512.346153846154
62,0.0,1.0,1.0,1.0,70.0,4,2,451.153846153846
66,0.0,1.0,1.0,1.0,71.0,5,0,751.9875
67,0.0,1.0,1.0,1.0,72.0,5,0,740.4125
68,0.0,1.0,1.0,1.0,73.0,5,0,719.45
70,0.0,1.0,1.0,1.0,75.0,5,0,734.5625
75,0.0,1.0,1.0,1.0,80.0,5,0,101.7375
82,0.0,1.0,2.0,0.0,59.0,6,0,145.4
83,0.0,1.0,2.0,0.0,60.0,1,0,443.016666666667
86,0.0,1.0,2.0,0.0,60.0,6,0,91.805
89,0.0,1.0,2.0,0.0,61.0,1,0,462.058333333333
90,0.0,1.0,2.0,0.0,61.0,2,0,1293.665
97,0.0,1.0,2.0,0.0,63.0,4,0,455.266666666667
102,0.0,1.0,2.0,0.0,65.0,2,0,1106.455
107,0.0,1.0,2.0,0.0,67.0,1,0,428.833333333333
109,0.0,1.0,2.0,0.0,67.0,4,0,417.138888888889
113,0.0,1.0,2.0,0.0,69.0,1,0,412.666666666667
126,0.0,1.0,2.0,0.0,70.0,4,3,429.938888888889
131,0.0,1.0,2.0,0.0,75.0,2,0,1345.56
133,0.0,1.0,2.0,0.0,77.0,2,0,1127.495
155,0.0,1.0,2.0,1.0,62.0,4,0,572.435185185185
156,0.0,1.0,2.0,1.0,63.0,1,0,628.702380952381
157,0.0,1.0,2.0,1.0,63.0,2,0,1417.62857142857
161,0.0,1.0,2.0,1.0,64.0,4,0,497.407407407407
175,0.0,1.0,2.0,1.0,69.0,2,0,1208.77857142857
176,0.0,1.0,2.0,1.0,69.0,3,0,184.721428571429
177,0.0,1.0,2.0,1.0,69.0,4,0,522.990740740741
179,0.0,1.0,2.0,1.0,70.0,1,0,528.535714285714
191,0.0,1.0,2.0,1.0,70.0,4,4,543.657407407407
192,0.0,1.0,2.0,1.0,70.0,5,0,758.116666666667
205,0.0,1.0,2.0,1.0,77.0,2,0,1309.61428571429
208,0.0,1.0,2.0,1.0,78.0,5,0,736.183333333333
216,0.0,1.0,2.0,1.0,80.0,5,2,783.372222222222
220,0.0,2.0,1.0,0.0,59.0,4,0,466.4625
223,0.0,2.0,1.0,0.0,60.0,4,0,412.4125
228,0.0,2.0,1.0,0.0,61.0,4,0,429.3125
231,0.0,2.0,1.0,0.0,63.0,1,0,471.675
240,0.0,2.0,1.0,0.0,67.0,4,0,406.8
252,0.0,2.0,1.0,0.0,70.0,4,0,345.0
253,0.0,2.0,1.0,0.0,70.0,4,2,367.0
255,0.0,2.0,1.0,1.0,59.0,1,0,654.78125
258,0.0,2.0,1.0,1.0,60.0,1,0,607.625
259,0.0,2.0,1.0,1.0,60.0,4,0,544.770833333333
262,0.0,2.0,1.0,1.0,60.0,6,3,245.361111111111
263,0.0,2.0,1.0,1.0,60.0,6,4,230.75
269,0.0,2.0,1.0,1.0,63.0,4,0,550.0625
273,0.0,2.0,1.0,1.0,65.0,4,0,489.4375
278,0.0,2.0,1.0,1.0,68.0,1,0,560.65625
289,0.0,2.0,1.0,1.0,70.0,3,2,148.972222222222
298,0.0,2.0,1.0,1.0,72.0,5,0,739.6
